district,label,label_name
A & N Islands_Nicobars,15,Islands Region
A & N Islands_North And Middle Andaman,15,Islands Region
A & N Islands_South Andamans,15,Islands Region
Andhra Pradesh_Alluri Sitharama Raju,11,East Coast Plains and Hills Region
Andhra Pradesh_Anakapalli,11,East Coast Plains and Hills Region
Andhra Pradesh_Anantapur,10,Southern Plateau and Hills Region
Andhra Pradesh_Annamayya,10,Southern Plateau and Hills Region
Andhra Pradesh_Bapatla,11,East Coast Plains and Hills Region
Andhra Pradesh_Chittoor,10,Southern Plateau and Hills Region
Andhra Pradesh_East Godavari,11,East Coast Plains and Hills Region
Andhra Pradesh_Eluru,11,East Coast Plains and Hills Region
Andhra Pradesh_Guntur,11,East Coast Plains and Hills Region
Andhra Pradesh_Kakinada,11,East Coast Plains and Hills Region
Andhra Pradesh_Konaseema,11,East Coast Plains and Hills Region
Andhra Pradesh_Krishna,11,East Coast Plains and Hills Region
Andhra Pradesh_Kurnool,10,Southern Plateau and Hills Region
Andhra Pradesh_Nandyal,10,Southern Plateau and Hills Region
Andhra Pradesh_Ntr,11,East Coast Plains and Hills Region
Andhra Pradesh_Palnadu,11,East Coast Plains and Hills Region
Andhra Pradesh_Parvathipuram Manyam,11,East Coast Plains and Hills Region
Andhra Pradesh_Prakasam,11,East Coast Plains and Hills Region
Andhra Pradesh_Spsr Nellore,11,East Coast Plains and Hills Region
Andhra Pradesh_Sri Sathya Sai,10,Southern Plateau and Hills Region
Andhra Pradesh_Srikakulam,11,East Coast Plains and Hills Region
Andhra Pradesh_Tirupati,11,East Coast Plains and Hills Region
Andhra Pradesh_Visakhapatanam,11,East Coast Plains and Hills Region
Andhra Pradesh_Vizianagaram,11,East Coast Plains and Hills Region
Andhra Pradesh_West Godavari,11,East Coast Plains and Hills Region
Andhra Pradesh_Y.s.r.,10,Southern Plateau and Hills Region
Arunachal Pradesh_Anjaw,2,Eastern Himalayan Region
Arunachal Pradesh_Changlang,2,Eastern Himalayan Region
Arunachal Pradesh_Dibang Valley,2,Eastern Himalayan Region
Arunachal Pradesh_East Kameng,2,Eastern Himalayan Region
Arunachal Pradesh_East Siang,2,Eastern Himalayan Region
Arunachal Pradesh_Itanagar Capital Complex,2,Eastern Himalayan Region
Arunachal Pradesh_Kamle,2,Eastern Himalayan Region
Arunachal Pradesh_Kra Daadi,2,Eastern Himalayan Region
Arunachal Pradesh_Kurung Kumey,2,Eastern Himalayan Region
Arunachal Pradesh_Leparada,2,Eastern Himalayan Region
Arunachal Pradesh_Lohit,2,Eastern Himalayan Region
Arunachal Pradesh_Longding,2,Eastern Himalayan Region
Arunachal Pradesh_Lower Dibang Valley,2,Eastern Himalayan Region
Arunachal Pradesh_Lower Siang,2,Eastern Himalayan Region
Arunachal Pradesh_Lower Subansiri,2,Eastern Himalayan Region
Arunachal Pradesh_Namsai,2,Eastern Himalayan Region
Arunachal Pradesh_Pakke Kessang,2,Eastern Himalayan Region
Arunachal Pradesh_Papum Pare,2,Eastern Himalayan Region
Arunachal Pradesh_Shi Yomi,2,Eastern Himalayan Region
Arunachal Pradesh_Siang,2,Eastern Himalayan Region
Arunachal Pradesh_Tawang,2,Eastern Himalayan Region
Arunachal Pradesh_Tirap,2,Eastern Himalayan Region
Arunachal Pradesh_Upper Siang,2,Eastern Himalayan Region
Arunachal Pradesh_Upper Subansiri,2,Eastern Himalayan Region
Arunachal Pradesh_West Kameng,2,Eastern Himalayan Region
Arunachal Pradesh_West Siang,2,Eastern Himalayan Region
Assam_Bajali,2,Eastern Himalayan Region
Assam_Baksa,2,Eastern Himalayan Region
Assam_Barpeta,2,Eastern Himalayan Region
Assam_Biswanath,2,Eastern Himalayan Region
Assam_Bongaigaon,2,Eastern Himalayan Region
Assam_Cachar,2,Eastern Himalayan Region
Assam_Charaideo,2,Eastern Himalayan Region
Assam_Chirang,2,Eastern Himalayan Region
Assam_Darrang,2,Eastern Himalayan Region
Assam_Dhemaji,2,Eastern Himalayan Region
Assam_Dhubri,2,Eastern Himalayan Region
Assam_Dibrugarh,2,Eastern Himalayan Region
Assam_Dima Hasao,2,Eastern Himalayan Region
Assam_Goalpara,2,Eastern Himalayan Region
Assam_Golaghat,2,Eastern Himalayan Region
Assam_Hailakandi,2,Eastern Himalayan Region
Assam_Hojai,2,Eastern Himalayan Region
Assam_Jorhat,2,Eastern Himalayan Region
Assam_Kamrup,2,Eastern Himalayan Region
Assam_Kamrup Metro,2,Eastern Himalayan Region
Assam_Karbi Anglong,2,Eastern Himalayan Region
Assam_Karimganj,2,Eastern Himalayan Region
Assam_Kokrajhar,2,Eastern Himalayan Region
Assam_Lakhimpur,2,Eastern Himalayan Region
Assam_Majuli,2,Eastern Himalayan Region
Assam_Marigaon,2,Eastern Himalayan Region
Assam_Nagaon,2,Eastern Himalayan Region
Assam_Nalbari,2,Eastern Himalayan Region
Assam_Sivasagar,2,Eastern Himalayan Region
Assam_Sonitpur,2,Eastern Himalayan Region
