crop,n_rows,n_classes,acc_mean,acc_std,f1_mean,f1_std,yield_parents,n_edges
groundnut,583,2,0.7443707633362806,0.03568501961503233,0.7056642423480233,0.048419122160535594,GDD_rabi,53
garlic,439,3,0.644644723092999,0.03244474143153562,0.6384758703860349,0.030327223394766005,"t2m_peak_sin, water_retention_index",51
onion,573,3,0.687581998474447,0.025172013033548674,0.6312729003350385,0.05535782858635379,"tp_zaid_mean, water_retention_index",56
ragi,379,3,0.6199649122807017,0.05480870226761234,0.6165962809602983,0.046368865886574136,"t2m_peak_sin, soil_moisture_seasonality",47
wheat,630,3,0.6063492063492063,0.059729802292783435,0.6074064151603888,0.05623208750004815,"swvl1_rabi_std, GDD_kharif",57
sweet_potato,457,3,0.6935021500238892,0.03773579091061278,0.5670754689297797,0.06033438535753238,"runoff_ratio_rabi_mean, humidity_variability",52
rapeseed_and_mustard,656,3,0.5762202174415915,0.03692709590003482,0.559571920013681,0.04553272469069196,"swvl1_rabi_std, GDD_rabi",61
horse_gram,328,3,0.561072261072261,0.04153529585911094,0.5486677631160854,0.047231251571995925,"tp_kharif_std, t2m_peak_sin",48
rice,720,3,0.6291666666666667,0.04681194318431313,0.5453938283246422,0.12257779590141014,"tp_kharif_mean, humidity_variability",60
peas_and_beans,518,3,0.6873226288274833,0.022467363425722028,0.5212431615289002,0.0818812368165152,"e_kharif_mean, runoff_ratio_kharif_mean",56
maize,723,3,0.5076149425287356,0.043496905792853306,0.5086825654566839,0.04442322178650004,"t2m_peak_cos, GDD_rabi",63
linseed,433,3,0.5080727078321304,0.04279416546045806,0.5076337520723248,0.046459524802688244,GDD_rabi,51
other_cereals,229,3,0.5589371980676328,0.008587627456343552,0.5005355269386073,0.04489526779187866,e_rabi_std,39
tobacco,352,3,0.5082897384305834,0.04421991423956979,0.4958181035324163,0.04570148624725158,"swvl1_zaid_std, water_retention_index",45
barley,328,3,0.5516550116550116,0.04326722111600622,0.4948724533876052,0.0757726925769027,runoff_ratio_kharif_mean,46
coriander,406,3,0.6205962059620596,0.037772723349754234,0.48620462671121345,0.07784761154825733,e_kharif_mean,49
cowpea_lobia,231,3,0.6543015726179464,0.08095630929233565,0.48616313518473964,0.08374058946318048,humidity_variability,37
turmeric,502,3,0.4940396039603961,0.02507507793365917,0.4791402373955368,0.03029048386545786,GDD_rabi,51
mesta,258,3,0.729185520361991,0.07866466637680088,0.4751815851322788,0.07245677199124162,humidity_variability,36
sunflower,483,3,0.6872422680412371,0.03540132680826785,0.47282312896204426,0.025205215034247396,GDD_kharif,52
masoor,469,3,0.5715625714939373,0.04998270237750422,0.4726718889246716,0.05386918347431984,runoff_ratio_kharif_mean,58
cotton,454,3,0.5727716727716727,0.03610201438354352,0.47037823607598056,0.1063320728116413,"tp_kharif_mean, t2m_peak_sin",50
ginger,444,3,0.5361338100102144,0.04643851826598773,0.462558168189868,0.06006779037017729,swvl1_amplitude,48
soyabean,425,3,0.5223529411764705,0.03614656822526401,0.4480348901064214,0.03665309013089491,GDD_rabi,47
small_millets,554,3,0.47477477477477475,0.027855179880613166,0.4461442557964186,0.06051300176516331,soil_moisture_seasonality,57
potato,600,3,0.665,0.04196559437338058,0.443136466285995,0.03852105830325782,GDD_kharif,57
banana,405,3,0.6888888888888889,0.05084261798018272,0.4426464739178141,0.04720393098588447,t2m_peak_sin,48
sugarcane,663,3,0.7104693552061974,0.017848142270229007,0.4424429724087647,0.018081827490086536,"runoff_ratio_kharif_mean, humidity_variability",62
urad,664,3,0.4518227386648439,0.02047960402378873,0.44110350949613614,0.018576132237090096,"GDD_rabi, humidity_variability",64
sannhamp,304,3,0.47683060109289616,0.06456195698572426,0.43263163371859203,0.10185959674015081,GDD_rabi,40
other_kharif_pulses,586,3,0.5733304360423005,0.0379388506577466,0.43161582200375304,0.07202373411071805,humidity_variability,55
niger_seed,224,3,0.5487878787878788,0.04210025397254267,0.43045166524388534,0.06312592401863541,humidity_variability,39
sesamum,686,3,0.45627843012800173,0.014562220921935397,0.4207950856129988,0.040850533358099406,tp_kharif_fraction,59
bajra,501,3,0.49891089108910885,0.027853792233554518,0.4090426126747876,0.07306328766041241,water_retention_index,54
other_rabi_pulses,602,3,0.5880716253443528,0.009874159832492325,0.39134452035216705,0.006403992900016136,t2m_peak_sin,57
castorseed,390,3,0.5717948717948718,0.03680179511386493,0.37857088641362924,0.031554758367281124,tp_kharif_fraction,46
arhar_tur,665,3,0.5218045112781955,0.025430878985395113,0.361249935137008,0.027716923267968843,t2m_peak_sin,59
safflower,247,3,0.49820408163265306,0.038194661318952286,0.3277712995084272,0.04054327532673354,t2m_peak_sin,37
moong,675,3,0.4933333333333333,0.028726991747652322,0.32681129952275234,0.03290367921973939,t2m_peak_sin,59
gram,641,3,0.5350654069767442,0.023084282923763966,0.30563867304015085,0.061979776834055686,"runoff_ratio_kharif_mean, t2m_peak_cos",59
jowar,521,3,0.6065567765567766,0.033446081908259734,0.29444640437661374,0.04877545043087255,e_rabi_mean,51
other_oilseeds,223,3,0.7309090909090908,0.0029690784761007864,0.2815114709851552,0.0006611308347592986,soil_air_diff_kharif_std,37
dry_chillies,577,3,0.5649925037481258,0.002739980042353404,0.24067822907601913,0.0007463012301149826,runoff_ratio_rabi_mean,59
