crop,current_high,predicted_high,map_path,predicted_pct_of_current
other_rabi_pulses,341,55,choropleth_maps\other_rabi_pulses.png,16.1
sunflower,267,41,choropleth_maps\sunflower.png,15.4
horse_gram,107,33,choropleth_maps\horse_gram.png,30.8
mesta,150,32,choropleth_maps\mesta.png,21.3
potato,238,32,choropleth_maps\potato.png,13.4
coriander,86,29,choropleth_maps\coriander.png,33.7
turmeric,178,28,choropleth_maps\turmeric.png,15.7
safflower,117,25,choropleth_maps\safflower.png,21.4
other_cereals,101,25,choropleth_maps\other_cereals.png,24.8
banana,235,24,choropleth_maps\banana.png,10.2
garlic,185,22,choropleth_maps\garlic.png,11.9
sugarcane,451,22,choropleth_maps\sugarcane.png,4.9
ginger,196,21,choropleth_maps\ginger.png,10.7
linseed,149,20,choropleth_maps\linseed.png,13.4
barley,137,19,choropleth_maps\barley.png,13.9
onion,244,18,choropleth_maps\onion.png,7.4
sweet_potato,226,15,choropleth_maps\sweet_potato.png,6.6
niger_seed,91,14,choropleth_maps\niger_seed.png,15.4
rapeseed_and_mustard,298,13,choropleth_maps\rapeseed_and_mustard.png,4.4
moong,215,13,choropleth_maps\moong.png,6.0
cotton,216,13,choropleth_maps\cotton.png,6.0
masoor,122,12,choropleth_maps\masoor.png,9.8
peas_and_beans,50,10,choropleth_maps\peas_and_beans.png,20.0
sannhamp,61,10,choropleth_maps\sannhamp.png,16.4
wheat,203,8,choropleth_maps\wheat.png,3.9
other_kharif_pulses,170,8,choropleth_maps\other_kharif_pulses.png,4.7
bajra,166,6,choropleth_maps\bajra.png,3.6
arhar_tur,277,4,choropleth_maps\arhar_tur.png,1.4
sesamum,214,4,choropleth_maps\sesamum.png,1.9
urad,221,4,choropleth_maps\urad.png,1.8
groundnut,1,3,choropleth_maps\groundnut.png,300.0
dry_chillies,113,3,choropleth_maps\dry_chillies.png,2.7
small_millets,174,3,choropleth_maps\small_millets.png,1.7
gram,150,3,choropleth_maps\gram.png,2.0
cowpea_lobia,34,2,choropleth_maps\cowpea_lobia.png,5.9
other_oilseeds,19,2,choropleth_maps\other_oilseeds.png,10.5
ragi,152,2,choropleth_maps\ragi.png,1.3
rice,353,2,choropleth_maps\rice.png,0.6
soyabean,105,2,choropleth_maps\soyabean.png,1.9
tobacco,102,2,choropleth_maps\tobacco.png,2.0
