State,District,Mean,Median,Max
A & N Islands,Nicobars,0.7999999999999999,0.64,1.71
A & N Islands,North And Middle Andaman,2.3575000000000004,2.375,3.43
A & N Islands,South Andamans,3.152222222222222,2.245,8.62
Andhra Pradesh,Anakapalli,9.22,9.22,9.22
Andhra Pradesh,Anantapur,3.3652380952380954,1.44,10.54
Andhra Pradesh,East Godavari,2.2,1.7149999999999999,9.2
Andhra Pradesh,Eluru,9.2,9.2,9.2
Andhra Pradesh,Konaseema,1.12,1.12,1.12
Andhra Pradesh,Krishna,2.35,1.595,7.0
Andhra Pradesh,Ntr,9.2,9.2,9.2
Andhra Pradesh,Sri Sathya Sai,9.89,9.89,9.89
Andhra Pradesh,Visakhapatanam,7.13,7.13,7.13
Andhra Pradesh,Vizianagaram,2.441,1.0,7.13
Andhra Pradesh,West Godavari,3.045833333333333,1.925,9.5
Assam,Baksa,0.8411764705882355,0.81,1.08
Assam,Barpeta,0.8113636363636364,0.785,1.17
Assam,Biswanath,0.7925,0.8,0.8
Assam,Bongaigaon,0.9477272727272728,0.915,1.66
Assam,Cachar,0.45,0.42,0.77
Assam,Charaideo,0.5525,0.65,0.68
Assam,Chirang,0.8594117647058827,0.85,1.39
Assam,Darrang,0.5804545454545453,0.585,1.13
Assam,Dhemaji,0.9386363636363636,0.845,1.86
Assam,Dhubri,0.9304545454545452,0.83,1.88
Assam,Dibrugarh,0.8954545454545454,0.82,1.55
Assam,Dima Hasao,0.7140909090909092,0.715,1.12
Assam,Goalpara,1.1818181818181819,1.21,1.79
Assam,Golaghat,0.740909090909091,0.755,0.89
Assam,Hailakandi,1.0763636363636364,0.85,3.54
Assam,Hojai,0.6175,0.62,0.62
Assam,Jorhat,0.6686363636363637,0.65,0.96
Assam,Kamrup,1.0881818181818181,1.085,1.76
Assam,Kamrup Metro,0.9529411764705884,0.85,1.64
Assam,Karbi Anglong,0.7254545454545454,0.5900000000000001,1.38
Assam,Karimganj,0.4068181818181818,0.355,1.23
Assam,Kokrajhar,2.0349999999999997,0.9750000000000001,19.3
Assam,Lakhimpur,0.6922727272727273,0.66,1.32
Assam,Majuli,0.46749999999999997,0.47,0.47
Assam,Marigaon,0.7863636363636363,0.755,1.14
Assam,Nagaon,0.9640909090909091,0.98,1.81
Assam,Nalbari,0.9554545454545452,0.985,1.54
Assam,Sivasagar,0.7213636363636362,0.685,1.7
Assam,Sonitpur,0.7827272727272728,0.71,1.31
Assam,South Salmara Mancachar,0.74,0.825,0.83
Assam,Tinsukia,1.417727272727273,1.13,4.44
Assam,Udalguri,0.7629411764705882,0.74,0.96
Assam,West Karbi Anglong,0.53,0.51,0.59
Goa,North Goa,1.989,2.045,2.35
Goa,South Goa,1.7239999999999998,1.68,1.89
Karnataka,Bagalkote,5.7225,4.25,11.2
Karnataka,Ballari,7.155238095238094,8.02,11.26
Karnataka,Belagavi,7.815555555555554,9.105,11.29
