State,District,Mean,Median,Max
A & N Islands,Nicobars,5.5,4.93,26.45
A & N Islands,North And Middle Andaman,8.699333333333334,8.45,13.32
A & N Islands,South Andamans,14.988333333333332,15.015,25.87
Andhra Pradesh,Anantapur,55.81111111111111,53.33,125.79
Andhra Pradesh,Chittoor,68.00666666666666,53.33,251.83
Andhra Pradesh,East Godavari,25.991111111111113,18.31,80.92
Andhra Pradesh,Guntur,37.125,30.37,90.8
Andhra Pradesh,Krishna,50.635555555555555,25.22,258.07
Andhra Pradesh,Kurnool,37.141666666666666,28.12,97.18
Andhra Pradesh,Prakasam,29.512777777777778,20.950000000000003,102.94
Andhra Pradesh,Spsr Nellore,35.11055555555556,20.950000000000003,144.36
Andhra Pradesh,Srikakulam,31.424444444444443,20.259999999999998,120.58
Andhra Pradesh,Visakhapatanam,28.462777777777774,19.045,94.44
Andhra Pradesh,Vizianagaram,25.13666666666667,19.44,96.28
Andhra Pradesh,West Godavari,34.24555555555556,25.575,117.56
Andhra Pradesh,Y.s.r.,67.79333333333334,61.04,165.86
Assam,Baksa,16.360555555555557,16.54,18.39
Assam,Barpeta,15.91909090909091,15.530000000000001,20.48
Assam,Biswanath,18.830000000000002,18.92,18.93
Assam,Bongaigaon,14.135909090909092,13.96,17.81
Assam,Cachar,15.292272727272728,17.0,18.44
Assam,Charaideo,21.41333333333333,21.49,21.5
Assam,Chirang,15.30722222222222,15.41,19.61
Assam,Darrang,14.886363636363638,14.370000000000001,19.07
Assam,Dhemaji,15.478636363636362,15.375,19.72
Assam,Dhubri,15.795000000000003,15.39,18.05
Assam,Dibrugarh,15.952272727272726,16.354999999999997,19.31
Assam,Dima Hasao,16.579090909090908,15.605,20.34
Assam,Goalpara,17.400000000000002,15.855,22.06
Assam,Golaghat,17.52681818181818,16.36,24.76
Assam,Hailakandi,12.841363636363639,12.41,19.85
Assam,Hojai,18.726666666666667,21.5,22.05
Assam,Jorhat,15.256363636363636,14.995000000000001,19.45
Assam,Kamrup,14.157727272727271,14.135,21.04
Assam,Kamrup Metro,15.566111111111107,15.63,19.28
Assam,Karbi Anglong,16.204090909090908,16.015,20.03
Assam,Karimganj,13.752272727272727,13.295000000000002,16.48
Assam,Kokrajhar,17.127272727272725,17.43,19.13
Assam,Lakhimpur,16.45818181818182,15.440000000000001,26.99
Assam,Majuli,19.72666666666667,19.94,19.98
Assam,Marigaon,16.051818181818177,15.82,20.7
Assam,Nagaon,16.51409090909091,15.295,22.05
Assam,Nalbari,15.63,15.43,17.78
Assam,Sivasagar,15.835909090909093,15.66,21.6
Assam,Sonitpur,16.769545454545455,17.689999999999998,22.87
Assam,South Salmara Mancachar,18.430000000000003,19.07,19.09
Assam,Tinsukia,15.239999999999998,14.105,20.5
Assam,Udalguri,15.569444444444445,15.35,19.18
Assam,West Karbi Anglong,20.083333333333332,20.15,20.35
Bihar,Araria,12.129999999999999,9.56,28.43
Bihar,Arwal,16.57,16.57,16.57
Bihar,Begusarai,47.19285714285714,36.71,85.56
Bihar,Bhagalpur,4.161428571428572,2.35,9.34
Bihar,Darbhanga,14.407142857142857,9.82,23.72
Bihar,Gaya,19.905,20.335,22.45
Bihar,Gopalganj,17.274285714285714,16.54,22.45
Bihar,Kaimur (Bhabua),21.0,21.0,21.0
Bihar,Katihar,24.53857142857143,19.68,48.59
Bihar,Khagaria,37.13142857142857,24.41,80.25
Bihar,Kishanganj,18.002857142857142,17.81,31.97
Bihar,Madhepura,26.51142857142857,34.74,42.37
Bihar,Madhubani,8.791428571428572,8.36,9.81
Bihar,Muzaffarpur,7.116666666666667,6.5649999999999995,9.87
Bihar,Nawada,13.0,13.0,13.0
Bihar,Pashchim Champaran,10.108571428571427,9.1,14.51
Bihar,Purbi Champaran,10.855714285714285,12.3,16.9
Bihar,Purnia,11.188571428571427,10.54,26.11
Bihar,Saharsa,34.03142857142857,34.73,43.74
Bihar,Samastipur,15.20857142857143,10.01,25.93
Bihar,Saran,17.267142857142858,16.54,22.45
Bihar,Sheohar,10.1,9.05,14.51
Bihar,Sitamarhi,10.101428571428572,9.05,14.51
Bihar,Siwan,16.192857142857143,15.34,21.0
Bihar,Supaul,37.05714285714286,35.93,42.22
Bihar,Vaishali,10.518571428571429,10.22,16.2
Chhattisgarh,Balod,17.658181818181816,17.13,30.5
Chhattisgarh,Baloda Bazar,28.661111111111104,26.64,51.09
Chhattisgarh,Balrampur,18.16,19.5,28.07
Chhattisgarh,Bastar,37.529130434782616,45.27,97.32
Chhattisgarh,Bemetara,23.172499999999996,23.29,40.66
Chhattisgarh,Bijapur,36.50266666666666,33.33,81.75
Chhattisgarh,Bilaspur,31.836923076923078,34.0,73.14
Chhattisgarh,Dantewada,32.68130434782609,33.29,90.95
Chhattisgarh,Dhamtari,40.96347826086957,43.79,69.96
Chhattisgarh,Durg,26.40347826086956,30.52,80.37
Chhattisgarh,Gariyaband,31.858571428571427,40.15,43.75
Chhattisgarh,Gaurella Pendra Marwahi,23.5,23.5,23.5
Chhattisgarh,Janjgir-Champa,33.592666666666666,34.06,39.77
Chhattisgarh,Jashpur,27.069090909090903,31.13,68.94
Chhattisgarh,Kabirdham,30.591428571428565,29.64,45.72
Chhattisgarh,Kanker,36.11045454545455,33.935,84.73
Chhattisgarh,Khairgarh Chhuikhadan Gandai,14.63,14.63,14.63
Chhattisgarh,Kondagaon,24.245833333333334,21.12,39.96
Chhattisgarh,Korba,33.43785714285714,34.0,37.0
Chhattisgarh,Korea,26.0825,30.5,32.33
Chhattisgarh,Mahasamund,39.35266666666666,43.82,51.14
Chhattisgarh,Manendragarh Chirimiri Bharatpur,38.8,38.8,38.8
Chhattisgarh,Mohla Manpur Ambagarh Chouki,9.97,9.97,9.97
Chhattisgarh,Mungeli,23.345555555555553,27.58,36.93
Chhattisgarh,Narayanpur,32.169999999999995,27.5,81.75
Chhattisgarh,Raigarh,25.196086956521732,28.5,36.03
Chhattisgarh,Raipur,36.009130434782605,43.8,68.12
Chhattisgarh,Rajnandgaon,35.00652173913044,38.39,90.68
Chhattisgarh,Sukma,24.50333333333333,23.305,46.61
Chhattisgarh,Surajpur,16.0,17.375,26.46
Chhattisgarh,Surguja,25.010909090909085,28.08,42.2
DNHDD,Dadra And Nagar Haveli,12.771428571428572,14.67,25.0
Goa,North Goa,11.98,11.344999999999999,15.68
Goa,South Goa,11.266000000000002,11.27,11.82
Gujarat,Ahmadabad,49.905,50.5,72.76
Gujarat,Amreli,74.01,72.65,77.0
Gujarat,Anand,77.85950000000001,79.73,85.11
Gujarat,Banas Kantha,81.83,81.83,81.83
Gujarat,Bharuch,67.30181818181819,66.915,80.01
Gujarat,Bhavnagar,72.17090909090909,72.65,113.58
Gujarat,Chhotaudepur,75.86111111111111,73.39,89.51
Gujarat,Dang,45.9,47.0,73.73
Gujarat,Gandhinagar,53.19,53.19,53.19
Gujarat,Gir Somnath,77.805,77.805,79.89
Gujarat,Junagadh,57.274166666666666,56.0,79.89
Gujarat,Kachchh,71.50142857142856,72.0,82.0
Gujarat,Kheda,58.605000000000004,53.885000000000005,97.0
Gujarat,Morbi,74.185,74.185,75.72
Gujarat,Narmada,70.22599999999998,70.25,77.34
Gujarat,Navsari,71.20411764705882,72.35,103.0
Gujarat,Panch Mahals,67.961875,67.0,116.0
Gujarat,Patan,73.74,73.74,73.74
Gujarat,Rajkot,71.75,71.75,71.75
Gujarat,Sabar Kantha,36.0,36.0,36.0
Gujarat,Surat,68.79136363636363,72.38,81.83
Gujarat,Surendranagar,81.83,81.83,81.83
Gujarat,Tapi,74.1975,73.16499999999999,90.0
Gujarat,Vadodara,71.02545454545455,70.19,91.96
Gujarat,Valsad,59.96545454545455,62.0,75.72
Karnataka,Bagalkote,19.068181818181817,16.8,36.82
Karnataka,Ballari,28.33,27.38,43.36
Karnataka,Belagavi,34.75818181818182,39.25,48.21
Karnataka,Bengaluru Rural,28.044545454545457,24.84,79.82
Karnataka,Bengaluru Urban,26.62,24.99,44.34
