State,District,Mean,Median,Max
Andhra Pradesh,Alluri Sitharama Raju,2.84,2.84,2.84
Andhra Pradesh,Anakapalli,2.8,2.8,2.8
Andhra Pradesh,Anantapur,1.1017391304347828,1.01,2.83
Andhra Pradesh,Annamayya,1.83,1.83,1.83
Andhra Pradesh,Bapatla,2.15,2.15,2.15
Andhra Pradesh,Chittoor,1.5716666666666663,1.48,2.76
Andhra Pradesh,East Godavari,2.1813043478260865,2.18,3.69
Andhra Pradesh,Eluru,3.01,3.01,3.01
Andhra Pradesh,Guntur,3.3543478260869564,3.49,5.21
Andhra Pradesh,Kakinada,3.63,3.63,3.63
Andhra Pradesh,Krishna,2.962173913043478,2.96,4.71
Andhra Pradesh,Kurnool,1.7221739130434783,1.46,3.34
Andhra Pradesh,Nandyal,1.71,1.71,1.71
Andhra Pradesh,Ntr,3.34,3.34,3.34
Andhra Pradesh,Palnadu,3.03,3.03,3.03
Andhra Pradesh,Parvathipuram Manyam,3.08,3.08,3.08
Andhra Pradesh,Prakasam,2.18695652173913,2.02,3.53
Andhra Pradesh,Spsr Nellore,2.594782608695652,2.61,4.0
Andhra Pradesh,Sri Sathya Sai,0.58,0.58,0.58
Andhra Pradesh,Srikakulam,2.853913043478261,2.96,4.4
Andhra Pradesh,Tirupati,1.83,1.83,1.83
Andhra Pradesh,Visakhapatanam,2.266190476190476,2.27,4.4
Andhra Pradesh,Vizianagaram,1.7260869565217392,1.78,2.89
Andhra Pradesh,West Godavari,2.6240909090909095,2.8200000000000003,3.67
Andhra Pradesh,Y.s.r.,1.2778260869565217,1.12,2.4
Assam,Baksa,0.4305555555555557,0.435,0.5
Assam,Barpeta,0.5852380952380952,0.5,1.0
Assam,Biswanath,0.3833333333333333,0.36,0.5
Assam,Bongaigaon,0.5724999999999999,0.46499999999999997,1.0
Assam,Cachar,0.3778260869565218,0.37,0.44
Assam,Chirang,0.4150000000000001,0.415,0.5
Assam,Darrang,0.8818181818181817,0.5,3.0
Assam,Dhemaji,0.43086956521739134,0.43,0.5
Assam,Dhubri,0.41400000000000003,0.41,0.5
Assam,Dibrugarh,0.5755555555555555,0.5,1.0
Assam,Dima Hasao,0.48695652173913034,0.47,0.54
Assam,Goalpara,0.36812500000000004,0.39,0.43
Assam,Golaghat,0.42347826086956525,0.42,0.5
Assam,Hailakandi,0.4069565217391305,0.38,0.5
Assam,Jorhat,0.46434782608695657,0.43,0.75
Assam,Kamrup,0.6363157894736842,0.5,1.0
Assam,Kamrup Metro,0.5108333333333334,0.5,1.0
Assam,Karbi Anglong,0.5043478260869565,0.5,0.56
Assam,Karimganj,0.4256521739130435,0.41,0.7
Assam,Kokrajhar,0.491304347826087,0.45,0.75
Assam,Lakhimpur,0.4173913043478262,0.42,0.53
Assam,Majuli,0.4000000000000001,0.4,0.4
Assam,Marigaon,0.4731818181818182,0.5,0.67
Assam,Nagaon,0.45260869565217393,0.42,0.67
Assam,Nalbari,0.7763636363636363,1.0,1.0
Assam,Sivasagar,0.6011764705882353,0.5,1.0
Assam,Sonitpur,0.5217391304347825,0.45,1.0
Assam,Tinsukia,0.75,0.75,1.0
Assam,Udalguri,0.9166666666666666,1.0,1.0
Assam,West Karbi Anglong,0.5333333333333333,0.53,0.54
Chhattisgarh,Balod,1.7025,1.56,2.29
Chhattisgarh,Baloda Bazar,1.6440000000000001,1.84,2.33
Chhattisgarh,Balrampur,0.4466666666666666,0.17,1.0
Chhattisgarh,Bastar,0.7060000000000001,0.77,0.8
Chhattisgarh,Bemetara,1.2841666666666665,1.37,1.74
Chhattisgarh,Bijapur,1.0,1.0,1.0
Chhattisgarh,Bilaspur,1.2466666666666668,1.57,1.58
Chhattisgarh,Dantewada,0.7749999999999999,0.6799999999999999,1.4
Chhattisgarh,Durg,1.5031578947368418,1.5,1.79
Chhattisgarh,Gariyaband,1.7075,1.75,3.0
Chhattisgarh,Kabirdham,2.5,2.5,2.5
Chhattisgarh,Kanker,0.07,0.07,0.07
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.36,0.36,0.36
Chhattisgarh,Kondagaon,0.5,0.5,0.5
Chhattisgarh,Manendragarh Chirimiri Bharatpur,3.0,3.0,3.0
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.33,0.33,0.33
Chhattisgarh,Mungeli,1.8800000000000001,1.8800000000000001,2.18
Chhattisgarh,Raipur,2.0,2.09,2.5
Chhattisgarh,Rajnandgaon,2.620833333333333,2.995,3.53
Chhattisgarh,Sarangarh Bilaigarh,0.5,0.5,0.5
Chhattisgarh,Sukma,1.6966666666666665,2.0,2.59
Chhattisgarh,Surguja,1.145,1.0,1.71
Gujarat,Ahmadabad,1.608695652173913,1.64,2.83
Gujarat,Amreli,2.6143478260869566,2.6,5.52
Gujarat,Anand,3.558,3.735,5.18
Gujarat,Arvalli,2.9355555555555557,3.21,4.05
Gujarat,Banas Kantha,3.0286956521739135,3.51,5.17
Gujarat,Bharuch,1.9904347826086957,2.09,3.14
Gujarat,Bhavnagar,2.8347826086956522,2.73,4.83
Gujarat,Botad,3.053333333333333,3.11,5.25
Gujarat,Chhotaudepur,3.9322222222222223,4.49,5.4
Gujarat,Devbhumi Dwarka,2.8811111111111116,3.64,4.84
Gujarat,Dohad,2.0315000000000003,2.01,4.06
Gujarat,Gandhinagar,3.4234782608695657,3.81,4.31
Gujarat,Gir Somnath,2.673333333333334,2.42,5.21
Gujarat,Jamnagar,3.5495652173913057,4.13,6.36
Gujarat,Junagadh,3.5965217391304343,3.77,6.89
Gujarat,Kachchh,3.539130434782609,3.88,5.4
Gujarat,Kheda,2.87,3.15,4.17
Gujarat,Mahesana,3.0786956521739133,3.5,4.46
Gujarat,Mahisagar,2.9144444444444444,3.32,4.0
Gujarat,Morbi,3.254444444444444,3.48,4.55
Gujarat,Narmada,2.585,2.73,3.47
Gujarat,Panch Mahals,2.508695652173913,2.56,4.41
Gujarat,Patan,2.2105,2.145,3.64
Gujarat,Porbandar,3.0799999999999996,2.96,6.31
Gujarat,Rajkot,3.5043478260869563,4.41,6.04
Gujarat,Sabar Kantha,2.810869565217391,3.02,4.51
Gujarat,Surat,3.016086956521739,3.08,7.28
Gujarat,Surendranagar,2.2686956521739132,2.4,3.59
Gujarat,Tapi,2.7306666666666666,3.17,4.13
Gujarat,Vadodara,3.1852173913043473,3.33,5.54
Haryana,Bhiwani,2.2678260869565214,2.36,3.69
Haryana,Charki Dadri,1.6383333333333334,1.895,2.31
Haryana,Faridabad,2.4985714285714287,2.5,4.0
Haryana,Fatehabad,3.2973913043478262,3.67,4.84
Haryana,Gurugram,2.2512499999999998,2.475,3.18
Haryana,Hisar,2.7230434782608692,2.95,4.34
Haryana,Jhajjar,2.465652173913044,2.57,5.37
Haryana,Jind,2.6469565217391304,2.96,4.05
Haryana,Kaithal,2.8556521739130436,2.89,4.75
Haryana,Karnal,3.19,3.57,4.0
