State,District,Mean,Median,Max
A & N Islands,Nicobars,1.226470588235294,1.3,3.0
A & N Islands,North And Middle Andaman,4.515714285714287,3.52,21.23
A & N Islands,South Andamans,5.0582352941176465,2.46,21.71
Andhra Pradesh,Alluri Sitharama Raju,3.7,3.7,3.7
Andhra Pradesh,Anakapalli,6.25,6.25,6.25
Andhra Pradesh,Anantapur,2.773913043478261,2.69,4.55
Andhra Pradesh,Annamayya,3.39,3.39,3.39
Andhra Pradesh,Bapatla,8.14,8.14,8.14
Andhra Pradesh,Chittoor,2.303913043478261,2.14,4.35
Andhra Pradesh,East Godavari,3.691363636363636,3.77,6.15
Andhra Pradesh,Eluru,4.07,4.07,4.07
Andhra Pradesh,Guntur,4.659130434782608,4.9,8.35
Andhra Pradesh,Kakinada,6.12,6.12,6.12
Andhra Pradesh,Krishna,4.463478260869566,3.67,7.43
Andhra Pradesh,Kurnool,2.96608695652174,2.85,5.75
Andhra Pradesh,Nandyal,6.0,6.0,6.0
Andhra Pradesh,Ntr,7.25,7.25,7.25
Andhra Pradesh,Palnadu,6.09,6.09,6.09
Andhra Pradesh,Parvathipuram Manyam,6.21,6.21,6.21
Andhra Pradesh,Prakasam,3.125217391304348,3.33,4.68
Andhra Pradesh,Spsr Nellore,4.65695652173913,4.26,8.57
Andhra Pradesh,Sri Sathya Sai,0.83,0.83,0.83
Andhra Pradesh,Srikakulam,3.71608695652174,3.54,5.84
Andhra Pradesh,Tirupati,5.04,5.04,5.04
Andhra Pradesh,Visakhapatanam,2.37304347826087,2.12,6.29
Andhra Pradesh,Vizianagaram,1.8865217391304347,1.88,3.41
Andhra Pradesh,West Godavari,2.3395454545454544,2.17,3.86
Andhra Pradesh,Y.s.r.,3.343478260869565,3.0,7.72
Arunachal Pradesh,Anjaw,3.138947368421052,3.07,14.27
Arunachal Pradesh,Changlang,2.292608695652174,1.56,3.5
Arunachal Pradesh,Dibang Valley,2.0471428571428576,2.0,4.0
Arunachal Pradesh,East Kameng,2.0586956521739133,1.6,3.21
Arunachal Pradesh,East Siang,1.7591304347826087,1.15,3.15
Arunachal Pradesh,Kamle,2.804,2.76,2.92
Arunachal Pradesh,Kra Daadi,2.155,2.165,2.31
Arunachal Pradesh,Kurung Kumey,1.66,1.99,2.61
Arunachal Pradesh,Leparada,3.235,3.25,3.6
Arunachal Pradesh,Lohit,2.189565217391304,2.06,3.25
Arunachal Pradesh,Longding,4.082,3.35,8.1
Arunachal Pradesh,Lower Dibang Valley,1.9242857142857144,1.47,3.02
Arunachal Pradesh,Lower Siang,2.9379999999999997,2.9,3.02
