State,District,Mean,Median,Max
Andhra Pradesh,Anakapalli,2.0,2.0,2.0
Andhra Pradesh,Anantapur,0.647391304347826,0.67,1.15
Andhra Pradesh,Annamayya,1.5,1.5,1.5
Andhra Pradesh,Bapatla,2.41,2.41,2.41
Andhra Pradesh,Chittoor,1.1700000000000002,1.0,3.89
Andhra Pradesh,East Godavari,1.7013636363636364,1.75,2.43
Andhra Pradesh,Guntur,1.8534782608695652,1.87,2.39
Andhra Pradesh,Kakinada,2.37,2.37,2.37
Andhra Pradesh,Krishna,1.8539130434782607,1.87,2.5
Andhra Pradesh,Kurnool,1.1352173913043477,1.18,1.75
Andhra Pradesh,Nandyal,1.29,1.29,1.29
Andhra Pradesh,Ntr,1.91,1.91,1.91
Andhra Pradesh,Palnadu,1.8,1.8,1.8
Andhra Pradesh,Parvathipuram Manyam,1.83,1.83,1.83
Andhra Pradesh,Prakasam,1.6369565217391304,1.68,2.38
Andhra Pradesh,Spsr Nellore,1.4117391304347826,1.34,2.38
Andhra Pradesh,Sri Sathya Sai,0.57,0.57,0.57
Andhra Pradesh,Srikakulam,1.796,1.75,2.0
Andhra Pradesh,Visakhapatanam,1.69,1.7,2.37
Andhra Pradesh,Vizianagaram,1.6838095238095239,1.66,2.38
Andhra Pradesh,West Godavari,1.6283333333333332,1.55,2.4
Andhra Pradesh,Y.s.r.,0.9195652173913043,1.08,1.66
Assam,Baksa,0.6311111111111113,0.56,0.89
Assam,Barpeta,0.5182608695652174,0.44,0.72
Assam,Biswanath,0.6,0.63,0.67
Assam,Bongaigaon,0.5952173913043478,0.55,0.96
Assam,Cachar,0.5756521739130435,0.54,0.76
Assam,Chirang,0.5455555555555556,0.49,0.9
Assam,Darrang,0.6956521739130435,0.67,0.88
Assam,Dhemaji,0.5586363636363637,0.5349999999999999,0.8
Assam,Dhubri,0.8213043478260872,0.66,2.98
Assam,Dibrugarh,0.6135294117647059,0.5,1.0
Assam,Dima Hasao,0.3076923076923077,0.29,0.4
Assam,Goalpara,0.5852173913043477,0.45,1.73
Assam,Golaghat,0.519090909090909,0.495,0.67
Assam,Hailakandi,0.5156521739130434,0.5,1.0
Assam,Hojai,1.0066666666666666,1.1,1.16
Assam,Jorhat,0.6110000000000001,0.635,1.0
Assam,Kamrup,0.3852173913043479,0.33,0.95
Assam,Kamrup Metro,0.4682352941176471,0.42,1.13
Assam,Karbi Anglong,0.6182608695652173,0.56,0.77
Assam,Karimganj,0.5314285714285714,0.5,1.0
Assam,Kokrajhar,0.5634782608695653,0.53,1.1
Assam,Lakhimpur,0.5073913043478262,0.5,0.81
Assam,Majuli,0.7133333333333333,0.72,0.72
Assam,Marigaon,0.4608695652173914,0.41,1.15
Assam,Nagaon,0.5599999999999999,0.44,0.95
Assam,Nalbari,0.5556521739130436,0.47,0.83
Assam,Sivasagar,0.5589473684210526,0.6,0.83
Assam,Sonitpur,0.7391304347826086,0.73,1.01
Assam,South Salmara Mancachar,0.8266666666666667,0.83,0.85
Assam,Tinsukia,0.6561904761904762,0.67,1.0
Assam,Udalguri,0.6927777777777778,0.67,0.87
Assam,West Karbi Anglong,0.7633333333333333,0.76,0.77
Bihar,Araria,0.9905263157894735,0.94,3.65
Bihar,Arwal,1.0289473684210526,1.07,1.78
Bihar,Aurangabad,0.9043478260869565,0.9,1.27
Bihar,Banka,0.846086956521739,0.83,1.37
Bihar,Begusarai,1.0047619047619047,1.0,1.46
Bihar,Bhagalpur,0.8378260869565218,0.83,1.29
Bihar,Bhojpur,1.2052173913043478,1.19,1.83
Bihar,Buxar,1.131304347826087,1.17,1.72
Bihar,Darbhanga,0.9963636363636365,1.02,1.55
Bihar,Gaya,1.0647826086956522,1.01,2.26
Bihar,Gopalganj,1.266,1.1400000000000001,2.26
Bihar,Jamui,0.8239130434782609,0.85,1.26
Bihar,Jehanabad,1.0969565217391304,1.12,1.77
Bihar,Kaimur (Bhabua),0.8899999999999999,0.85,1.25
Bihar,Katihar,1.0054545454545454,0.96,3.65
Bihar,Khagaria,0.9460869565217392,0.93,1.5
Bihar,Kishanganj,0.9782608695652174,0.95,3.65
Bihar,Lakhisarai,1.0621739130434784,1.07,1.77
Bihar,Madhepura,0.9871428571428572,1.0,1.08
Bihar,Madhubani,0.9973913043478262,1.0,1.54
Bihar,Munger,0.9804347826086953,1.0,1.38
Bihar,Muzaffarpur,1.0390000000000001,1.0,1.5
Bihar,Nalanda,1.0134782608695654,0.98,1.57
Bihar,Nawada,0.9622727272727272,0.895,1.46
Bihar,Pashchim Champaran,1.0404761904761906,1.0,1.39
Bihar,Patna,1.2626086956521738,1.22,1.89
Bihar,Purbi Champaran,0.9888888888888889,0.98,1.2
Bihar,Purnia,0.97125,0.87,3.65
Bihar,Rohtas,1.1417391304347826,1.09,1.94
Bihar,Saharsa,0.9575,1.0,1.0
Bihar,Samastipur,1.0056521739130435,1.04,1.55
Bihar,Saran,1.14,1.0,2.25
Bihar,Sheikhpura,1.076086956521739,1.05,1.65
Bihar,Sheohar,1.35,1.35,1.4
Bihar,Sitamarhi,1.01,0.98,1.29
Bihar,Siwan,1.1513043478260871,1.05,2.25
Bihar,Supaul,0.9685714285714285,1.0,1.0
Bihar,Vaishali,1.0319047619047619,1.0,1.4
Chandigarh,Chandigarh,1.0,1.0,1.0
Chhattisgarh,Balod,0.9983333333333334,1.02,1.33
Chhattisgarh,Baloda Bazar,0.9883333333333333,0.975,1.52
Chhattisgarh,Balrampur,0.8241666666666667,0.8,1.11
Chhattisgarh,Bastar,0.8791304347826088,0.9,1.36
Chhattisgarh,Bemetara,0.9366666666666666,1.0,1.28
Chhattisgarh,Bijapur,0.835,0.835,1.0
