State,District,Mean,Median,Max
Assam,Baksa,7.932222222222222,7.3149999999999995,15.35
Assam,Barpeta,9.580434782608695,9.97,14.46
Assam,Biswanath,9.203333333333333,8.19,11.66
Assam,Bongaigaon,11.258260869565218,10.94,18.35
Assam,Cachar,10.590869565217393,10.68,12.33
Assam,Charaideo,12.016666666666666,12.0,12.25
Assam,Chirang,9.565,9.6,10.39
Assam,Darrang,10.886086956521739,10.67,16.54
Assam,Dhemaji,10.597391304347827,10.69,12.33
Assam,Dhubri,10.055217391304348,9.35,16.27
Assam,Dibrugarh,10.60086956521739,10.73,12.33
Assam,Dima Hasao,10.592608695652174,10.68,12.32
Assam,Goalpara,10.106521739130436,9.36,16.25
Assam,Golaghat,10.298695652173915,10.27,12.32
Assam,Hailakandi,10.887391304347826,10.77,17.07
Assam,Hojai,14.693333333333333,16.27,16.3
Assam,Jorhat,10.599565217391305,10.69,12.35
Assam,Kamrup,10.10695652173913,9.33,15.33
Assam,Kamrup Metro,11.13,10.955,14.04
Assam,Karbi Anglong,11.046956521739132,11.11,13.01
Assam,Karimganj,10.596086956521741,10.69,12.33
Assam,Kokrajhar,10.007391304347824,10.1,13.52
Assam,Lakhimpur,8.957391304347828,8.56,12.33
Assam,Majuli,12.116666666666667,12.1,12.4
Assam,Marigaon,10.099565217391307,9.78,15.17
Assam,Nagaon,13.913913043478262,14.47,17.37
Assam,Nalbari,8.653913043478262,8.87,10.12
Assam,Sivasagar,10.581304347826087,10.67,12.29
Assam,Sonitpur,8.562173913043477,8.75,10.18
Assam,South Salmara Mancachar,10.266666666666666,10.0,11.36
Assam,Tinsukia,10.60304347826087,10.63,12.5
Assam,Udalguri,11.27111111111111,11.185,16.75
Assam,West Karbi Anglong,12.086666666666666,12.08,12.31
Bihar,Araria,9.969999999999999,9.58,24.39
Bihar,Arwal,12.0,12.0,12.5
Bihar,Banka,7.21,7.21,7.42
Bihar,Begusarai,8.852,9.33,10.33
Bihar,Bhagalpur,8.564285714285713,8.0,11.57
Bihar,Buxar,8.0,8.0,8.0
Bihar,Darbhanga,7.8,7.8,7.8
Bihar,Gaya,11.625,11.75,15.0
Bihar,Gopalganj,8.233333333333333,8.0,10.0
Bihar,Jehanabad,10.25,10.25,10.25
Bihar,Katihar,12.398695652173911,10.54,26.52
Bihar,Khagaria,10.571666666666667,9.5,15.0
Bihar,Kishanganj,8.800434782608697,7.81,14.84
Bihar,Madhepura,13.523043478260869,12.71,36.89
Bihar,Madhubani,9.508571428571429,9.2,14.33
Bihar,Munger,8.715,8.715,9.43
Bihar,Muzaffarpur,5.015,5.015,9.43
Bihar,Nawada,14.25,14.25,14.25
Bihar,Pashchim Champaran,8.34,8.755,9.17
Bihar,Purbi Champaran,8.709166666666667,8.760000000000002,11.55
Bihar,Purnia,12.6,11.93,21.19
Bihar,Rohtas,8.5,8.5,8.5
Bihar,Saharsa,13.445652173913043,12.85,25.0
Bihar,Samastipur,12.005,13.524999999999999,14.97
Bihar,Saran,7.710000000000001,7.720000000000001,9.15
Bihar,Sheohar,10.0,10.0,10.0
Bihar,Siwan,8.405000000000001,8.405000000000001,10.14
Bihar,Supaul,13.869565217391306,13.9,24.63
Bihar,Vaishali,9.751999999999999,8.920000000000002,14.94
Madhya Pradesh,Agar Malwa,0.25,0.25,0.25
Madhya Pradesh,Alirajpur,0.57,0.57,0.57
Madhya Pradesh,Anuppur,1.91,1.91,1.91
Madhya Pradesh,Balaghat,1.3399999999999999,1.2,1.96
Madhya Pradesh,Barwani,0.71,0.71,0.92
Madhya Pradesh,Betul,1.27,1.27,2.13
Madhya Pradesh,Bhind,3.0,3.0,3.0
Madhya Pradesh,Bhopal,1.89,1.89,1.89
Madhya Pradesh,Burhanpur,2.21,2.21,2.21
Madhya Pradesh,Chhatarpur,0.9325,1.0,1.23
Madhya Pradesh,Chhindwara,1.3900000000000001,1.0,3.22
Madhya Pradesh,Datia,1.4100000000000001,1.4100000000000001,2.2
Madhya Pradesh,Dewas,2.44,2.44,2.44
Madhya Pradesh,Dhar,1.285,1.285,1.97
Madhya Pradesh,Dindori,0.96,0.96,0.96
Madhya Pradesh,East Nimar,2.36,2.36,2.36
Madhya Pradesh,Gwalior,3.0,3.0,3.0
Madhya Pradesh,Harda,0.25,0.25,0.25
Madhya Pradesh,Indore,0.33,0.33,0.33
Madhya Pradesh,Jabalpur,1.3075,1.0,2.79
Madhya Pradesh,Jhabua,1.24,1.24,1.98
Madhya Pradesh,Katni,1.0,1.0,1.0
Madhya Pradesh,Khargone,1.18,1.18,2.03
Madhya Pradesh,Mandla,1.1966666666666668,1.43,1.6
Madhya Pradesh,Mandsaur,2.5,2.5,2.5
Madhya Pradesh,Morena,2.0,2.0,2.0
