State,District,Median,Max,Yield_Class
A & N Islands,North And Middle Andaman,0.3,3.0,Low
A & N Islands,South Andamans,0.4,0.64,Low
Andhra Pradesh,Alluri Sitharama Raju,0.27,0.27,Low
Andhra Pradesh,Anakapalli,0.22,0.22,Low
Andhra Pradesh,Anantapur,0.19,0.68,Low
Andhra Pradesh,Annamayya,0.3,0.3,Low
Andhra Pradesh,Bapatla,0.33,0.33,Low
Andhra Pradesh,Chittoor,0.17,0.36,Low
Andhra Pradesh,East Godavari,0.48,1.0,Low
Andhra Pradesh,Eluru,0.36,0.36,Low
Andhra Pradesh,Guntur,0.9,1.56,Medium
Andhra Pradesh,Kakinada,0.37,0.37,Low
Andhra Pradesh,Konaseema,0.36,0.36,Low
Andhra Pradesh,Krishna,0.64,1.36,Medium
Andhra Pradesh,Kurnool,0.43,0.73,Low
Andhra Pradesh,Nandyal,0.42,0.42,Low
Andhra Pradesh,Ntr,1.12,1.12,High
Andhra Pradesh,Palnadu,0.97,0.97,High
Andhra Pradesh,Parvathipuram Manyam,0.46,0.46,Low
Andhra Pradesh,Prakasam,0.44,0.91,Low
Andhra Pradesh,Spsr Nellore,0.58,1.0,Medium
Andhra Pradesh,Sri Sathya Sai,0.09,0.09,Low
Andhra Pradesh,Srikakulam,0.5,1.0,Low
Andhra Pradesh,Tirupati,0.31,0.31,Low
Andhra Pradesh,Visakhapatanam,0.37,0.67,Low
Andhra Pradesh,Vizianagaram,0.51,0.96,Low
Andhra Pradesh,West Godavari,0.54,0.96,Medium
Andhra Pradesh,Y.s.r.,0.25,0.59,Low
Arunachal Pradesh,Dibang Valley,0.63,0.67,Medium
Arunachal Pradesh,East Kameng,0.95,0.95,High
Arunachal Pradesh,East Siang,0.88,0.94,Medium
Arunachal Pradesh,Kamle,0.9,0.93,Medium
Arunachal Pradesh,Leparada,1.125,1.17,High
Arunachal Pradesh,Lohit,0.88,0.93,Medium
Arunachal Pradesh,Longding,0.33,0.4,Low
Arunachal Pradesh,Lower Dibang Valley,0.94,0.95,High
Arunachal Pradesh,Lower Siang,1.0,1.03,High
Arunachal Pradesh,Lower Subansiri,1.05,1.1,High
Arunachal Pradesh,Namsai,0.42,0.62,Low
Arunachal Pradesh,Pakke Kessang,0.96,0.96,High
Arunachal Pradesh,Papum Pare,0.99,1.11,High
Arunachal Pradesh,Siang,0.7,0.71,Medium
Arunachal Pradesh,Tirap,0.54,0.62,Medium
Arunachal Pradesh,Upper Siang,0.93,0.94,High
Arunachal Pradesh,Upper Subansiri,1.38,1.41,High
Arunachal Pradesh,West Siang,1.1,1.14,High
Assam,Baksa,0.935,1.52,High
Assam,Barpeta,0.73,0.93,Medium
Assam,Biswanath,1.21,1.22,High
Assam,Bongaigaon,0.84,1.12,Medium
Assam,Cachar,0.71,0.97,Medium
Assam,Charaideo,0.82,0.82,Medium
Assam,Chirang,0.84,1.06,Medium
Assam,Darrang,0.65,2.1,Medium
Assam,Dhemaji,0.77,1.34,Medium
Assam,Dhubri,0.83,0.96,Medium
