State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,4.93,26.45,Low
A & N Islands,North And Middle Andaman,8.45,13.32,Low
A & N Islands,South Andamans,15.015,25.87,Medium
Andhra Pradesh,Anantapur,53.33,125.79,High
Andhra Pradesh,Chittoor,53.33,251.83,High
Andhra Pradesh,East Godavari,18.31,80.92,Medium
Andhra Pradesh,Guntur,30.37,90.8,High
Andhra Pradesh,Krishna,25.22,258.07,Medium
Andhra Pradesh,Kurnool,28.12,97.18,Medium
Andhra Pradesh,Prakasam,20.950000000000003,102.94,Medium
Andhra Pradesh,Spsr Nellore,20.950000000000003,144.36,Medium
Andhra Pradesh,Srikakulam,20.26,120.58,Medium
Andhra Pradesh,Visakhapatanam,19.045,94.44,Medium
Andhra Pradesh,Vizianagaram,19.44,96.28,Medium
Andhra Pradesh,West Godavari,25.575,117.56,Medium
Andhra Pradesh,Y.s.r.,61.04,165.86,High
Assam,Baksa,16.54,18.39,Medium
Assam,Barpeta,15.53,20.48,Medium
Assam,Biswanath,18.92,18.93,Medium
Assam,Bongaigaon,13.96,17.81,Medium
Assam,Cachar,17.0,18.44,Medium
Assam,Charaideo,21.49,21.5,Medium
Assam,Chirang,15.41,19.61,Medium
Assam,Darrang,14.37,19.07,Medium
Assam,Dhemaji,15.375,19.72,Medium
Assam,Dhubri,15.39,18.05,Medium
Assam,Dibrugarh,16.354999999999997,19.31,Medium
Assam,Dima Hasao,15.605,20.34,Medium
Assam,Goalpara,15.855,22.06,Medium
Assam,Golaghat,16.36,24.76,Medium
Assam,Hailakandi,12.41,19.85,Medium
Assam,Hojai,21.5,22.05,Medium
Assam,Jorhat,14.995,19.45,Medium
Assam,Kamrup,14.135,21.04,Medium
Assam,Kamrup Metro,15.63,19.28,Medium
Assam,Karbi Anglong,16.015,20.03,Medium
Assam,Karimganj,13.295000000000002,16.48,Medium
Assam,Kokrajhar,17.43,19.13,Medium
Assam,Lakhimpur,15.44,26.99,Medium
Assam,Majuli,19.94,19.98,Medium
Assam,Marigaon,15.82,20.7,Medium
Assam,Nagaon,15.295,22.05,Medium
