State,District,Median,Max,Yield_Class
Andhra Pradesh,Anantapur,0.345,0.68,Low
Andhra Pradesh,Annamayya,0.67,0.67,Medium
Andhra Pradesh,Bapatla,0.66,0.66,Medium
Andhra Pradesh,Chittoor,0.5,0.82,Medium
Andhra Pradesh,East Godavari,0.655,6.22,Medium
Andhra Pradesh,Guntur,0.74,1.05,Medium
Andhra Pradesh,Krishna,0.655,0.76,Medium
Andhra Pradesh,Kurnool,0.42,0.72,Low
Andhra Pradesh,Nandyal,0.67,0.67,Medium
Andhra Pradesh,Palnadu,0.5,0.5,Medium
Andhra Pradesh,Prakasam,0.785,1.26,Medium
Andhra Pradesh,Spsr Nellore,0.63,0.76,Medium
Andhra Pradesh,Sri Sathya Sai,0.68,0.68,Medium
Andhra Pradesh,Srikakulam,1.0,1.0,High
Andhra Pradesh,Visakhapatanam,0.6,0.97,Medium
Andhra Pradesh,West Godavari,0.6,1.0,Medium
Andhra Pradesh,Y.s.r.,0.485,0.88,Medium
Bihar,Araria,0.755,1.0,Medium
Bihar,Arwal,0.87,1.0,Medium
Bihar,Aurangabad,0.69,0.91,Medium
Bihar,Banka,0.65,0.83,Medium
Bihar,Begusarai,0.8049999999999999,0.93,Medium
Bihar,Bhagalpur,0.835,0.9,Medium
Bihar,Bhojpur,0.8,1.0,Medium
Bihar,Buxar,0.67,0.83,Medium
Bihar,Darbhanga,0.79,0.88,Medium
Bihar,Gaya,0.67,0.84,Medium
Bihar,Gopalganj,0.62,1.0,Medium
Bihar,Jehanabad,0.865,0.96,Medium
Bihar,Kaimur (Bhabua),0.69,1.0,Medium
Bihar,Katihar,0.9,1.0,Medium
Bihar,Khagaria,0.8049999999999999,1.22,Medium
Bihar,Kishanganj,0.835,0.9,Medium
Bihar,Lakhisarai,1.04,1.07,High
Bihar,Madhepura,0.8,1.0,Medium
Bihar,Madhubani,0.8400000000000001,0.92,Medium
Bihar,Muzaffarpur,0.8400000000000001,0.92,Medium
Bihar,Nalanda,0.835,0.91,Medium
Bihar,Nawada,0.6,1.0,Medium
Bihar,Pashchim Champaran,0.845,0.92,Medium
Bihar,Patna,0.845,0.91,Medium
Bihar,Purbi Champaran,0.7,0.91,Medium
Bihar,Purnia,0.67,0.8,Medium
Bihar,Rohtas,0.72,0.93,Medium
Bihar,Saharsa,0.66,0.86,Medium
Bihar,Samastipur,0.835,0.91,Medium
Bihar,Saran,0.5,0.5,Medium
Bihar,Sheikhpura,0.92,0.92,High
Bihar,Sheohar,0.9,0.93,Medium
Bihar,Sitamarhi,0.8400000000000001,0.91,Medium
Bihar,Siwan,0.82,1.0,Medium
Bihar,Supaul,0.885,0.92,Medium
Bihar,Vaishali,0.8200000000000001,0.92,Medium
Chhattisgarh,Balod,0.27,0.33,Low
Chhattisgarh,Baloda Bazar,0.38,0.48,Low
Chhattisgarh,Balrampur,0.205,0.25,Low
Chhattisgarh,Bastar,0.26,0.33,Low
Chhattisgarh,Bemetara,0.28,0.32,Low
Chhattisgarh,Bijapur,0.415,0.5,Low
Chhattisgarh,Bilaspur,0.26,0.28,Low
Chhattisgarh,Dantewada,0.33,3.0,Low
Chhattisgarh,Dhamtari,0.41,0.5,Low
Chhattisgarh,Durg,0.28,0.5,Low
Chhattisgarh,Gariyaband,0.47,1.0,Medium
Chhattisgarh,Gaurella Pendra Marwahi,0.31,0.5,Low
Chhattisgarh,Janjgir-Champa,0.29,0.4,Low
Chhattisgarh,Jashpur,0.21,0.24,Low
Chhattisgarh,Kabirdham,0.24,0.33,Low
Chhattisgarh,Kanker,0.24,0.33,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.25,0.25,Low
Chhattisgarh,Kondagaon,0.245,0.36,Low
Chhattisgarh,Korba,0.26,0.5,Low
Chhattisgarh,Korea,0.19,0.24,Low
Chhattisgarh,Mahasamund,0.4,0.5,Low
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.23,0.23,Low
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.33,0.33,Low
Chhattisgarh,Mungeli,0.275,0.37,Low
Chhattisgarh,Narayanpur,0.29,3.0,Low
Chhattisgarh,Raigarh,0.22,0.3,Low
Chhattisgarh,Raipur,0.43,0.59,Medium
Chhattisgarh,Rajnandgaon,0.24,0.31,Low
Chhattisgarh,Sakti,0.2,0.2,Low
Chhattisgarh,Sukma,0.2,0.33,Low
Chhattisgarh,Surajpur,0.235,0.29,Low
Chhattisgarh,Surguja,0.22,0.29,Low
Haryana,Ambala,2.43,8.0,High
Haryana,Bhiwani,2.64,6.2,High
Haryana,Charki Dadri,1.3450000000000002,1.6,High
Haryana,Faridabad,3.0,4.63,High
Haryana,Fatehabad,1.67,1.92,High
Haryana,Gurugram,1.6,4.8,High
Haryana,Hisar,2.5,3.33,High
Haryana,Jhajjar,2.22,3.19,High
Haryana,Jind,1.03,1.99,High
Haryana,Kaithal,2.005,3.3,High
Haryana,Karnal,2.725,6.88,High
Haryana,Kurukshetra,1.67,2.75,High
Haryana,Mahendragarh,2.57,15.0,High
Haryana,Nuh,1.95,3.0,High
Haryana,Palwal,1.635,2.9,High
Haryana,Panchkula,2.105,3.36,High
Haryana,Panipat,3.0,6.29,High
Haryana,Rewari,2.17,2.63,High
Haryana,Rohtak,2.0,2.8,High
Haryana,Sirsa,1.11,6.88,High
Haryana,Sonipat,1.95,3.04,High
