State,District,Median,Max,Yield_Class
Andhra Pradesh,Alluri Sitharama Raju,2.84,2.84,High
Andhra Pradesh,Anakapalli,2.8,2.8,High
Andhra Pradesh,Anantapur,1.01,2.83,Medium
Andhra Pradesh,Annamayya,1.83,1.83,High
Andhra Pradesh,Bapatla,2.15,2.15,High
Andhra Pradesh,Chittoor,1.48,2.76,Medium
Andhra Pradesh,East Godavari,2.18,3.69,High
Andhra Pradesh,Eluru,3.01,3.01,High
Andhra Pradesh,Guntur,3.49,5.21,High
Andhra Pradesh,Kakinada,3.63,3.63,High
Andhra Pradesh,Krishna,2.96,4.71,High
Andhra Pradesh,Kurnool,1.46,3.34,Medium
Andhra Pradesh,Nandyal,1.71,1.71,Medium
Andhra Pradesh,Ntr,3.34,3.34,High
Andhra Pradesh,Palnadu,3.03,3.03,High
Andhra Pradesh,Parvathipuram Manyam,3.08,3.08,High
Andhra Pradesh,Prakasam,2.02,3.53,High
Andhra Pradesh,Spsr Nellore,2.61,4.0,High
Andhra Pradesh,Sri Sathya Sai,0.58,0.58,Low
Andhra Pradesh,Srikakulam,2.96,4.4,High
Andhra Pradesh,Tirupati,1.83,1.83,High
Andhra Pradesh,Visakhapatanam,2.27,4.4,High
Andhra Pradesh,Vizianagaram,1.78,2.89,Medium
Andhra Pradesh,West Godavari,2.8200000000000003,3.67,High
Andhra Pradesh,Y.s.r.,1.12,2.4,Medium
Assam,Baksa,0.435,0.5,Low
Assam,Barpeta,0.5,1.0,Low
Assam,Biswanath,0.36,0.5,Low
Assam,Bongaigaon,0.4649999999999999,1.0,Low
Assam,Cachar,0.37,0.44,Low
Assam,Chirang,0.415,0.5,Low
Assam,Darrang,0.5,3.0,Low
Assam,Dhemaji,0.43,0.5,Low
Assam,Dhubri,0.41,0.5,Low
Assam,Dibrugarh,0.5,1.0,Low
Assam,Dima Hasao,0.47,0.54,Low
Assam,Goalpara,0.39,0.43,Low
Assam,Golaghat,0.42,0.5,Low
Assam,Hailakandi,0.38,0.5,Low
Assam,Jorhat,0.43,0.75,Low
Assam,Kamrup,0.5,1.0,Low
Assam,Kamrup Metro,0.5,1.0,Low
Assam,Karbi Anglong,0.5,0.56,Low
Assam,Karimganj,0.41,0.7,Low
Assam,Kokrajhar,0.45,0.75,Low
Assam,Lakhimpur,0.42,0.53,Low
Assam,Majuli,0.4,0.4,Low
Assam,Marigaon,0.5,0.67,Low
Assam,Nagaon,0.42,0.67,Low
Assam,Nalbari,1.0,1.0,Medium
Assam,Sivasagar,0.5,1.0,Low
Assam,Sonitpur,0.45,1.0,Low
Assam,Tinsukia,0.75,1.0,Medium
Assam,Udalguri,1.0,1.0,Medium
Assam,West Karbi Anglong,0.53,0.54,Low
Chhattisgarh,Balod,1.56,2.29,Medium
Chhattisgarh,Baloda Bazar,1.84,2.33,High
Chhattisgarh,Balrampur,0.17,1.0,Low
Chhattisgarh,Bastar,0.77,0.8,Medium
Chhattisgarh,Bemetara,1.37,1.74,Medium
Chhattisgarh,Bijapur,1.0,1.0,Medium
Chhattisgarh,Bilaspur,1.57,1.58,Medium
Chhattisgarh,Dantewada,0.6799999999999999,1.4,Low
Chhattisgarh,Durg,1.5,1.79,Medium
Chhattisgarh,Gariyaband,1.75,3.0,Medium
Chhattisgarh,Kabirdham,2.5,2.5,High
Chhattisgarh,Kanker,0.07,0.07,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.36,0.36,Low
Chhattisgarh,Kondagaon,0.5,0.5,Low
Chhattisgarh,Manendragarh Chirimiri Bharatpur,3.0,3.0,High
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.33,0.33,Low
Chhattisgarh,Mungeli,1.88,2.18,High
Chhattisgarh,Raipur,2.09,2.5,High
Chhattisgarh,Rajnandgaon,2.995,3.53,High
Chhattisgarh,Sarangarh Bilaigarh,0.5,0.5,Low
Chhattisgarh,Sukma,2.0,2.59,High
Chhattisgarh,Surguja,1.0,1.71,Medium
Gujarat,Ahmadabad,1.64,2.83,Medium
Gujarat,Amreli,2.6,5.52,High
Gujarat,Anand,3.735,5.18,High
Gujarat,Arvalli,3.21,4.05,High
Gujarat,Banas Kantha,3.51,5.17,High
Gujarat,Bharuch,2.09,3.14,High
Gujarat,Bhavnagar,2.73,4.83,High
Gujarat,Botad,3.11,5.25,High
Gujarat,Chhotaudepur,4.49,5.4,High
Gujarat,Devbhumi Dwarka,3.64,4.84,High
Gujarat,Dohad,2.01,4.06,High
Gujarat,Gandhinagar,3.81,4.31,High
Gujarat,Gir Somnath,2.42,5.21,High
Gujarat,Jamnagar,4.13,6.36,High
Gujarat,Junagadh,3.77,6.89,High
Gujarat,Kachchh,3.88,5.4,High
Gujarat,Kheda,3.15,4.17,High
Gujarat,Mahesana,3.5,4.46,High
Gujarat,Mahisagar,3.32,4.0,High
Gujarat,Morbi,3.48,4.55,High
Gujarat,Narmada,2.73,3.47,High
Gujarat,Panch Mahals,2.56,4.41,High
Gujarat,Patan,2.145,3.64,High
Gujarat,Porbandar,2.96,6.31,High
Gujarat,Rajkot,4.41,6.04,High
Gujarat,Sabar Kantha,3.02,4.51,High
Gujarat,Surat,3.08,7.28,High
Gujarat,Surendranagar,2.4,3.59,High
