State,District,Median,Max,Yield_Class
Andhra Pradesh,Srikakulam,2.0,2.0,Medium
Andhra Pradesh,Y.s.r.,2.1,2.1,Medium
Bihar,Araria,1.49,1.58,Low
Bihar,Arwal,1.58,2.5,Low
Bihar,Aurangabad,1.5,1.62,Low
Bihar,Banka,1.5,1.67,Low
Bihar,Begusarai,1.48,2.24,Low
Bihar,Bhagalpur,1.49,1.67,Low
Bihar,Bhojpur,1.5,1.56,Low
Bihar,Buxar,1.97,2.0,Medium
Bihar,Darbhanga,1.49,1.52,Low
Bihar,Gaya,1.45,1.6,Low
Bihar,Gopalganj,1.48,1.59,Low
Bihar,Jamui,2.0,2.0,Medium
Bihar,Jehanabad,1.5,2.5,Low
Bihar,Kaimur (Bhabua),1.69,1.73,Low
Bihar,Katihar,1.47,1.66,Low
Bihar,Khagaria,1.5,2.24,Low
Bihar,Kishanganj,1.47,1.66,Low
Bihar,Lakhisarai,1.47,1.48,Low
Bihar,Madhepura,1.495,1.66,Low
Bihar,Madhubani,1.53,1.59,Low
Bihar,Muzaffarpur,1.51,1.76,Low
Bihar,Nalanda,1.55,1.67,Low
Bihar,Nawada,1.5,1.56,Low
Bihar,Pashchim Champaran,1.56,1.76,Low
Bihar,Patna,1.5,1.58,Low
Bihar,Purbi Champaran,1.625,1.74,Low
Bihar,Purnia,1.47,1.51,Low
Bihar,Rohtas,1.4449999999999998,1.57,Low
Bihar,Saharsa,1.485,1.5,Low
Bihar,Samastipur,1.53,1.59,Low
Bihar,Saran,1.47,1.59,Low
Bihar,Sheikhpura,1.42,1.42,Low
Bihar,Sheohar,1.49,1.56,Low
Bihar,Sitamarhi,1.53,1.77,Low
Bihar,Siwan,1.52,1.64,Low
Bihar,Supaul,1.485,1.66,Low
Bihar,Vaishali,1.51,1.76,Low
Chhattisgarh,Baloda Bazar,2.6,3.0,Medium
Chhattisgarh,Balrampur,2.335,2.96,Medium
Chhattisgarh,Bastar,3.45,3.5,Medium
Chhattisgarh,Bemetara,2.96,4.0,Medium
Chhattisgarh,Bilaspur,3.5,3.79,Medium
Chhattisgarh,Dantewada,3.0,4.0,Medium
Chhattisgarh,Dhamtari,3.0,3.0,Medium
Chhattisgarh,Durg,3.0,3.38,Medium
Chhattisgarh,Gariyaband,2.725,4.0,Medium
Chhattisgarh,Gaurella Pendra Marwahi,4.055,5.0,Medium
Chhattisgarh,Janjgir-Champa,3.5,3.83,Medium
Chhattisgarh,Jashpur,2.88,3.04,Medium
Chhattisgarh,Kabirdham,1.815,2.36,Low
Chhattisgarh,Kanker,2.94,3.44,Medium
Chhattisgarh,Khairgarh Chhuikhadan Gandai,4.0,4.0,Medium
Chhattisgarh,Kondagaon,3.0,3.27,Medium
Chhattisgarh,Korba,3.36,3.63,Medium
Chhattisgarh,Korea,2.41,2.95,Medium
Chhattisgarh,Mahasamund,2.73,4.0,Medium
Chhattisgarh,Manendragarh Chirimiri Bharatpur,2.75,2.75,Medium
Chhattisgarh,Mungeli,4.0,5.0,Medium
Chhattisgarh,Raigarh,2.89,3.13,Medium
Chhattisgarh,Raipur,2.8,4.0,Medium
Chhattisgarh,Rajnandgaon,3.0,4.0,Medium
Chhattisgarh,Sakti,3.6,3.6,Medium
Chhattisgarh,Sarangarh Bilaigarh,4.0,4.0,Medium
Chhattisgarh,Sukma,3.0,4.0,Medium
Chhattisgarh,Surajpur,2.665,3.0,Medium
Chhattisgarh,Surguja,2.64,2.95,Medium
Gujarat,Ahmadabad,7.0,8.0,High
Gujarat,Amreli,5.98,10.79,High
Gujarat,Anand,5.925,9.5,High
Gujarat,Arvalli,6.96,8.0,High
Gujarat,Banas Kantha,6.065,8.02,High
Gujarat,Bharuch,2.0,2.0,Medium
Gujarat,Bhavnagar,6.1850000000000005,8.02,High
Gujarat,Botad,6.68,8.7,High
Gujarat,Chhotaudepur,5.68,5.8,High
Gujarat,Dang,6.74,9.0,High
Gujarat,Devbhumi Dwarka,7.0,8.64,High
Gujarat,Dohad,6.25,10.0,High
Gujarat,Gandhinagar,7.0,7.0,High
Gujarat,Gir Somnath,6.95,7.63,High
Gujarat,Jamnagar,5.84,8.02,High
Gujarat,Junagadh,6.01,9.68,High
Gujarat,Kachchh,6.17,8.03,High
Gujarat,Kheda,6.17,9.0,High
Gujarat,Mahesana,5.715,8.02,High
Gujarat,Mahisagar,6.96,8.02,High
Gujarat,Morbi,6.81,8.86,High
Gujarat,Narmada,6.17,6.17,High
Gujarat,Navsari,4.0,6.67,Medium
Gujarat,Panch Mahals,6.14,8.25,High
Gujarat,Patan,6.9,8.03,High
Gujarat,Porbandar,6.5,8.03,High
Gujarat,Rajkot,6.84,8.2,High
Gujarat,Sabar Kantha,6.81,9.0,High
Gujarat,Surat,5.83,8.04,High
Gujarat,Surendranagar,6.0,9.17,High
Gujarat,Tapi,5.83,8.0,High
Gujarat,Vadodara,6.09,8.03,High
Gujarat,Valsad,3.5,4.0,Medium
Haryana,Ambala,9.45,11.11,High
Haryana,Bhiwani,11.605,18.61,High
Haryana,Charki Dadri,10.56,12.79,High
Haryana,Faridabad,11.43,18.75,High
Haryana,Fatehabad,10.805,23.64,High
Haryana,Gurugram,8.5,15.28,High
Haryana,Hisar,7.785,10.35,High
Haryana,Jhajjar,11.645,16.75,High
Haryana,Jind,12.32,16.48,High
Haryana,Kaithal,10.14,15.4,High
Haryana,Karnal,9.49,19.77,High
Haryana,Kurukshetra,8.835,12.5,High
Haryana,Mahendragarh,13.33,20.0,High
Haryana,Nuh,7.26,10.1,High
Haryana,Palwal,7.125,8.33,High
Haryana,Panchkula,11.0,16.0,High
Haryana,Panipat,10.89,18.42,High
Haryana,Rewari,8.88,10.95,High
Haryana,Rohtak,7.95,11.15,High
Haryana,Sirsa,6.67,12.79,High
Haryana,Sonipat,10.935,19.2,High
Haryana,Yamunanagar,9.655,18.68,High
Himachal Pradesh,Bilaspur,1.0,1.89,Low
Himachal Pradesh,Chamba,0.63,2.17,Low
Himachal Pradesh,Hamirpur,1.11,2.27,Low
Himachal Pradesh,Kangra,1.19,2.34,Low
Himachal Pradesh,Kullu,0.92,1.8,Low
Himachal Pradesh,Mandi,1.23,1.65,Low
Himachal Pradesh,Shimla,1.22,2.12,Low
Himachal Pradesh,Sirmaur,1.47,2.06,Low
