State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,2.81,7.9,Medium
A & N Islands,North And Middle Andaman,9.135,14.33,High
A & N Islands,South Andamans,8.57,11.85,High
Andhra Pradesh,Alluri Sitharama Raju,2.95,2.95,Medium
Andhra Pradesh,Anantapur,2.835,3.0,Medium
Andhra Pradesh,Bapatla,3.0,3.0,Medium
Andhra Pradesh,Chittoor,2.67,3.0,Medium
Andhra Pradesh,East Godavari,2.71,3.13,Medium
Andhra Pradesh,Guntur,1.91,1.91,Medium
Andhra Pradesh,Krishna,2.75,9.33,Medium
Andhra Pradesh,Kurnool,2.755,3.0,Medium
Andhra Pradesh,Ntr,3.0,3.0,Medium
Andhra Pradesh,Parvathipuram Manyam,2.07,2.07,Medium
Andhra Pradesh,Prakasam,3.0,7.75,Medium
Andhra Pradesh,Spsr Nellore,3.0,3.0,Medium
Andhra Pradesh,Sri Sathya Sai,3.0,3.0,Medium
Andhra Pradesh,Srikakulam,2.025,9.33,Medium
Andhra Pradesh,Visakhapatanam,2.63,2.84,Medium
Andhra Pradesh,Vizianagaram,2.75,9.32,Medium
Andhra Pradesh,West Godavari,2.875,9.5,Medium
Andhra Pradesh,Y.s.r.,2.5,8.0,Medium
Arunachal Pradesh,Anjaw,7.0,20.16,High
Arunachal Pradesh,Changlang,7.21,7.73,High
Arunachal Pradesh,Dibang Valley,4.82,16.67,Medium
Arunachal Pradesh,East Kameng,4.44,4.95,Medium
Arunachal Pradesh,East Siang,8.31,22.01,High
Arunachal Pradesh,Kamle,5.98,6.23,High
Arunachal Pradesh,Kra Daadi,6.205,7.35,High
Arunachal Pradesh,Kurung Kumey,6.0,7.25,High
Arunachal Pradesh,Leparada,7.385,7.59,High
Arunachal Pradesh,Lohit,8.23,10.0,High
Arunachal Pradesh,Longding,6.745,8.18,High
Arunachal Pradesh,Lower Dibang Valley,7.68,8.5,High
Arunachal Pradesh,Lower Siang,7.26,7.36,High
Arunachal Pradesh,Lower Subansiri,5.65,7.07,High
Arunachal Pradesh,Namsai,7.715,8.39,High
Arunachal Pradesh,Pakke Kessang,4.745,4.92,Medium
Arunachal Pradesh,Papum Pare,7.31,10.3,High
Arunachal Pradesh,Shi Yomi,6.97,7.1,High
Arunachal Pradesh,Siang,7.205,7.99,High
Arunachal Pradesh,Tawang,2.5,3.79,Medium
Arunachal Pradesh,Tirap,4.88,8.18,Medium
Arunachal Pradesh,Upper Siang,5.0,6.67,Medium
Arunachal Pradesh,Upper Subansiri,7.130000000000001,11.6,High
Arunachal Pradesh,West Kameng,3.58,4.96,Medium
Arunachal Pradesh,West Siang,7.44,9.88,High
Assam,Baksa,8.03,9.06,High
Assam,Barpeta,7.675,8.39,High
Assam,Biswanath,10.11,10.42,High
Assam,Bongaigaon,6.52,9.08,High
Assam,Cachar,7.135,8.94,High
Assam,Charaideo,9.8,10.7,High
Assam,Chirang,6.37,6.96,High
Assam,Darrang,7.765,8.96,High
Assam,Dhemaji,8.78,9.8,High
Assam,Dhubri,8.705,11.31,High
Assam,Dibrugarh,7.86,10.22,High
Assam,Dima Hasao,9.0,9.14,High
Assam,Goalpara,7.39,8.51,High
Assam,Golaghat,8.97,9.44,High
Assam,Hailakandi,6.14,8.18,High
Assam,Hojai,10.7,10.98,High
Assam,Jorhat,7.89,10.17,High
Assam,Kamrup,7.68,8.99,High
Assam,Kamrup Metro,9.98,12.18,High
Assam,Karbi Anglong,10.69,10.86,High
Assam,Karimganj,7.69,10.2,High
Assam,Kokrajhar,7.575,8.79,High
Assam,Lakhimpur,7.82,8.87,High
Assam,Majuli,9.81,10.07,High
Assam,Marigaon,8.985,10.5,High
Assam,Nagaon,9.98,10.94,High
Assam,Nalbari,7.985,9.67,High
Assam,Sivasagar,7.715,10.2,High
Assam,Sonitpur,9.705,10.11,High
Assam,South Salmara Mancachar,11.68,12.38,High
Assam,Tinsukia,7.89,8.55,High
Assam,Udalguri,9.88,10.47,High
Assam,West Karbi Anglong,10.0,10.04,High
Bihar,Araria,1.51,2.0,Low
Bihar,Arwal,1.5,1.67,Low
Bihar,Aurangabad,1.33,2.0,Low
