State,District,Median,Max,Yield_Class
Andhra Pradesh,Anakapalli,2.0,2.0,High
Andhra Pradesh,Anantapur,0.67,1.15,Low
Andhra Pradesh,Annamayya,1.5,1.5,High
Andhra Pradesh,Bapatla,2.41,2.41,High
Andhra Pradesh,Chittoor,1.0,3.89,Medium
Andhra Pradesh,East Godavari,1.75,2.43,High
Andhra Pradesh,Guntur,1.87,2.39,High
Andhra Pradesh,Kakinada,2.37,2.37,High
Andhra Pradesh,Krishna,1.87,2.5,High
Andhra Pradesh,Kurnool,1.18,1.75,High
Andhra Pradesh,Nandyal,1.29,1.29,High
Andhra Pradesh,Ntr,1.91,1.91,High
Andhra Pradesh,Palnadu,1.8,1.8,High
Andhra Pradesh,Parvathipuram Manyam,1.83,1.83,High
Andhra Pradesh,Prakasam,1.68,2.38,High
Andhra Pradesh,Spsr Nellore,1.34,2.38,High
Andhra Pradesh,Sri Sathya Sai,0.57,0.57,Low
Andhra Pradesh,Srikakulam,1.75,2.0,High
Andhra Pradesh,Visakhapatanam,1.7,2.37,High
Andhra Pradesh,Vizianagaram,1.66,2.38,High
Andhra Pradesh,West Godavari,1.55,2.4,High
Andhra Pradesh,Y.s.r.,1.08,1.66,Medium
Assam,Baksa,0.56,0.89,Low
Assam,Barpeta,0.44,0.72,Low
Assam,Biswanath,0.63,0.67,Low
Assam,Bongaigaon,0.55,0.96,Low
Assam,Cachar,0.54,0.76,Low
Assam,Chirang,0.49,0.9,Low
Assam,Darrang,0.67,0.88,Low
Assam,Dhemaji,0.5349999999999999,0.8,Low
Assam,Dhubri,0.66,2.98,Low
Assam,Dibrugarh,0.5,1.0,Low
Assam,Dima Hasao,0.29,0.4,Low
Assam,Goalpara,0.45,1.73,Low
Assam,Golaghat,0.495,0.67,Low
Assam,Hailakandi,0.5,1.0,Low
Assam,Hojai,1.1,1.16,Medium
Assam,Jorhat,0.635,1.0,Low
Assam,Kamrup,0.33,0.95,Low
Assam,Kamrup Metro,0.42,1.13,Low
Assam,Karbi Anglong,0.56,0.77,Low
Assam,Karimganj,0.5,1.0,Low
Assam,Kokrajhar,0.53,1.1,Low
Assam,Lakhimpur,0.5,0.81,Low
Assam,Majuli,0.72,0.72,Medium
Assam,Marigaon,0.41,1.15,Low
Assam,Nagaon,0.44,0.95,Low
Assam,Nalbari,0.47,0.83,Low
Assam,Sivasagar,0.6,0.83,Low
