State,District,Median,Max,Yield_Class
Andhra Pradesh,Alluri Sitharama Raju,0.73,0.73,Low
Andhra Pradesh,Anakapalli,7.0,7.0,High
Andhra Pradesh,Anantapur,0.65,1.54,Low
Andhra Pradesh,Annamayya,1.69,1.69,High
Andhra Pradesh,Bapatla,8.29,8.29,High
Andhra Pradesh,Chittoor,0.815,1.54,Medium
Andhra Pradesh,East Godavari,0.795,7.24,Medium
Andhra Pradesh,Eluru,6.23,6.23,High
Andhra Pradesh,Guntur,5.69,7.92,High
Andhra Pradesh,Kakinada,7.0,7.0,High
Andhra Pradesh,Krishna,3.17,7.24,High
Andhra Pradesh,Kurnool,1.86,2.51,High
Andhra Pradesh,Nandyal,2.71,2.71,High
Andhra Pradesh,Ntr,4.2,4.2,High
Andhra Pradesh,Palnadu,2.26,2.26,High
Andhra Pradesh,Parvathipuram Manyam,1.15,1.15,Medium
Andhra Pradesh,Prakasam,1.25,2.36,Medium
Andhra Pradesh,Spsr Nellore,2.21,4.59,High
Andhra Pradesh,Sri Sathya Sai,0.52,0.52,Low
Andhra Pradesh,Srikakulam,1.11,2.89,Medium
Andhra Pradesh,Tirupati,2.33,2.33,High
Andhra Pradesh,Visakhapatanam,1.085,2.8,Medium
Andhra Pradesh,Vizianagaram,1.185,3.74,Medium
Andhra Pradesh,West Godavari,2.17,4.82,High
Andhra Pradesh,Y.s.r.,1.05,1.83,Medium
Bihar,Araria,1.01,1.04,Medium
Bihar,Begusarai,1.06,1.09,Medium
Bihar,Bhagalpur,1.08,1.13,Medium
Bihar,Bhojpur,1.06,1.11,Medium
Bihar,Buxar,1.06,1.11,Medium
Bihar,Darbhanga,1.1,1.11,Medium
Bihar,Gaya,1.0,1.1,Medium
Bihar,Gopalganj,1.01,1.04,Medium
Bihar,Jamui,0.89,0.89,Medium
Bihar,Jehanabad,1.0,1.14,Medium
Bihar,Kaimur (Bhabua),1.01,1.05,Medium
Bihar,Khagaria,1.06,1.12,Medium
Bihar,Madhepura,1.01,1.01,Medium
Bihar,Madhubani,1.1,1.11,Medium
Bihar,Muzaffarpur,1.005,1.01,Medium
Bihar,Nawada,1.06,1.06,Medium
Bihar,Pashchim Champaran,1.06,1.11,Medium
Bihar,Patna,1.07,1.13,Medium
Bihar,Purbi Champaran,1.0,1.2,Medium
Bihar,Purnia,1.02,1.02,Medium
Bihar,Rohtas,1.0,1.13,Medium
Bihar,Saharsa,1.06,1.06,Medium
Bihar,Samastipur,1.06,1.11,Medium
Bihar,Saran,1.07,1.1,Medium
Bihar,Sheikhpura,1.04,1.04,Medium
Bihar,Sitamarhi,1.06,1.1,Medium
Bihar,Siwan,1.035,1.07,Medium
Bihar,Supaul,1.025,1.05,Medium
Bihar,Vaishali,1.04,1.11,Medium
Chhattisgarh,Balod,0.73,1.0,Low
Chhattisgarh,Baloda Bazar,0.67,1.23,Low
Chhattisgarh,Balrampur,0.815,1.32,Medium
Chhattisgarh,Bastar,1.16,2.12,Medium
Chhattisgarh,Bemetara,1.0,1.33,Medium
Chhattisgarh,Bijapur,0.4549999999999999,1.41,Low
Chhattisgarh,Bilaspur,0.92,1.6,Medium
Chhattisgarh,Dantewada,0.94,2.38,Medium
Chhattisgarh,Dhamtari,0.925,2.65,Medium
Chhattisgarh,Durg,0.97,2.3,Medium
Chhattisgarh,Gariyaband,0.9,1.43,Medium
Chhattisgarh,Gaurella Pendra Marwahi,1.39,1.57,Medium
Chhattisgarh,Janjgir-Champa,0.835,1.0,Medium
Chhattisgarh,Jashpur,1.13,1.66,Medium
Chhattisgarh,Kabirdham,0.9,3.33,Medium
Chhattisgarh,Kanker,1.18,1.95,Medium
Chhattisgarh,Kondagaon,1.0550000000000002,2.0,Medium
Chhattisgarh,Korba,0.86,1.44,Medium
Chhattisgarh,Korea,0.84,1.44,Medium
Chhattisgarh,Mahasamund,0.83,1.51,Medium
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.94,0.94,Medium
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2.0,2.0,High
Chhattisgarh,Mungeli,1.0,1.0,Medium
Chhattisgarh,Narayanpur,1.0,1.8,Medium
Chhattisgarh,Raigarh,1.0,2.0,Medium
Chhattisgarh,Raipur,0.87,1.56,Medium
Chhattisgarh,Rajnandgaon,0.92,1.51,Medium
Chhattisgarh,Sukma,1.02,1.5,Medium
Chhattisgarh,Surajpur,1.0,1.47,Medium
Chhattisgarh,Surguja,0.94,1.62,Medium
DNHDD,Dadra And Nagar Haveli,0.845,22.0,Medium
Delhi,Central,0.96,1.0,Medium
Gujarat,Ahmadabad,1.0750000000000002,1.37,Medium
Gujarat,Amreli,1.04,1.55,Medium
Gujarat,Anand,1.155,1.5,Medium
Gujarat,Arvalli,1.35,1.52,Medium
Gujarat,Banas Kantha,0.955,1.22,Medium
Gujarat,Bharuch,1.02,1.42,Medium
Gujarat,Bhavnagar,1.33,1.56,Medium
Gujarat,Botad,1.31,1.54,Medium
Gujarat,Chhotaudepur,1.31,1.48,Medium
Gujarat,Dang,1.37,3.43,Medium
Gujarat,Devbhumi Dwarka,1.32,1.32,Medium
Gujarat,Dohad,1.0,1.54,Medium
Gujarat,Gandhinagar,0.99,1.44,Medium
Gujarat,Gir Somnath,1.79,2.4,High
Gujarat,Jamnagar,1.0,1.44,Medium
Gujarat,Junagadh,1.44,2.0,Medium
Gujarat,Kachchh,1.39,1.54,Medium
Gujarat,Kheda,1.07,1.55,Medium
Gujarat,Mahesana,1.0,1.44,Medium
Gujarat,Mahisagar,1.46,1.54,Medium
Gujarat,Morbi,1.33,1.43,Medium
Gujarat,Narmada,1.255,1.66,Medium
Gujarat,Navsari,1.205,2.74,Medium
Gujarat,Panch Mahals,1.12,1.53,Medium
Gujarat,Patan,1.28,1.54,Medium
Gujarat,Porbandar,1.24,2.16,Medium
Gujarat,Rajkot,1.065,1.54,Medium
Gujarat,Sabar Kantha,1.14,1.5,Medium
Gujarat,Surat,1.25,1.63,Medium
Gujarat,Surendranagar,1.0550000000000002,1.44,Medium
Gujarat,Tapi,1.66,2.21,High
Gujarat,Vadodara,1.165,1.58,Medium
Gujarat,Valsad,1.15,1.52,Medium
Haryana,Ambala,0.855,1.0,Medium
Haryana,Bhiwani,0.5,0.53,Low
Haryana,Charki Dadri,0.52,0.53,Low
Haryana,Faridabad,0.5,1.16,Low
Haryana,Fatehabad,1.0,1.0,Medium
Haryana,Gurugram,0.52,1.36,Low
Haryana,Hisar,0.53,0.53,Low
Haryana,Jhajjar,0.485,0.57,Low
Haryana,Jind,0.555,0.67,Low
Haryana,Kaithal,0.67,0.67,Low
Haryana,Karnal,0.765,1.0,Low
Haryana,Kurukshetra,0.525,0.55,Low
Haryana,Mahendragarh,0.67,1.0,Low
Haryana,Nuh,0.525,0.57,Low
Haryana,Palwal,0.52,0.54,Low
Haryana,Panchkula,1.085,1.52,Medium
Haryana,Panipat,0.55,1.0,Low
Haryana,Rewari,0.535,2.07,Low
Haryana,Rohtak,0.49,0.53,Low
Haryana,Sirsa,0.5,0.57,Low
Haryana,Sonipat,0.52,0.56,Low
Himachal Pradesh,Bilaspur,0.67,5.0,Low
Himachal Pradesh,Chamba,0.1,0.1,Low
Himachal Pradesh,Kangra,0.32,0.32,Low
Himachal Pradesh,Solan,3.18,5.79,High
Jammu & Kashmir,Jammu,0.6,0.6,Low
Jammu & Kashmir,Kathua,0.25,0.25,Low
Jammu & Kashmir,Rajouri,0.55,0.6,Low
Jammu & Kashmir,Samba,0.6,0.6,Low
Jharkhand,Bokaro,2.11,3.51,High
Jharkhand,Chatra,0.4649999999999999,0.49,Low
Jharkhand,Deoghar,0.6799999999999999,0.71,Low
Jharkhand,Dhanbad,0.6,0.75,Low
Jharkhand,Dumka,0.675,0.69,Low
