State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,1.065,9.17,Low
A & N Islands,North And Middle Andaman,2.34,4.73,Medium
A & N Islands,South Andamans,2.025,3.47,Medium
Andhra Pradesh,Alluri Sitharama Raju,3.46,3.46,Medium
Andhra Pradesh,Anakapalli,7.64,7.64,High
Andhra Pradesh,Anantapur,3.58,6.15,High
Andhra Pradesh,Annamayya,6.04,6.04,High
Andhra Pradesh,Bapatla,11.42,11.42,High
Andhra Pradesh,Chittoor,4.18,6.88,High
Andhra Pradesh,East Godavari,7.3,10.45,High
Andhra Pradesh,Eluru,11.84,11.84,High
Andhra Pradesh,Guntur,8.81,12.49,High
Andhra Pradesh,Kakinada,6.35,6.35,High
Andhra Pradesh,Konaseema,9.57,9.57,High
Andhra Pradesh,Krishna,6.3,8.02,High
Andhra Pradesh,Kurnool,4.61,6.41,High
Andhra Pradesh,Nandyal,4.62,4.62,High
Andhra Pradesh,Ntr,5.92,5.92,High
Andhra Pradesh,Palnadu,6.76,6.76,High
Andhra Pradesh,Parvathipuram Manyam,4.63,4.63,High
Andhra Pradesh,Prakasam,5.32,8.29,High
Andhra Pradesh,Spsr Nellore,6.39,9.0,High
Andhra Pradesh,Sri Sathya Sai,2.95,2.95,Medium
Andhra Pradesh,Srikakulam,4.95,6.77,High
Andhra Pradesh,Tirupati,4.45,4.45,High
Andhra Pradesh,Visakhapatanam,2.74,5.3,Medium
Andhra Pradesh,Vizianagaram,4.46,7.03,High
Andhra Pradesh,West Godavari,6.88,9.63,High
Andhra Pradesh,Y.s.r.,4.455,11.37,High
Arunachal Pradesh,Anjaw,1.33,2.48,Low
Arunachal Pradesh,Changlang,1.51,1.61,Low
Arunachal Pradesh,Dibang Valley,1.4,1.54,Low
Arunachal Pradesh,East Kameng,1.48,1.93,Low
Arunachal Pradesh,East Siang,2.0,2.63,Medium
Arunachal Pradesh,Kamle,2.1,2.13,Medium
Arunachal Pradesh,Kra Daadi,1.49,1.66,Low
Arunachal Pradesh,Kurung Kumey,1.47,1.73,Low
Arunachal Pradesh,Leparada,1.64,1.68,Low
Arunachal Pradesh,Lohit,1.22,1.4,Low
Arunachal Pradesh,Longding,2.4,2.45,Medium
Arunachal Pradesh,Lower Dibang Valley,1.34,1.8,Low
Arunachal Pradesh,Lower Siang,1.64,1.65,Low
Arunachal Pradesh,Lower Subansiri,2.02,2.43,Medium
Arunachal Pradesh,Namsai,1.24,1.25,Low
Arunachal Pradesh,Pakke Kessang,1.54,1.55,Low
Arunachal Pradesh,Papum Pare,1.78,2.2,Medium
Arunachal Pradesh,Shi Yomi,1.735,1.88,Medium
Arunachal Pradesh,Siang,1.75,1.78,Medium
Arunachal Pradesh,Tawang,2.16,2.5,Medium
Arunachal Pradesh,Tirap,1.21,2.2,Low
Arunachal Pradesh,Upper Siang,1.33,2.0,Low
Arunachal Pradesh,Upper Subansiri,1.46,2.1,Low
Arunachal Pradesh,West Kameng,1.67,1.81,Low
