State,District,Median,Max,Yield_Class
Arunachal Pradesh,Anjaw,0.31,0.53,Low
Arunachal Pradesh,Dibang Valley,0.65,0.65,Medium
Arunachal Pradesh,East Siang,0.8,0.82,Medium
Arunachal Pradesh,Kamle,1.875,2.0,High
Arunachal Pradesh,Leparada,1.38,1.5,High
Arunachal Pradesh,Lower Dibang Valley,0.6,0.8,Medium
Arunachal Pradesh,Lower Siang,2.0,2.33,High
Arunachal Pradesh,Lower Subansiri,0.51,0.82,Low
Arunachal Pradesh,Papum Pare,0.525,0.69,Low
Arunachal Pradesh,Siang,0.64,0.87,Medium
Arunachal Pradesh,Tirap,0.49,0.91,Low
Arunachal Pradesh,Upper Subansiri,0.82,0.87,Medium
Arunachal Pradesh,West Siang,0.87,1.0,Medium
Assam,Baksa,0.57,0.98,Low
Assam,Barpeta,0.5,0.8,Low
Assam,Biswanath,1.08,1.08,High
Assam,Bongaigaon,0.64,0.95,Medium
Assam,Cachar,0.535,0.69,Low
Assam,Charaideo,0.6,0.6,Medium
Assam,Chirang,0.545,1.01,Low
Assam,Darrang,0.725,2.4,Medium
Assam,Dhemaji,0.495,0.82,Low
Assam,Dhubri,0.77,1.06,Medium
Assam,Dibrugarh,0.48,1.0,Low
Assam,Dima Hasao,0.5,0.61,Low
Assam,Goalpara,0.51,0.85,Low
Assam,Golaghat,0.65,0.9,Medium
Assam,Hailakandi,0.585,1.0,Medium
Assam,Hojai,0.9,0.91,Medium
Assam,Jorhat,0.5549999999999999,0.81,Low
Assam,Kamrup,0.505,1.2,Low
Assam,Kamrup Metro,0.51,1.1,Low
Assam,Karbi Anglong,0.5549999999999999,0.76,Low
Assam,Karimganj,0.655,0.9,Medium
Assam,Kokrajhar,0.5449999999999999,1.12,Low
Assam,Lakhimpur,0.535,1.0,Low
Assam,Majuli,0.79,0.79,Medium
Assam,Marigaon,0.72,1.01,Medium
Assam,Nagaon,0.44,0.72,Low
Assam,Nalbari,0.52,0.76,Low
Assam,Sivasagar,0.53,0.78,Low
Assam,Sonitpur,0.5800000000000001,0.94,Low
Assam,South Salmara Mancachar,0.91,0.91,Medium
Assam,Tinsukia,0.5,0.74,Low
Assam,Udalguri,0.6799999999999999,0.93,Medium
Assam,West Karbi Anglong,0.61,0.62,Medium
Bihar,Araria,0.67,1.85,Medium
Bihar,Arwal,0.83,1.1,Medium
Bihar,Aurangabad,0.77,1.03,Medium
Bihar,Banka,0.69,1.21,Medium
Bihar,Begusarai,0.86,1.52,Medium
Bihar,Bhagalpur,0.68,1.08,Medium
Bihar,Bhojpur,0.98,1.44,High
Bihar,Buxar,1.1,1.94,High
