State,District,Median,Max,Yield_Class
Andhra Pradesh,Anantapur,18.635,64.9,High
Andhra Pradesh,Chittoor,19.765,24.24,High
Andhra Pradesh,East Godavari,16.66,22.08,High
Andhra Pradesh,Guntur,16.775,22.89,High
Andhra Pradesh,Krishna,17.21,24.29,High
Andhra Pradesh,Kurnool,18.31,39.47,High
Andhra Pradesh,Prakasam,16.47,24.11,High
Andhra Pradesh,Spsr Nellore,16.47,23.68,High
Andhra Pradesh,Srikakulam,18.095,80.13,High
Andhra Pradesh,Visakhapatanam,16.21,23.12,High
Andhra Pradesh,Vizianagaram,16.12,22.76,High
Andhra Pradesh,West Godavari,15.0,16.0,High
Andhra Pradesh,Y.s.r.,11.31,21.76,Medium
Assam,Baksa,3.265,4.39,Low
Assam,Barpeta,3.14,18.58,Low
Assam,Biswanath,12.39,12.39,High
Assam,Bongaigaon,2.17,4.2,Low
Assam,Cachar,3.35,13.52,Low
Assam,Charaideo,4.03,4.34,Medium
Assam,Chirang,3.155,6.86,Low
Assam,Darrang,4.63,18.98,Medium
Assam,Dhemaji,2.67,3.19,Low
Assam,Dhubri,3.07,19.76,Low
Assam,Dibrugarh,2.96,4.58,Low
Assam,Dima Hasao,3.19,5.69,Low
Assam,Goalpara,2.16,11.74,Low
Assam,Golaghat,3.34,5.23,Low
Assam,Hailakandi,1.73,14.2,Low
Assam,Hojai,14.55,14.55,High
Assam,Jorhat,2.27,3.82,Low
Assam,Kamrup,3.38,14.4,Low
Assam,Kamrup Metro,3.0,4.75,Low
Assam,Karbi Anglong,2.27,3.58,Low
Assam,Karimganj,3.17,9.5,Low
Assam,Kokrajhar,2.84,3.7,Low
Assam,Lakhimpur,2.83,4.38,Low
Assam,Majuli,3.59,3.63,Low
Assam,Marigaon,2.65,3.61,Low
Assam,Nagaon,2.28,16.52,Low
Assam,Nalbari,3.58,5.69,Low
Assam,Sivasagar,2.68,8.59,Low
Assam,Sonitpur,4.73,12.38,Medium
Assam,South Salmara Mancachar,18.1,18.1,High
Assam,Tinsukia,3.68,6.65,Low
Assam,Udalguri,2.875,3.83,Low
Assam,West Karbi Anglong,3.44,3.75,Low
Bihar,Araria,10.11,14.96,Medium
Bihar,Arwal,7.595,15.32,Medium
Bihar,Aurangabad,8.6,15.32,Medium
Bihar,Banka,10.21,14.94,Medium
Bihar,Begusarai,10.31,14.99,Medium
Bihar,Bhagalpur,10.21,14.95,Medium
Bihar,Bhojpur,9.19,17.57,Medium
Bihar,Buxar,12.0,26.13,High
Bihar,Darbhanga,8.71,34.42,Medium
Bihar,Gaya,7.17,15.32,Medium
Bihar,Gopalganj,9.29,18.46,Medium
Bihar,Jamui,10.305,14.98,Medium
Bihar,Jehanabad,8.6,15.32,Medium
Bihar,Kaimur (Bhabua),12.54,17.58,High
Bihar,Katihar,9.1,14.95,Medium
Bihar,Khagaria,9.49,14.98,Medium
Bihar,Kishanganj,7.92,14.96,Medium
Bihar,Lakhisarai,8.81,14.98,Medium
Bihar,Madhepura,11.86,21.63,High
Bihar,Madhubani,10.69,28.02,Medium
Bihar,Munger,9.49,15.0,Medium
Bihar,Muzaffarpur,9.56,14.13,Medium
Bihar,Nalanda,18.01,26.11,High
Bihar,Nawada,8.925,16.68,Medium
Bihar,Pashchim Champaran,9.18,15.34,Medium
Bihar,Patna,11.52,17.48,Medium
Bihar,Purbi Champaran,8.81,15.28,Medium
Bihar,Purnia,9.22,14.95,Medium
Bihar,Rohtas,12.79,25.74,High
Bihar,Saharsa,11.255,21.63,Medium
Bihar,Samastipur,8.1,58.7,Medium
Bihar,Saran,9.98,18.46,Medium
Bihar,Sheikhpura,9.49,24.18,Medium
Bihar,Sheohar,9.71,14.17,Medium
Bihar,Sitamarhi,10.44,16.92,Medium
Bihar,Siwan,8.71,18.46,Medium
Bihar,Supaul,11.86,21.63,High
Bihar,Vaishali,9.89,13.93,Medium
Chandigarh,Chandigarh,17.5,31.67,High
Chhattisgarh,Balod,6.0,11.0,Medium
Chhattisgarh,Baloda Bazar,5.42,9.55,Medium
Chhattisgarh,Balrampur,5.109999999999999,15.36,Medium
Chhattisgarh,Bastar,5.51,8.84,Medium
Chhattisgarh,Bemetara,4.53,8.74,Medium
Chhattisgarh,Bijapur,7.0,10.0,Medium
