State,District,Median,Max,Yield_Class
Andhra Pradesh,Anantapur,1.0,1.85,High
Andhra Pradesh,Annamayya,0.96,0.96,High
Andhra Pradesh,Chittoor,0.69,3.28,High
Andhra Pradesh,East Godavari,0.49,0.73,Medium
Andhra Pradesh,Guntur,2.0,2.0,High
Andhra Pradesh,Krishna,0.415,0.58,Medium
Andhra Pradesh,Kurnool,0.3249999999999999,0.6,Medium
Andhra Pradesh,Prakasam,0.48,0.59,Medium
Andhra Pradesh,Spsr Nellore,0.57,0.98,Medium
Andhra Pradesh,Srikakulam,0.1,0.1,Low
Andhra Pradesh,Visakhapatanam,0.76,1.58,High
Andhra Pradesh,Vizianagaram,0.35,0.5,Medium
Andhra Pradesh,West Godavari,0.44,0.76,Medium
Andhra Pradesh,Y.s.r.,0.8,6.0,High
Arunachal Pradesh,Anjaw,0.8,0.8,High
Arunachal Pradesh,Changlang,0.55,0.58,Medium
Arunachal Pradesh,Dibang Valley,0.48,0.53,Medium
Arunachal Pradesh,East Kameng,0.54,0.55,Medium
Arunachal Pradesh,East Siang,0.38,0.76,Medium
Arunachal Pradesh,Kamle,0.65,0.65,High
Arunachal Pradesh,Kra Daadi,1.89,1.89,High
Arunachal Pradesh,Kurung Kumey,0.94,1.0,High
Arunachal Pradesh,Leparada,0.53,0.53,Medium
Arunachal Pradesh,Lohit,0.87,0.89,High
Arunachal Pradesh,Longding,1.09,1.14,High
Arunachal Pradesh,Lower Dibang Valley,0.71,0.74,High
Arunachal Pradesh,Lower Siang,0.45,0.7,Medium
Arunachal Pradesh,Lower Subansiri,0.48,0.48,Medium
Arunachal Pradesh,Namsai,0.5,0.57,Medium
Arunachal Pradesh,Pakke Kessang,0.545,0.55,Medium
Arunachal Pradesh,Papum Pare,0.73,0.73,High
Arunachal Pradesh,Shi Yomi,0.6,0.6,Medium
Arunachal Pradesh,Siang,0.7,0.9,High
Arunachal Pradesh,Tawang,1.11,1.12,High
Arunachal Pradesh,Tirap,0.65,0.65,High
Arunachal Pradesh,Upper Siang,0.62,0.74,Medium
Arunachal Pradesh,Upper Subansiri,0.76,0.76,High
Arunachal Pradesh,West Kameng,0.74,0.75,High
Arunachal Pradesh,West Siang,0.37,0.63,Medium
Assam,Baksa,0.9,0.94,High
Assam,Barpeta,0.5800000000000001,1.0,Medium
Assam,Biswanath,1.02,1.22,High
Assam,Bongaigaon,0.585,0.83,Medium
Assam,Cachar,0.675,1.25,High
Assam,Charaideo,0.69,0.7,High
Assam,Chirang,0.625,0.73,Medium
Assam,Darrang,0.735,1.01,High
Assam,Dhemaji,0.5,1.26,Medium
Assam,Dhubri,0.735,1.06,High
Assam,Dibrugarh,0.5,0.62,Medium
Assam,Dima Hasao,0.52,0.58,Medium
Assam,Goalpara,0.5700000000000001,1.24,Medium
Assam,Golaghat,0.52,0.68,Medium
Assam,Hailakandi,0.715,1.28,High
Assam,Hojai,0.58,0.61,Medium
Assam,Jorhat,0.42,0.75,Medium
Assam,Kamrup,0.615,0.78,Medium
Assam,Kamrup Metro,0.725,0.91,High
Assam,Karbi Anglong,0.58,0.59,Medium
Assam,Karimganj,0.51,1.2,Medium
Assam,Kokrajhar,0.54,1.18,Medium
Assam,Lakhimpur,0.5,1.26,Medium
Assam,Majuli,0.48,0.48,Medium
Assam,Marigaon,0.565,1.15,Medium
Assam,Nagaon,0.5,0.75,Medium
Assam,Nalbari,0.69,0.77,High
Assam,Sivasagar,0.5,0.61,Medium
Assam,Sonitpur,0.625,0.84,Medium
Assam,South Salmara Mancachar,0.87,0.87,High
Assam,Tinsukia,0.88,1.25,High
Assam,Udalguri,0.76,1.13,High
Assam,West Karbi Anglong,0.58,0.58,Medium
Bihar,Araria,0.75,1.0,High
Bihar,Arwal,0.73,0.73,High
Bihar,Aurangabad,0.85,1.0,High
Bihar,Banka,1.01,1.37,High
Bihar,Begusarai,0.75,1.0,High
Bihar,Bhagalpur,0.9,1.14,High
Bihar,Bhojpur,0.875,1.13,High
Bihar,Buxar,1.0,1.11,High
Bihar,Darbhanga,0.74,1.34,High
Bihar,Gaya,0.72,0.75,High
Bihar,Gopalganj,0.99,1.0,High
Bihar,Jamui,0.67,1.0,High
Bihar,Jehanabad,0.705,0.71,High
Bihar,Katihar,0.76,1.11,High
Bihar,Khagaria,0.77,1.1,High
Bihar,Kishanganj,0.74,0.75,High
Bihar,Madhepura,0.74,0.74,High
Bihar,Madhubani,1.0,1.11,High
Bihar,Munger,0.74,0.75,High
Bihar,Muzaffarpur,1.0,1.11,High
Bihar,Nalanda,1.0,1.1,High
Bihar,Nawada,0.88,1.01,High
Bihar,Pashchim Champaran,1.0,1.11,High
Bihar,Patna,1.0,1.0,High
Bihar,Purbi Champaran,0.745,1.11,High
Bihar,Purnia,0.725,0.74,High
Bihar,Rohtas,0.67,0.71,High
Bihar,Saharsa,0.76,0.77,High
Bihar,Samastipur,1.0,1.11,High
Bihar,Saran,0.99,1.0,High
Bihar,Sheohar,0.74,1.11,High
Bihar,Sitamarhi,1.005,1.11,High
Bihar,Siwan,1.0,1.11,High
Bihar,Supaul,0.74,0.76,High
Bihar,Vaishali,0.885,1.1,High
Chhattisgarh,Balod,0.315,1.0,Medium
Chhattisgarh,Baloda Bazar,0.33,1.42,Medium
Chhattisgarh,Balrampur,0.3,1.21,Medium
Chhattisgarh,Bastar,0.325,1.33,Medium
Chhattisgarh,Bemetara,0.15,1.19,Low
