State,District,Median,Max,Yield_Class
Maharashtra,Ahmednagar,0.72,1.0,High
Maharashtra,Akola,0.19,0.19,Medium
Maharashtra,Amravati,0.31,0.7,Medium
Maharashtra,Aurangabad,0.54,1.0,High
Maharashtra,Beed,0.53,1.28,High
Maharashtra,Bhandara,0.27,0.5,Medium
Maharashtra,Buldhana,0.3,0.67,Medium
Maharashtra,Chandrapur,0.4,0.6,Medium
Maharashtra,Dhule,0.41,0.41,Medium
Maharashtra,Gadchiroli,0.28,0.5,Medium
Maharashtra,Gondia,0.39,0.4,Medium
Maharashtra,Hingoli,0.07,0.07,Low
Maharashtra,Jalgaon,0.31,0.44,Medium
Maharashtra,Jalna,0.71,1.0,High
Maharashtra,Kolhapur,0.55,1.0,High
Maharashtra,Latur,0.185,0.3,Medium
Maharashtra,Nagpur,0.34,0.5,Medium
Maharashtra,Nandurbar,0.42,0.75,Medium
Maharashtra,Nashik,0.43,0.77,Medium
Maharashtra,Osmanabad,0.3299999999999999,0.35,Medium
Maharashtra,Parbhani,0.31,0.31,Medium
Maharashtra,Pune,0.76,1.0,High
Maharashtra,Raigad,0.35,0.35,Medium
Maharashtra,Ratnagiri,0.415,0.48,Medium
Maharashtra,Satara,0.59,0.59,High
Maharashtra,Solapur,0.76,1.0,High
Maharashtra,Wardha,0.32,0.32,Medium
Maharashtra,Washim,0.315,0.4,Medium
Maharashtra,Yavatmal,0.27,0.5,Medium
Puducherry,Pondicherry,1.0,2.8,High
Uttarakhand,Haridwar,0.58,0.58,High
Uttarakhand,Udam Singh Nagar,0.67,0.67,High
