State,District,Median,Max,Yield_Class
Arunachal Pradesh,Anjaw,1.38,1.4,Medium
Arunachal Pradesh,Changlang,1.28,2.92,Medium
Arunachal Pradesh,Dibang Valley,0.85,0.85,Medium
Arunachal Pradesh,East Kameng,1.17,1.3,Medium
Arunachal Pradesh,East Siang,1.28,1.33,Medium
Arunachal Pradesh,Kamle,1.03,1.06,Medium
Arunachal Pradesh,Kra Daadi,1.12,2.63,Medium
Arunachal Pradesh,Kurung Kumey,1.41,1.42,Medium
Arunachal Pradesh,Leparada,1.88,2.21,Medium
Arunachal Pradesh,Lohit,1.49,1.51,Medium
Arunachal Pradesh,Longding,1.08,1.11,Medium
Arunachal Pradesh,Lower Dibang Valley,1.24,1.27,Medium
Arunachal Pradesh,Lower Siang,1.28,1.29,Medium
Arunachal Pradesh,Lower Subansiri,2.66,2.69,Medium
Arunachal Pradesh,Namsai,1.14,1.21,Medium
Arunachal Pradesh,Pakke Kessang,1.19,1.47,Medium
Arunachal Pradesh,Papum Pare,1.98,2.28,Medium
Arunachal Pradesh,Shi Yomi,1.71,3.79,Medium
Arunachal Pradesh,Siang,1.14,1.88,Medium
Arunachal Pradesh,Tirap,1.46,1.55,Medium
Arunachal Pradesh,Upper Siang,1.62,1.63,Medium
Arunachal Pradesh,Upper Subansiri,1.38,1.62,Medium
Arunachal Pradesh,West Kameng,1.68,1.78,Medium
Arunachal Pradesh,West Siang,1.84,3.95,Medium
Assam,Baksa,0.945,1.14,Medium
Assam,Barpeta,0.8,1.15,Low
Assam,Biswanath,1.23,1.23,Medium
Assam,Bongaigaon,0.75,1.35,Low
Assam,Cachar,0.595,1.17,Low
Assam,Charaideo,0.65,0.65,Low
Assam,Chirang,0.76,1.2,Low
Assam,Darrang,0.755,2.55,Low
Assam,Dhemaji,0.655,1.4,Low
Assam,Dhubri,0.81,1.11,Low
Assam,Dibrugarh,0.355,0.8,Low
Assam,Dima Hasao,0.49,0.8,Low
Assam,Goalpara,0.545,1.0,Low
Assam,Golaghat,0.91,1.28,Medium
Assam,Hailakandi,0.595,1.33,Low
Assam,Hojai,0.83,0.83,Low
Assam,Jorhat,0.4549999999999999,0.96,Low
Assam,Kamrup,0.835,1.2,Medium
Assam,Kamrup Metro,0.885,1.72,Medium
Assam,Karbi Anglong,0.6799999999999999,1.06,Low
Assam,Karimganj,0.36,1.05,Low
Assam,Kokrajhar,0.62,1.19,Low
Assam,Lakhimpur,0.4649999999999999,1.27,Low
Assam,Majuli,0.67,0.67,Low
Assam,Marigaon,1.0,1.44,Medium
Assam,Nagaon,0.375,0.81,Low
Assam,Nalbari,0.81,1.31,Low
Assam,Sivasagar,0.69,1.5,Low
Assam,Sonitpur,0.55,0.94,Low
Assam,South Salmara Mancachar,0.88,1.1,Medium
Assam,Tinsukia,0.43,1.27,Low
Assam,Udalguri,0.655,1.65,Low
Assam,West Karbi Anglong,0.73,0.73,Low
Bihar,Araria,1.0,1.73,Medium
Bihar,Arwal,0.93,1.08,Medium
Bihar,Aurangabad,0.93,1.08,Medium
Bihar,Banka,1.0,1.1,Medium
Bihar,Begusarai,1.01,1.54,Medium
Bihar,Bhagalpur,1.03,1.08,Medium
Bihar,Bhojpur,1.03,1.25,Medium
Bihar,Buxar,1.03,1.25,Medium
Bihar,Darbhanga,1.0,1.08,Medium
Bihar,Gaya,0.965,1.08,Medium
Bihar,Gopalganj,1.02,1.25,Medium
Bihar,Jamui,0.99,1.18,Medium
Bihar,Jehanabad,0.94,1.08,Medium
Bihar,Kaimur (Bhabua),1.03,1.25,Medium
Bihar,Katihar,1.03,1.73,Medium
Bihar,Khagaria,1.01,1.49,Medium
Bihar,Kishanganj,1.01,1.73,Medium
Bihar,Lakhisarai,1.0,1.18,Medium
Bihar,Madhepura,1.03,1.08,Medium
Bihar,Madhubani,1.03,1.08,Medium
Bihar,Munger,1.02,1.19,Medium
Bihar,Muzaffarpur,0.96,1.06,Medium
Bihar,Nalanda,1.03,1.25,Medium
Bihar,Nawada,0.94,1.08,Medium
Bihar,Pashchim Champaran,0.96,1.06,Medium
Bihar,Patna,1.03,1.25,Medium
Bihar,Purbi Champaran,0.97,1.05,Medium
Bihar,Purnia,1.005,1.73,Medium
Bihar,Rohtas,1.03,1.25,Medium
Bihar,Saharsa,1.03,1.08,Medium
Bihar,Samastipur,1.04,1.08,Medium
Bihar,Saran,1.02,1.25,Medium
Bihar,Sheikhpura,1.04,1.34,Medium
Bihar,Sheohar,0.97,1.06,Medium
Bihar,Sitamarhi,0.94,1.07,Medium
Bihar,Siwan,1.02,1.25,Medium
Bihar,Supaul,1.03,1.08,Medium
Bihar,Vaishali,0.95,1.09,Medium
Chhattisgarh,Balod,0.33,0.38,Low
Chhattisgarh,Baloda Bazar,0.375,0.49,Low
Chhattisgarh,Balrampur,0.435,0.54,Low
Chhattisgarh,Bastar,0.29,0.36,Low
Chhattisgarh,Bemetara,0.38,0.53,Low
Chhattisgarh,Bilaspur,0.36,0.48,Low
Chhattisgarh,Dantewada,0.33,0.5,Low
Chhattisgarh,Dhamtari,0.39,0.46,Low
Chhattisgarh,Durg,0.33,0.51,Low
Chhattisgarh,Gariyaband,0.375,0.46,Low
Chhattisgarh,Gaurella Pendra Marwahi,0.45,0.51,Low
Chhattisgarh,Janjgir-Champa,0.37,0.76,Low
Chhattisgarh,Jashpur,0.35,0.39,Low
Chhattisgarh,Kabirdham,0.32,0.41,Low
Chhattisgarh,Kanker,0.28,0.38,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,1.1,1.1,Medium
Chhattisgarh,Kondagaon,0.305,0.49,Low
Chhattisgarh,Korba,0.33,0.36,Low
Chhattisgarh,Korea,0.385,0.44,Low
Chhattisgarh,Mahasamund,0.49,0.73,Low
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.41,0.41,Low
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.47,0.47,Low
Chhattisgarh,Mungeli,0.37,0.4,Low
Chhattisgarh,Narayanpur,0.28,0.33,Low
Chhattisgarh,Raigarh,0.37,0.4,Low
Chhattisgarh,Raipur,0.42,0.68,Low
Chhattisgarh,Rajnandgaon,0.32,0.47,Low
Chhattisgarh,Sakti,0.77,0.77,Low
Chhattisgarh,Sarangarh Bilaigarh,0.43,0.43,Low
Chhattisgarh,Sukma,0.45,0.45,Low
Chhattisgarh,Surajpur,0.4649999999999999,0.54,Low
Chhattisgarh,Surguja,0.43,0.52,Low
Haryana,Ambala,6.59,13.06,High
Haryana,Bhiwani,8.06,14.42,High
Haryana,Charki Dadri,3.7,5.0,High
Haryana,Faridabad,8.0,14.85,High
Haryana,Fatehabad,3.45,12.32,High
Haryana,Gurugram,7.32,17.38,High
Haryana,Hisar,6.545,19.32,High
Haryana,Jhajjar,1.3050000000000002,13.89,Medium
Haryana,Jind,9.39,20.36,High
Haryana,Kaithal,6.295,9.66,High
Haryana,Karnal,1.53,9.46,Medium
Haryana,Kurukshetra,1.4,8.87,Medium
Haryana,Mahendragarh,2.46,5.59,Medium
Haryana,Nuh,7.59,9.68,High
Haryana,Palwal,8.275,9.75,High
Haryana,Panchkula,7.05,10.29,High
Haryana,Panipat,1.46,12.28,Medium
Haryana,Rewari,2.55,8.1,Medium
Haryana,Rohtak,8.41,10.97,High
Haryana,Sirsa,7.12,12.23,High
Haryana,Sonipat,2.0,19.59,Medium
Haryana,Yamunanagar,6.92,21.82,High
Himachal Pradesh,Bilaspur,1.3250000000000002,2.25,Medium
Himachal Pradesh,Chamba,1.63,2.89,Medium
Himachal Pradesh,Hamirpur,1.6,1.83,Medium
Himachal Pradesh,Kangra,1.36,2.32,Medium
Himachal Pradesh,Kinnaur,1.3,3.7,Medium
Himachal Pradesh,Kullu,1.28,2.6,Medium
Himachal Pradesh,Lahul And Spiti,4.0,5.98,High
Himachal Pradesh,Mandi,1.58,2.11,Medium
Himachal Pradesh,Shimla,1.3,3.52,Medium
Himachal Pradesh,Sirmaur,1.19,2.45,Medium
Himachal Pradesh,Solan,1.25,3.74,Medium
Himachal Pradesh,Una,1.11,3.67,Medium
Jammu & Kashmir,Anantnag,0.69,1.53,Low
Jammu & Kashmir,Bandipora,5.0600000000000005,6.01,High
Jammu & Kashmir,Baramulla,0.72,6.0,Low
Jammu & Kashmir,Budgam,1.2,2.04,Medium
Jammu & Kashmir,Doda,0.6,0.76,Low
