State,District,Median,Max,Yield_Class
Andhra Pradesh,Alluri Sitharama Raju,20.54,20.54,High
Andhra Pradesh,Anantapur,10.06,19.02,Medium
Andhra Pradesh,Annamayya,22.59,22.59,High
Andhra Pradesh,Chittoor,9.845,25.29,Medium
Andhra Pradesh,Guntur,16.335,23.67,High
Andhra Pradesh,Kurnool,11.21,23.65,Medium
Andhra Pradesh,Spsr Nellore,14.33,14.33,High
Andhra Pradesh,Sri Sathya Sai,12.93,12.93,Medium
Andhra Pradesh,Srikakulam,8.57,17.3,Medium
Andhra Pradesh,Visakhapatanam,8.85,17.59,Medium
Andhra Pradesh,Vizianagaram,14.295,17.59,High
Andhra Pradesh,Y.s.r.,13.0,18.0,Medium
Arunachal Pradesh,Anjaw,8.0,9.07,Medium
Arunachal Pradesh,Changlang,6.59,9.22,Medium
Arunachal Pradesh,Dibang Valley,5.86,7.0,Medium
Arunachal Pradesh,East Kameng,6.385,7.13,Medium
Arunachal Pradesh,East Siang,7.15,8.66,Medium
Arunachal Pradesh,Kamle,8.14,8.18,Medium
Arunachal Pradesh,Kra Daadi,2.225,3.5,Low
Arunachal Pradesh,Kurung Kumey,3.555,9.98,Low
Arunachal Pradesh,Leparada,7.295,7.71,Medium
Arunachal Pradesh,Lohit,8.2,9.87,Medium
Arunachal Pradesh,Longding,5.48,5.58,Medium
Arunachal Pradesh,Lower Dibang Valley,8.0,8.41,Medium
Arunachal Pradesh,Lower Siang,6.71,6.71,Medium
Arunachal Pradesh,Lower Subansiri,8.78,10.85,Medium
Arunachal Pradesh,Namsai,8.3,8.91,Medium
Arunachal Pradesh,Pakke Kessang,6.405,6.41,Medium
Arunachal Pradesh,Papum Pare,8.77,10.88,Medium
Arunachal Pradesh,Shi Yomi,7.145,7.15,Medium
Arunachal Pradesh,Siang,6.24,6.42,Medium
Arunachal Pradesh,Tawang,8.41,11.0,Medium
Arunachal Pradesh,Tirap,5.91,7.56,Medium
Arunachal Pradesh,Upper Siang,7.79,8.61,Medium
Arunachal Pradesh,Upper Subansiri,8.13,14.06,Medium
Arunachal Pradesh,West Kameng,7.8,9.0,Medium
Arunachal Pradesh,West Siang,6.64,7.93,Medium
Assam,Baksa,6.09,10.1,Medium
Assam,Barpeta,8.73,12.4,Medium
Assam,Biswanath,7.39,8.93,Medium
Assam,Bongaigaon,8.1,12.38,Medium
Assam,Cachar,5.29,7.62,Medium
Assam,Charaideo,9.44,10.4,Medium
Assam,Chirang,7.8,12.84,Medium
Assam,Darrang,7.61,9.87,Medium
Assam,Dhemaji,4.74,7.11,Medium
Assam,Dhubri,9.33,13.63,Medium
Assam,Dibrugarh,7.22,9.75,Medium
Assam,Dima Hasao,7.26,9.75,Medium
Assam,Goalpara,7.74,13.92,Medium
Assam,Golaghat,8.0,12.44,Medium
Assam,Hailakandi,4.86,13.33,Medium
Assam,Hojai,7.83,12.14,Medium
Assam,Jorhat,6.29,10.88,Medium
Assam,Kamrup,8.07,13.62,Medium
Assam,Kamrup Metro,7.125,15.71,Medium
Assam,Karbi Anglong,8.79,12.77,Medium
Assam,Karimganj,4.48,8.52,Low
Assam,Kokrajhar,10.26,14.46,Medium
Assam,Lakhimpur,5.4,7.49,Medium
Assam,Majuli,6.28,7.56,Medium
Assam,Marigaon,5.55,9.27,Medium
Assam,Nagaon,7.42,11.17,Medium
Assam,Nalbari,6.76,9.4,Medium
Assam,Sivasagar,5.87,9.79,Medium
Assam,Sonitpur,7.26,9.05,Medium
Assam,South Salmara Mancachar,9.67,11.42,Medium
Assam,Tinsukia,5.08,9.32,Medium
Assam,Udalguri,5.315,10.56,Medium
Assam,West Karbi Anglong,7.35,9.75,Medium
Bihar,Araria,10.42,21.15,Medium
Bihar,Arwal,9.065,22.1,Medium
Bihar,Aurangabad,9.26,23.31,Medium
Bihar,Banka,10.07,25.67,Medium
Bihar,Begusarai,11.55,22.47,Medium
Bihar,Bhagalpur,10.15,15.22,Medium
Bihar,Bhojpur,13.71,25.23,High
Bihar,Buxar,11.88,25.32,Medium
Bihar,Darbhanga,11.89,15.39,Medium
Bihar,Gaya,8.98,25.09,Medium
Bihar,Gopalganj,10.67,13.97,Medium
Bihar,Jamui,10.94,21.33,Medium
Bihar,Jehanabad,9.52,27.06,Medium
Bihar,Kaimur (Bhabua),15.16,32.44,High
Bihar,Katihar,7.5,17.82,Medium
Bihar,Khagaria,11.56,22.21,Medium
Bihar,Kishanganj,8.4,22.8,Medium
Bihar,Lakhisarai,11.7,19.84,Medium
Bihar,Madhepura,12.46,25.42,Medium
Bihar,Madhubani,14.23,21.89,High
Bihar,Munger,11.49,21.97,Medium
