State,District,Median,Max,Yield_Class
Andhra Pradesh,Alluri Sitharama Raju,1.03,1.03,Medium
Andhra Pradesh,Anakapalli,1.38,1.38,High
Andhra Pradesh,Anantapur,1.87,2.42,High
Andhra Pradesh,Annamayya,1.7,1.7,High
Andhra Pradesh,Bapatla,0.92,0.92,Medium
Andhra Pradesh,Chittoor,1.18,1.58,Medium
Andhra Pradesh,East Godavari,1.0,1.4,Medium
Andhra Pradesh,Eluru,1.0,1.0,Medium
Andhra Pradesh,Guntur,1.4,1.88,High
Andhra Pradesh,Krishna,1.8,1.8,High
Andhra Pradesh,Kurnool,1.39,3.0,High
Andhra Pradesh,Nandyal,3.0,3.0,High
Andhra Pradesh,Palnadu,1.0,1.0,Medium
Andhra Pradesh,Parvathipuram Manyam,1.33,1.33,High
Andhra Pradesh,Prakasam,1.64,2.12,High
Andhra Pradesh,Spsr Nellore,1.34,1.68,High
Andhra Pradesh,Sri Sathya Sai,1.49,1.49,High
Andhra Pradesh,Srikakulam,1.25,1.62,High
Andhra Pradesh,Tirupati,1.85,1.85,High
Andhra Pradesh,Visakhapatanam,0.96,1.8,Medium
Andhra Pradesh,Vizianagaram,1.25,1.67,High
Andhra Pradesh,West Godavari,1.44,1.8,High
Andhra Pradesh,Y.s.r.,1.72,2.9,High
Bihar,Araria,0.8300000000000001,2.6,Medium
Bihar,Arwal,1.0,1.47,Medium
Bihar,Aurangabad,0.965,1.44,Medium
Bihar,Banka,1.0,1.0,Medium
Bihar,Begusarai,0.935,1.47,Medium
Bihar,Bhojpur,1.0,1.2,Medium
Bihar,Buxar,0.83,0.83,Medium
Bihar,Darbhanga,1.08,1.85,Medium
Bihar,Gaya,0.94,1.48,Medium
Bihar,Gopalganj,0.86,1.83,Medium
Bihar,Jamui,0.76,1.1,Medium
Bihar,Jehanabad,0.94,3.7,Medium
Bihar,Kaimur (Bhabua),0.88,1.09,Medium
Bihar,Katihar,0.74,2.59,Medium
Bihar,Khagaria,0.9,1.48,Medium
Bihar,Kishanganj,0.93,2.6,Medium
Bihar,Lakhisarai,0.69,0.69,Medium
Bihar,Madhepura,0.9,2.5,Medium
Bihar,Madhubani,1.05,2.72,Medium
Bihar,Munger,1.2,1.21,Medium
Bihar,Muzaffarpur,0.835,1.9,Medium
Bihar,Nalanda,0.885,1.5,Medium
Bihar,Nawada,0.94,1.48,Medium
Bihar,Pashchim Champaran,0.9,1.88,Medium
Bihar,Patna,0.93,1.48,Medium
Bihar,Purbi Champaran,0.83,1.92,Medium
Bihar,Purnia,0.78,2.59,Medium
Bihar,Rohtas,0.91,1.09,Medium
Bihar,Saharsa,0.83,1.98,Medium
Bihar,Samastipur,1.045,2.21,Medium
Bihar,Saran,0.86,2.16,Medium
Bihar,Sheikhpura,1.0,1.0,Medium
Bihar,Sheohar,1.0,1.8,Medium
Bihar,Sitamarhi,0.93,1.9,Medium
Bihar,Siwan,0.85,1.83,Medium
Bihar,Supaul,0.9,2.11,Medium
Bihar,Vaishali,0.94,1.9,Medium
Chhattisgarh,Balod,0.29,0.4,Low
Chhattisgarh,Balrampur,0.23,0.27,Low
Chhattisgarh,Bastar,0.275,0.31,Low
Chhattisgarh,Bemetara,0.5,0.5,Medium
Chhattisgarh,Bijapur,0.22,1.0,Low
Chhattisgarh,Dantewada,0.21,0.33,Low
Chhattisgarh,Dhamtari,0.3,0.39,Low
Chhattisgarh,Durg,0.25,0.32,Low
Chhattisgarh,Gariyaband,0.2,0.31,Low
Chhattisgarh,Janjgir-Champa,0.33,0.33,Low
Chhattisgarh,Jashpur,0.25,0.26,Low
Chhattisgarh,Kanker,0.27,0.35,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.25,0.25,Low
Chhattisgarh,Kondagaon,0.33,0.41,Low
Chhattisgarh,Korba,0.33,0.33,Low
Chhattisgarh,Korea,0.2249999999999999,0.33,Low
Chhattisgarh,Mahasamund,0.33,0.5,Low
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.15,0.15,Low
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.2,0.2,Low
Chhattisgarh,Mungeli,0.25,0.25,Low
Chhattisgarh,Narayanpur,0.235,0.33,Low
Chhattisgarh,Raigarh,0.21,0.23,Low
Chhattisgarh,Raipur,0.27,0.5,Low
Chhattisgarh,Rajnandgaon,0.265,0.33,Low
Chhattisgarh,Sakti,0.37,0.37,Low
Chhattisgarh,Sarangarh Bilaigarh,0.25,0.25,Low
Chhattisgarh,Sukma,0.23,0.33,Low
Chhattisgarh,Surajpur,0.28,4.56,Low
Chhattisgarh,Surguja,0.245,0.5,Low
DNHDD,Dadra And Nagar Haveli,1.235,2.19,High
Goa,North Goa,1.03,1.34,Medium
Goa,South Goa,0.9,1.27,Medium
Gujarat,Banas Kantha,0.97,0.97,Medium
Gujarat,Bharuch,1.0,1.0,Medium
Gujarat,Dang,0.95,1.39,Medium
Gujarat,Mahesana,0.82,0.82,Medium
Gujarat,Navsari,0.99,1.33,Medium
Gujarat,Panch Mahals,1.0,1.25,Medium
Gujarat,Surat,1.0,1.0,Medium
Gujarat,Vadodara,0.875,1.0,Medium
Gujarat,Valsad,0.72,1.06,Medium
Himachal Pradesh,Bilaspur,1.0,1.24,Medium
Himachal Pradesh,Chamba,0.6,1.0,Medium
Himachal Pradesh,Hamirpur,0.875,1.0,Medium
Himachal Pradesh,Kangra,0.75,1.0,Medium
Himachal Pradesh,Kinnaur,0.88,1.33,Medium
Himachal Pradesh,Kullu,0.765,1.0,Medium
Himachal Pradesh,Mandi,0.98,1.21,Medium
Himachal Pradesh,Shimla,1.38,1.69,High
Himachal Pradesh,Sirmaur,0.6699999999999999,0.98,Medium
Himachal Pradesh,Solan,0.78,0.78,Medium
Jammu & Kashmir,Bandipora,0.6,0.6,Medium
Jammu & Kashmir,Kishtwar,0.5,0.5,Medium
Jammu & Kashmir,Udhampur,0.6,0.6,Medium
Jharkhand,Bokaro,1.055,2.2,Medium
Jharkhand,Chatra,0.89,1.46,Medium
Jharkhand,Deoghar,0.78,1.81,Medium
Jharkhand,Dhanbad,0.645,1.2,Medium
Jharkhand,Dumka,0.72,1.16,Medium
Jharkhand,East Singhbum,1.0,1.0,Medium
