State,District,Median,Max,Yield_Class
A & N Islands,North And Middle Andaman,0.73,3.0,Medium
A & N Islands,South Andamans,0.5,0.5,Medium
Andhra Pradesh,Alluri Sitharama Raju,1.0,1.0,High
Andhra Pradesh,Anakapalli,1.0,1.0,High
Andhra Pradesh,Anantapur,0.54,0.91,Medium
Andhra Pradesh,Annamayya,1.55,1.55,High
Andhra Pradesh,Bapatla,1.0,1.0,High
Andhra Pradesh,Chittoor,0.83,1.81,Medium
Andhra Pradesh,East Godavari,1.02,2.27,High
Andhra Pradesh,Eluru,1.0,1.0,High
Andhra Pradesh,Guntur,1.0,1.25,High
Andhra Pradesh,Krishna,1.065,1.33,High
Andhra Pradesh,Kurnool,0.78,1.21,Medium
Andhra Pradesh,Nandyal,1.05,1.05,High
Andhra Pradesh,Ntr,1.0,1.0,High
Andhra Pradesh,Palnadu,1.0,1.0,High
Andhra Pradesh,Parvathipuram Manyam,1.0,1.0,High
Andhra Pradesh,Prakasam,1.08,1.52,High
Andhra Pradesh,Spsr Nellore,0.97,1.2,High
Andhra Pradesh,Sri Sathya Sai,0.87,0.87,Medium
Andhra Pradesh,Srikakulam,1.06,1.88,High
Andhra Pradesh,Tirupati,1.07,1.07,High
Andhra Pradesh,Visakhapatanam,1.03,2.0,High
Andhra Pradesh,Vizianagaram,1.01,1.24,High
Andhra Pradesh,West Godavari,1.07,2.09,High
Andhra Pradesh,Y.s.r.,0.77,1.94,Medium
Arunachal Pradesh,Changlang,1.43,1.8,High
Arunachal Pradesh,Dibang Valley,0.84,0.84,Medium
Arunachal Pradesh,East Siang,0.79,0.8,Medium
Arunachal Pradesh,Leparada,0.86,0.93,Medium
Arunachal Pradesh,Lohit,0.89,0.89,Medium
Arunachal Pradesh,Lower Dibang Valley,0.36,0.93,Low
Arunachal Pradesh,Lower Siang,1.92,1.96,High
Arunachal Pradesh,Lower Subansiri,1.05,1.11,High
Arunachal Pradesh,Namsai,0.64,0.81,Medium
Arunachal Pradesh,Papum Pare,0.48,0.86,Medium
Arunachal Pradesh,Shi Yomi,0.6,0.63,Medium
Arunachal Pradesh,Siang,0.5,0.98,Medium
Arunachal Pradesh,West Siang,0.61,0.79,Medium
Bihar,Araria,1.43,1.74,High
Bihar,Arwal,1.415,1.46,High
Bihar,Aurangabad,1.5,1.67,High
Bihar,Begusarai,1.43,1.66,High
Bihar,Bhagalpur,1.45,1.48,High
Bihar,Buxar,1.33,1.55,High
Bihar,Darbhanga,1.46,1.5,High
Bihar,Gaya,1.4,1.51,High
Bihar,Gopalganj,1.35,1.49,High
Bihar,Jamui,1.5,1.5,High
Bihar,Jehanabad,1.4,1.67,High
Bihar,Kaimur (Bhabua),1.43,1.5,High
Bihar,Katihar,1.44,1.51,High
Bihar,Khagaria,1.44,1.95,High
Bihar,Kishanganj,1.395,1.49,High
Bihar,Madhepura,1.41,1.6,High
Bihar,Madhubani,1.1949999999999998,1.5,High
Bihar,Munger,1.385,1.5,High
Bihar,Muzaffarpur,1.45,1.65,High
Bihar,Nalanda,1.42,1.6,High
Bihar,Nawada,1.44,1.5,High
Bihar,Pashchim Champaran,1.43,1.5,High
Bihar,Patna,1.46,1.96,High
Bihar,Purbi Champaran,1.32,1.5,High
Bihar,Purnia,1.44,1.5,High
Bihar,Rohtas,1.11,2.0,High
Bihar,Saharsa,1.43,1.83,High
Bihar,Samastipur,1.43,1.5,High
Bihar,Saran,1.38,1.5,High
Bihar,Sheikhpura,1.4,1.5,High
Bihar,Sheohar,1.42,1.46,High
Bihar,Sitamarhi,1.33,1.58,High
Bihar,Siwan,1.085,1.64,High
Bihar,Supaul,1.4,1.68,High
Bihar,Vaishali,1.33,2.0,High
Chandigarh,Chandigarh,2.8,3.0,High
Chhattisgarh,Balod,0.71,1.0,Medium
Chhattisgarh,Baloda Bazar,0.47,0.5,Medium
Chhattisgarh,Balrampur,0.415,1.46,Medium
Chhattisgarh,Bastar,0.23,0.4,Low
Chhattisgarh,Bemetara,0.75,1.0,Medium
Chhattisgarh,Bilaspur,0.44,1.0,Medium
Chhattisgarh,Dantewada,0.245,0.33,Low
Chhattisgarh,Dhamtari,0.44,1.0,Medium
Chhattisgarh,Durg,0.61,1.2,Medium
Chhattisgarh,Gariyaband,0.5,0.67,Medium
Chhattisgarh,Gaurella Pendra Marwahi,1.0,1.0,High
Chhattisgarh,Janjgir-Champa,0.455,0.62,Medium
Chhattisgarh,Jashpur,0.2,0.4,Low
Chhattisgarh,Kabirdham,0.91,70.0,Medium
Chhattisgarh,Kanker,0.23,1.0,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,1.0,1.0,High
Chhattisgarh,Kondagaon,0.22,0.54,Low
Chhattisgarh,Korba,0.44,0.63,Medium
Chhattisgarh,Korea,0.25,0.25,Low
Chhattisgarh,Mahasamund,0.47,1.0,Medium
Chhattisgarh,Mohla Manpur Ambagarh Chouki,1.25,1.25,High
Chhattisgarh,Mungeli,1.0,1.0,High
Chhattisgarh,Narayanpur,0.29,0.33,Low
Chhattisgarh,Raigarh,0.22,0.39,Low
Chhattisgarh,Raipur,0.385,0.67,Medium
Chhattisgarh,Rajnandgaon,0.9,1.2,Medium
Chhattisgarh,Sakti,0.62,0.62,Medium
Chhattisgarh,Sarangarh Bilaigarh,0.6,0.6,Medium
Chhattisgarh,Sukma,0.535,0.67,Medium
Chhattisgarh,Surajpur,0.33,0.5,Low
Chhattisgarh,Surguja,0.29,0.44,Low
Haryana,Ambala,1.69,2.17,High
Haryana,Kaithal,1.59,2.13,High
Haryana,Kurukshetra,1.85,5.87,High
Haryana,Panchkula,1.49,7.0,High
Haryana,Panipat,1.49,1.49,High
Haryana,Sonipat,11.11,11.11,High
Haryana,Yamunanagar,1.48,2.0,High
Jharkhand,Bokaro,0.58,0.58,Medium
Jharkhand,Chatra,0.58,1.0,Medium
Jharkhand,Deoghar,1.0,1.0,High
Jharkhand,Dumka,0.44,0.51,Medium
Jharkhand,East Singhbum,0.5,0.6,Medium
Jharkhand,Garhwa,0.5,0.5,Medium
Jharkhand,Giridih,0.4,1.0,Medium
Jharkhand,Godda,0.765,0.77,Medium
Jharkhand,Gumla,0.24,0.53,Low
Jharkhand,Khunti,0.835,1.0,Medium
Jharkhand,Koderma,0.81,0.9,Medium
Jharkhand,Latehar,0.8,1.0,Medium
Jharkhand,Lohardaga,0.5,0.5,Medium
Jharkhand,Pakur,0.8,1.0,Medium
Jharkhand,Palamu,0.86,1.14,Medium
Jharkhand,Ranchi,0.62,0.63,Medium
Jharkhand,Saraikela Kharsawan,0.575,0.67,Medium
Jharkhand,Simdega,0.94,1.0,High
Jharkhand,West Singhbhum,0.83,1.0,Medium
Karnataka,Bagalkote,0.58,1.05,Medium
Karnataka,Ballari,0.51,1.29,Medium
Karnataka,Belagavi,0.65,1.16,Medium
Karnataka,Bengaluru Rural,0.71,1.0,Medium
Karnataka,Bengaluru Urban,0.815,1.0,Medium
Karnataka,Bidar,0.43,1.14,Medium
Karnataka,Chamarajanagara,0.46,1.13,Medium
Karnataka,Chikkaballapura,1.11,2.94,High
Karnataka,Chikkamagaluru,0.59,0.95,Medium
Karnataka,Chitradurga,0.55,0.92,Medium
Karnataka,Davangere,0.76,1.2,Medium
Karnataka,Dharwad,0.44,0.72,Medium
Karnataka,Gadag,0.42,0.66,Medium
Karnataka,Hassan,0.57,0.99,Medium
Karnataka,Haveri,0.74,1.44,Medium
Karnataka,Kalaburagi,0.49,1.14,Medium
Karnataka,Kodagu,0.5,0.5,Medium
Karnataka,Kolar,0.855,1.83,Medium
Karnataka,Koppal,0.44,0.81,Medium
