State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,9.725,41.27,High
A & N Islands,North And Middle Andaman,8.39,21.17,Medium
A & N Islands,South Andamans,13.23,99.33,High
Andhra Pradesh,Alluri Sitharama Raju,18.78,18.78,High
Andhra Pradesh,Anakapalli,19.0,19.0,High
Andhra Pradesh,Anantapur,10.9,20.27,High
Andhra Pradesh,Annamayya,18.78,18.78,High
Andhra Pradesh,Bapatla,18.44,18.44,High
Andhra Pradesh,Chittoor,12.125,28.04,High
Andhra Pradesh,East Godavari,12.8,25.67,High
Andhra Pradesh,Guntur,12.86,28.26,High
Andhra Pradesh,Kakinada,18.8,18.8,High
Andhra Pradesh,Krishna,13.0,25.6,High
Andhra Pradesh,Kurnool,10.82,16.0,High
Andhra Pradesh,Nandyal,19.0,19.0,High
Andhra Pradesh,Prakasam,14.98,36.75,High
Andhra Pradesh,Spsr Nellore,12.815,25.68,High
Andhra Pradesh,Sri Sathya Sai,19.0,19.0,High
Andhra Pradesh,Srikakulam,12.0,25.67,High
Andhra Pradesh,Tirupati,19.0,19.0,High
Andhra Pradesh,Visakhapatanam,8.54,18.75,Medium
Andhra Pradesh,Vizianagaram,12.75,25.67,High
Andhra Pradesh,West Godavari,10.91,13.6,High
Andhra Pradesh,Y.s.r.,11.185,22.62,High
Assam,Baksa,5.63,6.93,Medium
Assam,Barpeta,2.57,4.17,Low
Assam,Biswanath,7.35,7.37,Medium
Assam,Bongaigaon,3.04,4.43,Low
Assam,Cachar,5.25,10.01,Medium
Assam,Charaideo,4.62,4.97,Medium
Assam,Chirang,3.54,4.76,Low
Assam,Darrang,2.56,4.26,Low
Assam,Dhemaji,5.26,7.27,Medium
Assam,Dhubri,4.2,5.14,Medium
Assam,Dibrugarh,3.24,4.81,Low
Assam,Dima Hasao,5.0,6.98,Medium
Assam,Goalpara,5.66,7.99,Medium
Assam,Golaghat,3.35,5.4,Low
Assam,Hailakandi,3.36,8.77,Low
Assam,Hojai,9.68,9.8,High
Assam,Jorhat,3.3,5.45,Low
Assam,Kamrup,2.58,4.64,Low
Assam,Kamrup Metro,3.575,5.39,Low
Assam,Karbi Anglong,3.38,5.68,Low
Assam,Karimganj,4.2,8.19,Medium
Assam,Kokrajhar,3.81,5.43,Low
Assam,Lakhimpur,3.26,4.67,Low
Assam,Majuli,5.64,6.4,Medium
Assam,Marigaon,3.25,4.48,Low
Assam,Nagaon,3.2,11.72,Low
Assam,Nalbari,5.77,12.68,Medium
Assam,Sivasagar,3.81,5.09,Low
Assam,Sonitpur,5.15,12.08,Medium
Assam,South Salmara Mancachar,5.01,5.02,Medium
Assam,Tinsukia,3.38,4.72,Low
Assam,Udalguri,6.73,8.65,Medium
Assam,West Karbi Anglong,5.55,5.65,Medium
Bihar,Araria,12.55,15.66,High
Bihar,Arwal,13.0,15.0,High
Bihar,Aurangabad,11.865,15.0,High
Bihar,Banka,15.3,15.9,High
Bihar,Begusarai,13.94,15.7,High
Bihar,Bhagalpur,13.715,15.84,High
Bihar,Bhojpur,14.8,15.0,High
Bihar,Buxar,11.235,12.14,High
Bihar,Darbhanga,12.87,16.25,High
Bihar,Gaya,12.15,15.93,High
Bihar,Gopalganj,13.16,15.15,High
Bihar,Jehanabad,11.82,14.5,High
Bihar,Katihar,13.63,14.83,High
Bihar,Khagaria,14.0,16.3,High
Bihar,Kishanganj,13.525,18.45,High
Bihar,Madhepura,11.105,15.37,High
Bihar,Madhubani,17.15,21.39,High
Bihar,Munger,13.55,14.92,High
Bihar,Muzaffarpur,13.02,15.86,High
Bihar,Nawada,12.955,15.98,High
Bihar,Pashchim Champaran,13.865,15.91,High
Bihar,Patna,12.16,14.74,High
Bihar,Purbi Champaran,13.565,15.34,High
Bihar,Purnia,13.62,17.06,High
Bihar,Rohtas,14.54,15.69,High
Bihar,Saharsa,12.59,16.29,High
Bihar,Samastipur,18.535,23.23,High
Bihar,Saran,13.315,15.7,High
Bihar,Sheohar,12.62,16.05,High
Bihar,Sitamarhi,13.12,16.3,High
Bihar,Siwan,13.3,15.64,High
Bihar,Supaul,10.955,14.99,High
Bihar,Vaishali,13.09,15.18,High
Chhattisgarh,Balod,6.315,8.0,Medium
Chhattisgarh,Baloda Bazar,5.33,7.36,Medium
Chhattisgarh,Balrampur,5.155,5.6,Medium
Chhattisgarh,Bastar,5.67,6.03,Medium
Chhattisgarh,Bemetara,6.085,7.0,Medium
Chhattisgarh,Bijapur,5.26,7.22,Medium
Chhattisgarh,Bilaspur,6.5,9.0,Medium
Chhattisgarh,Dantewada,5.215,7.23,Medium
Chhattisgarh,Dhamtari,5.35,8.0,Medium
Chhattisgarh,Durg,6.49,9.0,Medium
Chhattisgarh,Gariyaband,5.29,7.25,Medium
Chhattisgarh,Gaurella Pendra Marwahi,6.465,7.6,Medium
Chhattisgarh,Janjgir-Champa,6.5,7.59,Medium
Chhattisgarh,Jashpur,5.78,6.07,Medium
Chhattisgarh,Kabirdham,5.605,6.36,Medium
Chhattisgarh,Kanker,5.22,6.79,Medium
