State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,0.5,7.0,Low
A & N Islands,North And Middle Andaman,5.775,10.05,High
A & N Islands,South Andamans,7.0,23.46,High
Andhra Pradesh,Anantapur,8.120000000000001,12.33,High
Andhra Pradesh,Chittoor,8.23,964.8,High
Andhra Pradesh,East Godavari,6.62,18.6,High
Andhra Pradesh,Guntur,6.54,12.06,High
Andhra Pradesh,Krishna,10.69,15.85,High
Andhra Pradesh,Kurnool,9.02,24.73,High
Andhra Pradesh,Prakasam,6.62,12.0,High
Andhra Pradesh,Spsr Nellore,6.63,20.38,High
Andhra Pradesh,Srikakulam,6.63,15.24,High
Andhra Pradesh,Visakhapatanam,2.81,18.58,Medium
Andhra Pradesh,Vizianagaram,6.27,8.28,High
Andhra Pradesh,West Godavari,6.62,12.0,High
Andhra Pradesh,Y.s.r.,7.87,14.16,High
Arunachal Pradesh,Anjaw,3.38,22.7,Medium
Arunachal Pradesh,Changlang,4.875,6.8,High
Arunachal Pradesh,Dibang Valley,4.22,8.0,High
Arunachal Pradesh,East Kameng,3.44,3.44,Medium
Arunachal Pradesh,East Siang,2.0,4.62,Medium
Arunachal Pradesh,Kurung Kumey,6.92,7.08,High
Arunachal Pradesh,Leparada,4.18,4.19,High
Arunachal Pradesh,Lohit,4.99,7.0,High
Arunachal Pradesh,Lower Dibang Valley,6.85,7.5,High
Arunachal Pradesh,Lower Siang,3.84,3.85,Medium
Arunachal Pradesh,Lower Subansiri,4.5,8.15,High
Arunachal Pradesh,Namsai,5.4,5.77,High
Arunachal Pradesh,Papum Pare,5.575,7.2,High
Arunachal Pradesh,Shi Yomi,4.654999999999999,4.67,High
Arunachal Pradesh,Siang,3.84,4.38,Medium
Arunachal Pradesh,Tawang,2.83,7.54,Medium
Arunachal Pradesh,Tirap,5.2,7.1,High
Arunachal Pradesh,Upper Subansiri,3.43,7.17,Medium
Arunachal Pradesh,West Siang,4.5,4.95,High
Assam,Baksa,1.26,1.5,Low
Assam,Barpeta,0.83,1.48,Low
Assam,Biswanath,0.9,1.05,Low
Assam,Bongaigaon,0.69,1.38,Low
Assam,Cachar,2.12,2.5,Medium
Assam,Charaideo,1.03,1.04,Low
