State,District,Median,Max,Yield_Class
A & N Islands,Nicobars,0.77,2.44,High
A & N Islands,North And Middle Andaman,0.43,0.72,Medium
A & N Islands,South Andamans,0.355,1.05,Low
Andhra Pradesh,Alluri Sitharama Raju,0.83,0.83,High
Andhra Pradesh,Anakapalli,0.56,0.56,Medium
Andhra Pradesh,Anantapur,0.745,1.35,High
Andhra Pradesh,Annamayya,1.22,1.22,High
Andhra Pradesh,Bapatla,1.52,1.52,High
Andhra Pradesh,Chittoor,0.68,1.42,Medium
Andhra Pradesh,East Godavari,0.36,1.54,Low
Andhra Pradesh,Eluru,1.44,1.44,High
Andhra Pradesh,Guntur,0.93,1.48,High
Andhra Pradesh,Kakinada,0.91,0.91,High
Andhra Pradesh,Konaseema,0.24,0.24,Low
Andhra Pradesh,Krishna,0.98,1.64,High
Andhra Pradesh,Kurnool,0.65,1.82,Medium
Andhra Pradesh,Nandyal,1.38,1.38,High
Andhra Pradesh,Ntr,0.8,0.8,High
Andhra Pradesh,Palnadu,0.67,0.67,Medium
Andhra Pradesh,Parvathipuram Manyam,0.59,0.59,Medium
Andhra Pradesh,Prakasam,0.56,0.99,Medium
Andhra Pradesh,Spsr Nellore,0.61,0.99,Medium
Andhra Pradesh,Sri Sathya Sai,0.94,0.94,High
Andhra Pradesh,Srikakulam,0.51,0.73,Medium
Andhra Pradesh,Tirupati,0.52,0.52,Medium
Andhra Pradesh,Visakhapatanam,0.52,1.24,Medium
Andhra Pradesh,Vizianagaram,0.51,0.77,Medium
Andhra Pradesh,West Godavari,0.66,1.4,Medium
Andhra Pradesh,Y.s.r.,0.7,1.14,High
Arunachal Pradesh,Anjaw,1.33,1.33,High
Arunachal Pradesh,Changlang,0.96,0.99,High
Arunachal Pradesh,Dibang Valley,0.7,0.73,High
Arunachal Pradesh,East Kameng,0.84,0.86,High
Arunachal Pradesh,East Siang,0.91,1.03,High
Arunachal Pradesh,Kamle,1.43,1.44,High
Arunachal Pradesh,Kra Daadi,0.95,1.17,High
Arunachal Pradesh,Kurung Kumey,0.71,0.87,High
Arunachal Pradesh,Leparada,1.035,1.04,High
Arunachal Pradesh,Lohit,0.78,0.83,High
Arunachal Pradesh,Longding,1.09,1.09,High
Arunachal Pradesh,Lower Dibang Valley,0.95,0.98,High
Arunachal Pradesh,Lower Siang,0.83,0.88,High
Arunachal Pradesh,Lower Subansiri,0.91,0.95,High
Arunachal Pradesh,Namsai,0.85,0.95,High
Arunachal Pradesh,Pakke Kessang,0.85,0.91,High
Arunachal Pradesh,Papum Pare,0.89,1.04,High
Arunachal Pradesh,Shi Yomi,1.125,1.2,High
Arunachal Pradesh,Siang,1.06,1.08,High
Arunachal Pradesh,Tirap,1.52,1.52,High
Arunachal Pradesh,Upper Siang,0.93,1.07,High
Arunachal Pradesh,Upper Subansiri,1.43,1.47,High
Arunachal Pradesh,West Siang,1.19,1.23,High
Assam,Baksa,0.585,0.93,Medium
Assam,Barpeta,0.595,0.8,Medium
Assam,Biswanath,0.74,0.76,High
Assam,Bongaigaon,0.595,0.95,Medium
Assam,Cachar,0.58,0.68,Medium
Assam,Charaideo,0.67,0.67,Medium
Assam,Chirang,0.49,1.06,Medium
Assam,Darrang,0.555,0.86,Medium
Assam,Dhemaji,0.58,1.02,Medium
Assam,Dhubri,0.64,0.82,Medium
Assam,Dibrugarh,0.59,1.05,Medium
Assam,Dima Hasao,0.58,0.68,Medium
Assam,Goalpara,0.57,0.76,Medium
Assam,Golaghat,0.5700000000000001,0.76,Medium
Assam,Hailakandi,0.575,0.68,Medium
Assam,Hojai,0.77,0.91,High
Assam,Jorhat,0.385,0.74,Low
Assam,Kamrup,0.615,0.72,Medium
Assam,Kamrup Metro,0.625,0.67,Medium
Assam,Karbi Anglong,0.58,0.68,Medium
Assam,Karimganj,0.58,0.68,Medium
Assam,Kokrajhar,0.565,0.81,Medium
Assam,Lakhimpur,0.5800000000000001,0.76,Medium
Assam,Majuli,0.56,0.62,Medium
Assam,Marigaon,0.55,0.81,Medium
Assam,Nagaon,0.64,0.82,Medium
Assam,Nalbari,0.655,1.14,Medium
Assam,Sivasagar,0.575,0.68,Medium
Assam,Sonitpur,0.725,0.83,High
Assam,South Salmara Mancachar,0.79,0.84,High
Assam,Tinsukia,0.595,1.1,Medium
Assam,Udalguri,0.5700000000000001,0.95,Medium
Assam,West Karbi Anglong,0.66,0.67,Medium
Bihar,Araria,0.85,0.99,High
Bihar,Arwal,0.86,1.0,High
Bihar,Aurangabad,0.85,1.0,High
Bihar,Banka,0.86,1.0,High
Bihar,Begusarai,0.87,1.18,High
Bihar,Bhagalpur,0.87,0.99,High
Bihar,Bhojpur,0.865,0.99,High
Bihar,Buxar,0.825,1.03,High
Bihar,Darbhanga,0.88,1.0,High
Bihar,Gaya,0.85,0.99,High
Bihar,Gopalganj,0.89,0.98,High
Bihar,Jamui,1.0,1.0,High
Bihar,Jehanabad,0.795,1.0,High
Bihar,Kaimur (Bhabua),0.87,1.0,High
Bihar,Katihar,0.87,0.99,High
Bihar,Khagaria,0.86,1.19,High
Bihar,Kishanganj,0.89,0.99,High
Bihar,Lakhisarai,0.91,0.92,High
Bihar,Madhepura,0.86,0.99,High
Bihar,Madhubani,0.87,0.99,High
Bihar,Munger,0.77,1.0,High
Bihar,Muzaffarpur,0.77,1.0,High
Bihar,Nalanda,0.88,1.0,High
Bihar,Nawada,0.84,0.99,High
Bihar,Pashchim Champaran,0.88,0.99,High
Bihar,Patna,0.89,1.0,High
Bihar,Purbi Champaran,0.775,1.0,High
Bihar,Purnia,0.86,1.0,High
Bihar,Rohtas,0.88,1.06,High
Bihar,Saharsa,0.935,1.0,High
Bihar,Samastipur,0.88,0.99,High
Bihar,Saran,0.9,1.0,High
Bihar,Sheikhpura,0.67,1.0,Medium
Bihar,Sitamarhi,0.84,1.0,High
Bihar,Siwan,0.89,0.99,High
Bihar,Supaul,0.87,0.99,High
Bihar,Vaishali,0.9,0.99,High
Chandigarh,Chandigarh,1.0,1.0,High
Chhattisgarh,Balod,0.28,0.42,Low
Chhattisgarh,Baloda Bazar,0.345,0.55,Low
Chhattisgarh,Balrampur,0.325,0.37,Low
Chhattisgarh,Bastar,0.4,0.48,Low
Chhattisgarh,Bemetara,0.3349999999999999,0.41,Low
Chhattisgarh,Bijapur,0.315,0.43,Low
Chhattisgarh,Bilaspur,0.23,0.38,Low
Chhattisgarh,Dantewada,0.37,0.49,Low
Chhattisgarh,Dhamtari,0.34,0.52,Low
Chhattisgarh,Durg,0.27,0.37,Low
Chhattisgarh,Gariyaband,0.4,0.45,Low
Chhattisgarh,Gaurella Pendra Marwahi,0.365,0.37,Low
Chhattisgarh,Janjgir-Champa,0.25,0.46,Low
Chhattisgarh,Jashpur,0.34,0.43,Low
Chhattisgarh,Kabirdham,0.32,0.39,Low
Chhattisgarh,Kanker,0.38,0.45,Low
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.38,0.38,Low
Chhattisgarh,Kondagaon,0.425,0.59,Medium
Chhattisgarh,Korba,0.22,0.41,Low
Chhattisgarh,Korea,0.27,0.36,Low
Chhattisgarh,Mahasamund,0.27,0.41,Low
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.35,0.35,Low
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.49,0.49,Medium
Chhattisgarh,Mungeli,0.25,0.33,Low
Chhattisgarh,Narayanpur,0.39,0.6,Low
Chhattisgarh,Raigarh,0.23,0.25,Low
Chhattisgarh,Raipur,0.33,0.46,Low
Chhattisgarh,Rajnandgaon,0.34,0.41,Low
Chhattisgarh,Sakti,0.65,0.65,Medium
Chhattisgarh,Sarangarh Bilaigarh,0.7,0.7,High
Chhattisgarh,Sukma,0.41,0.45,Low
Chhattisgarh,Surajpur,0.3349999999999999,0.39,Low
Chhattisgarh,Surguja,0.33,0.61,Low
