State,District,Mean,Median,Max
A & N Islands,Nicobars,2.8749999999999996,1.065,9.17
A & N Islands,North And Middle Andaman,2.3776923076923073,2.34,4.73
A & N Islands,South Andamans,2.135,2.025,3.47
Andhra Pradesh,Alluri Sitharama Raju,3.46,3.46,3.46
Andhra Pradesh,Anakapalli,7.64,7.64,7.64
Andhra Pradesh,Anantapur,4.021739130434782,3.58,6.15
Andhra Pradesh,Annamayya,6.04,6.04,6.04
Andhra Pradesh,Bapatla,11.42,11.42,11.42
Andhra Pradesh,Chittoor,4.509130434782608,4.18,6.88
Andhra Pradesh,East Godavari,7.3947826086956505,7.3,10.45
Andhra Pradesh,Eluru,11.84,11.84,11.84
Andhra Pradesh,Guntur,8.496521739130435,8.81,12.49
Andhra Pradesh,Kakinada,6.35,6.35,6.35
Andhra Pradesh,Konaseema,9.57,9.57,9.57
Andhra Pradesh,Krishna,6.113478260869565,6.3,8.02
Andhra Pradesh,Kurnool,4.58304347826087,4.61,6.41
Andhra Pradesh,Nandyal,4.62,4.62,4.62
Andhra Pradesh,Ntr,5.92,5.92,5.92
Andhra Pradesh,Palnadu,6.76,6.76,6.76
Andhra Pradesh,Parvathipuram Manyam,4.63,4.63,4.63
Andhra Pradesh,Prakasam,5.5260869565217385,5.32,8.29
Andhra Pradesh,Spsr Nellore,5.945909090909091,6.39,9.0
Andhra Pradesh,Sri Sathya Sai,2.95,2.95,2.95
Andhra Pradesh,Srikakulam,5.025217391304348,4.95,6.77
Andhra Pradesh,Tirupati,4.45,4.45,4.45
Andhra Pradesh,Visakhapatanam,2.9560869565217387,2.74,5.3
Andhra Pradesh,Vizianagaram,4.81391304347826,4.46,7.03
Andhra Pradesh,West Godavari,7.026521739130434,6.88,9.63
Andhra Pradesh,Y.s.r.,4.670909090909092,4.455,11.37
Arunachal Pradesh,Anjaw,1.7321052631578946,1.33,2.48
Arunachal Pradesh,Changlang,1.4591304347826088,1.51,1.61
Arunachal Pradesh,Dibang Valley,1.285652173913043,1.4,1.54
Arunachal Pradesh,East Kameng,1.4586956521739132,1.48,1.93
Arunachal Pradesh,East Siang,2.0447826086956526,2.0,2.63
Arunachal Pradesh,Kamle,2.072,2.1,2.13
Arunachal Pradesh,Kra Daadi,1.465,1.49,1.66
Arunachal Pradesh,Kurung Kumey,1.4333333333333333,1.47,1.73
Arunachal Pradesh,Leparada,1.6225,1.6400000000000001,1.68
Arunachal Pradesh,Lohit,1.2065217391304348,1.22,1.4
Arunachal Pradesh,Longding,2.3879999999999995,2.4,2.45
Arunachal Pradesh,Lower Dibang Valley,1.4014285714285717,1.34,1.8
Arunachal Pradesh,Lower Siang,1.634,1.64,1.65
Arunachal Pradesh,Lower Subansiri,1.9182608695652177,2.02,2.43
Arunachal Pradesh,Namsai,1.24,1.24,1.25
Arunachal Pradesh,Pakke Kessang,1.5325,1.54,1.55
Arunachal Pradesh,Papum Pare,1.716956521739131,1.78,2.2
Arunachal Pradesh,Shi Yomi,1.695,1.735,1.88
