State,District,Mean,Median,Max
A & N Islands,Nicobars,1.6440000000000001,2.0,3.09
A & N Islands,North And Middle Andaman,0.4307692307692308,0.43,0.61
A & N Islands,South Andamans,0.44916666666666666,0.525,0.6
Andhra Pradesh,Alluri Sitharama Raju,0.75,0.75,0.75
Andhra Pradesh,Anakapalli,0.52,0.52,0.52
Andhra Pradesh,Anantapur,0.4000000000000001,0.32,1.15
Andhra Pradesh,Annamayya,0.71,0.71,0.71
Andhra Pradesh,Bapatla,1.42,1.42,1.42
Andhra Pradesh,Chittoor,0.5185714285714287,0.49,1.05
Andhra Pradesh,East Godavari,0.4230434782608696,0.31,1.29
Andhra Pradesh,Eluru,1.45,1.45,1.45
Andhra Pradesh,Guntur,0.7847826086956521,0.61,1.72
Andhra Pradesh,Kakinada,0.67,0.67,0.67
Andhra Pradesh,Konaseema,0.58,0.58,0.58
Andhra Pradesh,Krishna,0.658695652173913,0.64,1.45
Andhra Pradesh,Kurnool,0.6247826086956522,0.66,1.01
Andhra Pradesh,Nandyal,1.16,1.16,1.16
Andhra Pradesh,Ntr,0.58,0.58,0.58
Andhra Pradesh,Palnadu,0.82,0.82,0.82
Andhra Pradesh,Parvathipuram Manyam,0.53,0.53,0.53
Andhra Pradesh,Prakasam,0.5260869565217391,0.48,1.03
Andhra Pradesh,Spsr Nellore,0.5417391304347826,0.52,0.88
Andhra Pradesh,Sri Sathya Sai,0.28,0.28,0.28
Andhra Pradesh,Srikakulam,0.4830434782608697,0.5,0.63
Andhra Pradesh,Tirupati,0.92,0.92,0.92
Andhra Pradesh,Visakhapatanam,0.46478260869565224,0.41,0.97
Andhra Pradesh,Vizianagaram,0.43478260869565216,0.44,0.72
Andhra Pradesh,West Godavari,0.6978260869565216,0.61,1.3
Andhra Pradesh,Y.s.r.,0.5576190476190477,0.54,0.99
Arunachal Pradesh,Anjaw,1.2671428571428573,1.4,1.8
Arunachal Pradesh,Changlang,1.0242857142857142,1.03,1.03
Arunachal Pradesh,Dibang Valley,1.0914285714285714,1.21,1.21
Arunachal Pradesh,East Kameng,1.022857142857143,1.06,1.08
Arunachal Pradesh,East Siang,0.9214285714285715,0.99,1.03
Arunachal Pradesh,Kamle,0.768,0.71,0.89
Arunachal Pradesh,Leparada,0.905,0.905,0.91
Arunachal Pradesh,Lohit,0.9271428571428572,0.9,1.04
Arunachal Pradesh,Longding,0.9799999999999999,1.1,1.1
Arunachal Pradesh,Lower Dibang Valley,1.0614285714285716,1.06,1.07
Arunachal Pradesh,Lower Siang,0.752,0.56,1.1
Arunachal Pradesh,Lower Subansiri,1.2950000000000002,1.31,1.57
Arunachal Pradesh,Namsai,0.7042857142857143,0.59,0.97
Arunachal Pradesh,Pakke Kessang,1.0725,1.0750000000000002,1.09
Arunachal Pradesh,Papum Pare,0.9171428571428573,0.83,1.11
Arunachal Pradesh,Siang,1.2485714285714287,1.08,2.28
Arunachal Pradesh,Tawang,1.45,1.58,1.59
Arunachal Pradesh,Tirap,1.1485714285714288,1.36,1.36
Arunachal Pradesh,Upper Siang,1.1642857142857141,1.14,1.31
Arunachal Pradesh,Upper Subansiri,1.362857142857143,1.46,1.72
