State,District,Mean,Median,Max
A & N Islands,Nicobars,0.09,0.09,0.11
A & N Islands,North And Middle Andaman,0.7533333333333333,0.6,1.25
A & N Islands,South Andamans,0.536,0.52,0.64
Andhra Pradesh,Alluri Sitharama Raju,23.9,23.9,23.9
Andhra Pradesh,Anakapalli,23.9,23.9,23.9
Andhra Pradesh,Anantapur,2.8744444444444444,0.56,20.14
Andhra Pradesh,Annamayya,5.2,5.2,5.2
Andhra Pradesh,Chittoor,6.984999999999999,6.48,14.15
Andhra Pradesh,East Godavari,21.283,22.994999999999997,32.57
Andhra Pradesh,Eluru,24.82,24.82,24.82
Andhra Pradesh,Guntur,17.317,21.145,24.29
Andhra Pradesh,Kakinada,23.53,23.53,23.53
Andhra Pradesh,Konaseema,23.9,23.9,23.9
Andhra Pradesh,Krishna,17.894545454545458,21.37,25.0
Andhra Pradesh,Kurnool,0.47,0.47,0.47
Andhra Pradesh,Ntr,23.9,23.9,23.9
Andhra Pradesh,Parvathipuram Manyam,23.9,23.9,23.9
Andhra Pradesh,Prakasam,8.616666666666665,1.24,23.88
Andhra Pradesh,Spsr Nellore,16.912,19.19,23.9
Andhra Pradesh,Sri Sathya Sai,5.29,5.29,5.29
Andhra Pradesh,Srikakulam,19.626,21.42,25.25
Andhra Pradesh,Tirupati,20.89,20.89,20.89
Andhra Pradesh,Visakhapatanam,17.447,19.935000000000002,24.27
Andhra Pradesh,Vizianagaram,18.745,21.54,23.9
Andhra Pradesh,West Godavari,20.294,22.615000000000002,24.47
Andhra Pradesh,Y.s.r.,1.7399999999999998,1.72,3.18
Arunachal Pradesh,Changlang,1.406666666666667,1.54,1.54
Arunachal Pradesh,Leparada,0.9,1.0,1.0
Arunachal Pradesh,Lohit,1.2583333333333333,1.26,1.28
Arunachal Pradesh,Lower Dibang Valley,0.6033333333333333,0.59,0.73
Arunachal Pradesh,Namsai,1.1416666666666668,1.06,1.57
Arunachal Pradesh,Papum Pare,0.5016666666666667,0.42500000000000004,0.75
Arunachal Pradesh,Siang,1.78,2.05,2.05
Arunachal Pradesh,Upper Siang,1.3183333333333334,1.32,1.36
Arunachal Pradesh,West Siang,0.9016666666666667,0.9,1.0
Goa,North Goa,2.242,2.25,2.45
Goa,South Goa,2.7039999999999997,2.98,3.8
Gujarat,Ahmadabad,0.42,0.42,0.47
Gujarat,Amreli,0.36,0.36,0.36
Gujarat,Anand,0.45999999999999996,0.45999999999999996,0.5
