State,District,Mean,Median,Max
Arunachal Pradesh,Anjaw,1.3499999999999999,1.38,1.4
Arunachal Pradesh,Changlang,1.507142857142857,1.28,2.92
Arunachal Pradesh,Dibang Valley,0.8457142857142855,0.85,0.85
Arunachal Pradesh,East Kameng,1.1828571428571428,1.17,1.3
Arunachal Pradesh,East Siang,1.2585714285714287,1.28,1.33
Arunachal Pradesh,Kamle,1.036,1.03,1.06
Arunachal Pradesh,Kra Daadi,1.3242857142857143,1.12,2.63
Arunachal Pradesh,Kurung Kumey,1.3828571428571428,1.41,1.42
Arunachal Pradesh,Leparada,1.96,1.88,2.21
Arunachal Pradesh,Lohit,1.467142857142857,1.49,1.51
Arunachal Pradesh,Longding,1.0571428571428572,1.08,1.11
Arunachal Pradesh,Lower Dibang Valley,1.2385714285714287,1.24,1.27
Arunachal Pradesh,Lower Siang,1.272,1.28,1.29
Arunachal Pradesh,Lower Subansiri,2.397142857142857,2.66,2.69
Arunachal Pradesh,Namsai,1.15,1.14,1.21
Arunachal Pradesh,Pakke Kessang,1.255,1.19,1.47
Arunachal Pradesh,Papum Pare,2.021428571428572,1.98,2.28
Arunachal Pradesh,Shi Yomi,2.1625,1.71,3.79
Arunachal Pradesh,Siang,1.4242857142857144,1.14,1.88
Arunachal Pradesh,Tirap,1.4485714285714284,1.46,1.55
Arunachal Pradesh,Upper Siang,1.6071428571428572,1.62,1.63
Arunachal Pradesh,Upper Subansiri,1.4314285714285713,1.38,1.62
Arunachal Pradesh,West Kameng,1.7042857142857142,1.68,1.78
Arunachal Pradesh,West Siang,2.391428571428571,1.84,3.95
Assam,Baksa,0.9322222222222223,0.945,1.14
Assam,Barpeta,0.8186363636363638,0.8,1.15
Assam,Biswanath,1.2266666666666668,1.23,1.23
Assam,Bongaigaon,0.8272727272727274,0.75,1.35
Assam,Cachar,0.6163636363636363,0.595,1.17
Assam,Charaideo,0.65,0.65,0.65
Assam,Chirang,0.8344444444444444,0.76,1.2
Assam,Darrang,0.9586363636363636,0.755,2.55
Assam,Dhemaji,0.7672727272727272,0.655,1.4
Assam,Dhubri,0.8572727272727274,0.81,1.11
Assam,Dibrugarh,0.4709090909090909,0.355,0.8
Assam,Dima Hasao,0.515,0.49,0.8
Assam,Goalpara,0.6422727272727272,0.545,1.0
Assam,Golaghat,0.935,0.91,1.28
Assam,Hailakandi,0.739090909090909,0.595,1.33
Assam,Hojai,0.83,0.83,0.83
Assam,Jorhat,0.545909090909091,0.45499999999999996,0.96
Assam,Kamrup,0.8622727272727272,0.835,1.2
Assam,Kamrup Metro,0.943888888888889,0.885,1.72
Assam,Karbi Anglong,0.6950000000000002,0.6799999999999999,1.06
Assam,Karimganj,0.5359090909090909,0.36,1.05
Assam,Kokrajhar,0.6531818181818184,0.62,1.19
Assam,Lakhimpur,0.6868181818181818,0.46499999999999997,1.27
Assam,Majuli,0.67,0.67,0.67
Assam,Marigaon,1.0922727272727273,1.0,1.44
Assam,Nagaon,0.48863636363636365,0.375,0.81
Assam,Nalbari,0.9490909090909091,0.81,1.31
Assam,Sivasagar,0.7881818181818182,0.69,1.5
Assam,Sonitpur,0.6695454545454547,0.55,0.94
Assam,South Salmara Mancachar,0.9533333333333335,0.88,1.1
Assam,Tinsukia,0.6972727272727272,0.43,1.27
Assam,Udalguri,0.9188888888888889,0.655,1.65
Assam,West Karbi Anglong,0.73,0.73,0.73
Bihar,Araria,1.0346666666666668,1.0,1.73
Bihar,Arwal,0.9442105263157894,0.93,1.08
Bihar,Aurangabad,0.9434782608695652,0.93,1.08
Bihar,Banka,0.9921739130434782,1.0,1.1
Bihar,Begusarai,1.0334782608695652,1.01,1.54
Bihar,Bhagalpur,0.9956521739130437,1.03,1.08
Bihar,Bhojpur,1.01,1.03,1.25
Bihar,Buxar,1.0082608695652173,1.03,1.25
Bihar,Darbhanga,0.9822222222222222,1.0,1.08
Bihar,Gaya,0.952777777777778,0.965,1.08
Bihar,Gopalganj,1.0143478260869565,1.02,1.25
Bihar,Jamui,0.9888888888888889,0.99,1.18
Bihar,Jehanabad,0.9439130434782609,0.94,1.08
Bihar,Kaimur (Bhabua),1.0239130434782608,1.03,1.25
Bihar,Katihar,1.037391304347826,1.03,1.73
Bihar,Khagaria,1.0313043478260868,1.01,1.49
Bihar,Kishanganj,1.032352941176471,1.01,1.73
Bihar,Lakhisarai,1.0086956521739132,1.0,1.18
Bihar,Madhepura,0.9991304347826089,1.03,1.08
Bihar,Madhubani,0.9886956521739133,1.03,1.08
Bihar,Munger,1.019130434782609,1.02,1.19
Bihar,Muzaffarpur,0.9630434782608697,0.96,1.06
Bihar,Nalanda,0.9926086956521738,1.03,1.25
Bihar,Nawada,0.9452173913043481,0.94,1.08
Bihar,Pashchim Champaran,0.9639130434782611,0.96,1.06
Bihar,Patna,1.0017391304347825,1.03,1.25
Bihar,Purbi Champaran,0.964782608695652,0.97,1.05
Bihar,Purnia,1.0295454545454548,1.005,1.73
Bihar,Rohtas,1.0091304347826087,1.03,1.25
Bihar,Saharsa,1.000434782608696,1.03,1.08
Bihar,Samastipur,1.0013043478260868,1.04,1.08
Bihar,Saran,1.0139130434782608,1.02,1.25
Bihar,Sheikhpura,1.0505263157894738,1.04,1.34
Bihar,Sheohar,0.9747058823529412,0.97,1.06
Bihar,Sitamarhi,0.9613043478260872,0.94,1.07
Bihar,Siwan,1.0139130434782608,1.02,1.25
Bihar,Supaul,0.9995652173913044,1.03,1.08
Bihar,Vaishali,0.95,0.95,1.09
Chhattisgarh,Balod,0.3333333333333333,0.33,0.38
Chhattisgarh,Baloda Bazar,0.385,0.375,0.49
Chhattisgarh,Balrampur,0.4300000000000001,0.435,0.54
Chhattisgarh,Bastar,0.29608695652173916,0.29,0.36
Chhattisgarh,Bemetara,0.3833333333333333,0.38,0.53
Chhattisgarh,Bilaspur,0.36,0.36,0.48
Chhattisgarh,Dantewada,0.319,0.33,0.5
Chhattisgarh,Dhamtari,0.39999999999999997,0.39,0.46
Chhattisgarh,Durg,0.32913043478260867,0.33,0.51
Chhattisgarh,Gariyaband,0.385,0.375,0.46
Chhattisgarh,Gaurella Pendra Marwahi,0.4425,0.45,0.51
