State,District,Mean,Median,Max
A & N Islands,Nicobars,2.179411764705882,1.73,5.77
A & N Islands,North And Middle Andaman,2.402857142857143,2.185,3.16
A & N Islands,South Andamans,2.4212499999999997,2.435,3.04
Andhra Pradesh,Alluri Sitharama Raju,2.99,2.99,2.99
Andhra Pradesh,Anakapalli,3.14,3.14,3.14
Andhra Pradesh,Anantapur,2.7886956521739124,2.83,3.85
Andhra Pradesh,Annamayya,3.3,3.3,3.3
Andhra Pradesh,Bapatla,4.17,4.17,4.17
Andhra Pradesh,Chittoor,3.1291304347826085,3.15,3.8
Andhra Pradesh,East Godavari,3.6643478260869564,3.57,4.47
Andhra Pradesh,Eluru,4.48,4.48,4.48
Andhra Pradesh,Guntur,3.4613043478260868,3.46,4.21
Andhra Pradesh,Kakinada,3.93,3.93,3.93
Andhra Pradesh,Konaseema,4.61,4.61,4.61
Andhra Pradesh,Krishna,3.443913043478261,3.47,4.19
Andhra Pradesh,Kurnool,3.353478260869565,3.36,4.0
Andhra Pradesh,Nandyal,4.01,4.01,4.01
Andhra Pradesh,Ntr,3.89,3.89,3.89
Andhra Pradesh,Palnadu,3.71,3.71,3.71
Andhra Pradesh,Parvathipuram Manyam,3.32,3.32,3.32
Andhra Pradesh,Prakasam,3.4756521739130433,3.53,4.03
Andhra Pradesh,Spsr Nellore,3.8330434782608696,3.92,4.62
Andhra Pradesh,Sri Sathya Sai,2.79,2.79,2.79
Andhra Pradesh,Srikakulam,2.2717391304347823,2.24,3.14
Andhra Pradesh,Tirupati,3.84,3.84,3.84
Andhra Pradesh,Visakhapatanam,1.8639130434782611,1.71,3.33
Andhra Pradesh,Vizianagaram,2.4786956521739127,2.49,3.62
Andhra Pradesh,West Godavari,3.7700000000000005,3.67,4.55
Andhra Pradesh,Y.s.r.,2.701304347826087,2.67,3.61
Arunachal Pradesh,Anjaw,0.8705263157894736,0.84,1.47
Arunachal Pradesh,Changlang,1.922173913043478,2.03,2.24
Arunachal Pradesh,Dibang Valley,0.9356521739130433,0.9,1.28
Arunachal Pradesh,East Kameng,1.0778260869565217,1.2,1.36
Arunachal Pradesh,East Siang,1.6873913043478266,1.7,2.31
Arunachal Pradesh,Kamle,2.17,2.23,2.26
Arunachal Pradesh,Kra Daadi,2.4587499999999993,1.9649999999999999,7.18
Arunachal Pradesh,Kurung Kumey,1.6800000000000002,1.4,7.0
Arunachal Pradesh,Leparada,1.64,1.645,1.67
Arunachal Pradesh,Lohit,1.7200000000000004,1.78,2.13
Arunachal Pradesh,Longding,1.4929999999999999,1.65,1.76
Arunachal Pradesh,Lower Dibang Valley,1.354285714285714,1.32,1.65
Arunachal Pradesh,Lower Siang,1.548,1.56,1.57
Arunachal Pradesh,Lower Subansiri,1.5299999999999998,1.31,2.24
Arunachal Pradesh,Namsai,2.25375,2.27,2.3
Arunachal Pradesh,Pakke Kessang,1.35,1.355,1.36
Arunachal Pradesh,Papum Pare,1.6534782608695653,1.73,2.06
Arunachal Pradesh,Shi Yomi,1.6475,1.65,1.67
Arunachal Pradesh,Siang,1.91625,2.16,2.21
Arunachal Pradesh,Tawang,1.437391304347826,1.36,1.98
Arunachal Pradesh,Tirap,0.9791304347826089,0.87,1.46
Arunachal Pradesh,Upper Siang,1.422173913043478,1.27,1.96
Arunachal Pradesh,Upper Subansiri,1.5895652173913044,1.46,2.17
Arunachal Pradesh,West Kameng,1.2434782608695654,1.07,1.85
Arunachal Pradesh,West Siang,1.161304347826087,1.11,1.68
Assam,Baksa,1.857222222222222,1.88,2.58
Assam,Barpeta,1.756521739130435,1.89,2.81
Assam,Biswanath,2.03,1.86,2.55
Assam,Bongaigaon,1.5717391304347825,1.56,2.85
Assam,Cachar,2.0017391304347827,2.09,2.28
Assam,Charaideo,2.0766666666666667,1.95,2.54
Assam,Chirang,1.5433333333333332,1.59,2.72
Assam,Darrang,1.9930434782608695,2.21,2.87
Assam,Dhemaji,1.3582608695652174,1.29,2.18
Assam,Dhubri,2.1799999999999997,2.4,3.1
Assam,Dibrugarh,1.8447826086956525,1.81,2.76
Assam,Dima Hasao,1.9386956521739132,2.01,2.37
Assam,Goalpara,2.039565217391304,2.05,2.95
Assam,Golaghat,2.0717391304347825,2.08,2.76
Assam,Hailakandi,2.249565217391304,2.24,2.79
Assam,Hojai,2.8833333333333333,2.93,3.41
Assam,Jorhat,1.9004347826086954,1.92,2.91
Assam,Kamrup,2.0226086956521736,1.93,2.96
Assam,Kamrup Metro,2.222777777777778,2.265,2.99
Assam,Karbi Anglong,1.7069565217391307,1.65,2.58
Assam,Karimganj,2.02,2.02,2.68
Assam,Kokrajhar,1.589130434782609,1.65,2.12
Assam,Lakhimpur,1.4952173913043478,1.74,2.21
Assam,Majuli,2.1933333333333334,2.47,2.52
Assam,Marigaon,2.057826086956522,2.27,2.85
Assam,Nagaon,2.000434782608696,2.04,2.56
Assam,Nalbari,1.9378260869565214,1.97,2.9
Assam,Sivasagar,2.0730434782608698,2.06,2.64
Assam,Sonitpur,1.8017391304347823,1.83,2.94
Assam,South Salmara Mancachar,2.6566666666666667,2.65,3.01
Assam,Tinsukia,1.5669565217391304,1.62,1.99
Assam,Udalguri,1.7444444444444445,1.74,2.61
Assam,West Karbi Anglong,2.25,2.2,2.52
Bihar,Araria,1.5930434782608696,1.75,2.67
Bihar,Arwal,2.7378947368421054,3.07,4.4
Bihar,Aurangabad,2.705217391304348,3.09,3.84
Bihar,Banka,2.356521739130435,2.37,3.91
Bihar,Begusarai,1.5004347826086957,1.39,3.36
Bihar,Bhagalpur,1.719130434782609,1.46,3.44
Bihar,Bhojpur,2.6691304347826086,2.72,4.05
Bihar,Buxar,2.7021739130434788,2.78,3.67
Bihar,Darbhanga,1.2330434782608695,1.27,1.89
Bihar,Gaya,2.0647826086956518,1.81,3.42
Bihar,Gopalganj,1.4400000000000002,1.37,2.4
Bihar,Jamui,1.5591304347826087,1.76,3.08
Bihar,Jehanabad,2.345217391304348,2.51,3.82
Bihar,Kaimur (Bhabua),2.7078260869565223,2.68,3.86
Bihar,Katihar,1.8439130434782611,1.89,3.21
Bihar,Khagaria,1.1839130434782608,1.06,2.72
Bihar,Kishanganj,1.504347826086957,1.43,2.85
Bihar,Lakhisarai,2.3582608695652176,2.3,4.27
Bihar,Madhepura,1.6500000000000001,1.48,2.59
Bihar,Madhubani,1.110434782608696,1.1,1.76
Bihar,Munger,2.023478260869565,1.99,3.24
Bihar,Muzaffarpur,1.118695652173913,1.08,2.28
Bihar,Nalanda,1.932608695652174,2.11,3.18
Bihar,Nawada,2.1408695652173915,2.05,3.46
Bihar,Pashchim Champaran,1.8817391304347826,1.84,4.62
Bihar,Patna,2.2299999999999995,2.28,3.34
Bihar,Purbi Champaran,1.2730434782608697,1.37,1.99
Bihar,Purnia,1.6299999999999997,1.61,2.68
Bihar,Rohtas,3.340434782608696,3.31,4.72
Bihar,Saharsa,1.3917391304347828,1.44,1.98
Bihar,Samastipur,1.3104347826086953,1.39,2.51
Bihar,Saran,1.6156521739130434,1.49,2.73
Bihar,Sheikhpura,1.9986956521739132,1.88,3.87
Bihar,Sheohar,1.2204347826086954,1.26,2.55
Bihar,Sitamarhi,1.3013043478260868,1.27,2.16
Bihar,Siwan,1.4082608695652177,1.29,2.45
Bihar,Supaul,1.5134782608695654,1.43,2.52
Bihar,Vaishali,1.44,1.46,2.41
Chandigarh,Chandigarh,5.176086956521739,5.15,5.5
Chhattisgarh,Balod,2.103333333333333,1.96,3.24
Chhattisgarh,Baloda Bazar,1.78,1.65,2.69
Chhattisgarh,Balrampur,1.7616666666666667,1.76,2.52
Chhattisgarh,Bastar,1.4600000000000002,1.46,2.45
Chhattisgarh,Bemetara,1.8575,1.72,3.29
Chhattisgarh,Bijapur,1.53375,1.5350000000000001,2.29
Chhattisgarh,Bilaspur,1.7091304347826088,1.6,3.39
Chhattisgarh,Dantewada,1.3482608695652174,1.36,2.43
Chhattisgarh,Dhamtari,2.2078260869565223,2.15,3.29
Chhattisgarh,Durg,1.7317391304347824,1.65,2.96
Chhattisgarh,Gariyaband,1.7300000000000002,1.65,2.6
Chhattisgarh,Gaurella Pendra Marwahi,2.3575,2.25,3.66
Chhattisgarh,Janjgir-Champa,2.2682608695652178,2.29,3.28
Chhattisgarh,Jashpur,1.1752173913043478,1.14,1.68
Chhattisgarh,Kabirdham,1.2073913043478257,1.18,2.13
Chhattisgarh,Kanker,1.7508695652173913,1.65,2.83
Chhattisgarh,Khairgarh Chhuikhadan Gandai,1.93,1.93,1.93
Chhattisgarh,Kondagaon,1.5233333333333332,1.495,2.13
Chhattisgarh,Korba,1.2708695652173914,1.22,2.48
Chhattisgarh,Korea,1.2639130434782608,1.35,2.24
Chhattisgarh,Mahasamund,1.4182608695652172,1.44,2.13
Chhattisgarh,Manendragarh Chirimiri Bharatpur,1.48,1.48,1.48
Chhattisgarh,Mohla Manpur Ambagarh Chouki,1.89,1.89,1.89
Chhattisgarh,Mungeli,2.110833333333334,2.105,2.62
Chhattisgarh,Narayanpur,1.3731250000000002,1.455,1.91
Chhattisgarh,Raigarh,1.4473913043478261,1.33,2.68
Chhattisgarh,Raipur,1.8317391304347823,1.55,3.48
Chhattisgarh,Rajnandgaon,1.3678260869565217,1.37,1.93
Chhattisgarh,Sakti,3.03,3.03,3.03
Chhattisgarh,Sarangarh Bilaigarh,2.49,2.49,2.49
Chhattisgarh,Sukma,1.8199999999999996,1.77,2.79
Chhattisgarh,Surajpur,1.6083333333333336,1.5950000000000002,2.28
Chhattisgarh,Surguja,1.3373913043478263,1.31,2.3
DNHDD,Dadra And Nagar Haveli,2.0185000000000004,2.035,2.8
DNHDD,Daman,1.4285714285714284,1.27,2.01
Delhi,Central,2.9241666666666664,2.87,3.26
Goa,North Goa,3.427368421052632,2.82,16.15
Goa,South Goa,2.86578947368421,2.6,8.36
Gujarat,Ahmadabad,2.1678260869565213,2.26,2.85
Gujarat,Amreli,1.0,1.0,1.0
