State,District,Mean,Median,Max
Bihar,Araria,1.7412500000000002,0.84,4.57
Bihar,Arwal,1.6875,0.86,4.17
Bihar,Aurangabad,1.0,1.0,1.0
Bihar,Banka,1.181052631578947,0.81,4.44
Bihar,Begusarai,1.0313333333333334,0.81,4.44
Bihar,Bhagalpur,1.1815789473684206,0.81,4.45
Bihar,Bhojpur,1.8583333333333334,0.905,4.17
Bihar,Buxar,1.5266666666666666,0.75,3.33
Bihar,Darbhanga,1.0,1.0,1.0
Bihar,Gaya,1.3642857142857143,0.82,4.47
Bihar,Gopalganj,1.5322222222222224,0.82,4.26
Bihar,Jehanabad,1.4561538461538461,0.81,5.56
Bihar,Kaimur (Bhabua),0.605,0.605,0.71
Bihar,Katihar,1.6500000000000001,0.82,4.59
Bihar,Khagaria,1.1752631578947368,0.81,4.41
Bihar,Lakhisarai,0.8066666666666666,0.75,1.0
Bihar,Madhepura,1.2506249999999999,0.81,4.43
Bihar,Madhubani,1.2111764705882355,0.8,4.48
Bihar,Munger,1.1053333333333333,0.82,4.35
Bihar,Muzaffarpur,1.687142857142857,0.67,4.76
Bihar,Nalanda,1.3709090909090909,1.0,3.85
Bihar,Nawada,1.1821052631578945,0.81,4.46
Bihar,Pashchim Champaran,1.0,1.0,1.0
Bihar,Patna,0.9342857142857143,0.67,2.78
Bihar,Purbi Champaran,8.32625,1.0,55.55
Bihar,Rohtas,0.7024999999999999,0.62,1.0
Bihar,Saharsa,1.1873684210526314,0.81,4.44
Bihar,Samastipur,1.0337500000000002,0.8,4.63
Bihar,Saran,1.2794117647058822,0.8,5.56
Bihar,Sheikhpura,0.8400000000000001,0.75,1.0
Bihar,Sheohar,0.71,0.71,0.75
Bihar,Sitamarhi,1.69375,0.8049999999999999,4.44
Bihar,Siwan,1.1436842105263152,0.81,4.2
Bihar,Supaul,1.2254545454545456,0.8,5.55
Bihar,Vaishali,2.3,2.35,3.7
Chhattisgarh,Balod,1.2,1.2,2.0
Chhattisgarh,Baloda Bazar,1.2442857142857142,0.44,6.0
Chhattisgarh,Balrampur,0.645,0.61,1.81
Chhattisgarh,Bastar,0.47142857142857153,0.39,2.39
Chhattisgarh,Bemetara,0.29000000000000004,0.29000000000000004,0.33
Chhattisgarh,Bijapur,0.465,0.355,1.5
Chhattisgarh,Bilaspur,0.428421052631579,0.34,1.93
Chhattisgarh,Dantewada,0.398,0.33,1.47
Chhattisgarh,Dhamtari,0.8307692307692308,0.33,6.0
Chhattisgarh,Durg,0.3423529411764705,0.35,0.5
Chhattisgarh,Gariyaband,0.7471428571428571,0.6,1.95
Chhattisgarh,Gaurella Pendra Marwahi,1.0,1.0,1.0
Chhattisgarh,Janjgir-Champa,0.46749999999999997,0.375,2.07
Chhattisgarh,Jashpur,0.45565217391304336,0.36,2.0
Chhattisgarh,Kabirdham,0.2866666666666667,0.33,0.33
Chhattisgarh,Kanker,0.44636363636363635,0.405,1.44
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.56,0.56,0.56
Chhattisgarh,Kondagaon,0.7627272727272726,0.67,2.39
Chhattisgarh,Korba,0.4235294117647059,0.33,1.65
