State,District,Mean,Median,Max
Andhra Pradesh,Alluri Sitharama Raju,0.5,0.5,0.5
Andhra Pradesh,Anantapur,0.6213636363636363,0.605,2.0
Andhra Pradesh,Annamayya,0.61,0.61,0.61
Andhra Pradesh,Bapatla,1.75,1.75,1.75
Andhra Pradesh,Chittoor,0.37666666666666665,0.34,0.75
Andhra Pradesh,East Godavari,0.5395238095238095,0.51,1.0
Andhra Pradesh,Guntur,0.863076923076923,0.8,1.61
Andhra Pradesh,Kurnool,0.8813043478260869,0.88,1.7
Andhra Pradesh,Nandyal,1.09,1.09,1.09
Andhra Pradesh,Palnadu,2.37,2.37,2.37
Andhra Pradesh,Parvathipuram Manyam,0.6,0.6,0.6
Andhra Pradesh,Prakasam,0.9095652173913042,0.9,1.31
Andhra Pradesh,Spsr Nellore,0.9228571428571427,0.93,1.17
Andhra Pradesh,Sri Sathya Sai,0.25,0.25,0.25
Andhra Pradesh,Srikakulam,0.76,0.715,1.09
Andhra Pradesh,Tirupati,1.0,1.0,1.0
Andhra Pradesh,Visakhapatanam,0.48818181818181833,0.44,1.01
Andhra Pradesh,Vizianagaram,0.661818181818182,0.685,0.86
Andhra Pradesh,West Godavari,0.4325,0.425,0.53
Andhra Pradesh,Y.s.r.,0.7809090909090911,0.745,1.25
Arunachal Pradesh,Anjaw,0.9766666666666668,0.915,1.18
Arunachal Pradesh,Changlang,0.7622727272727271,0.8,1.0
Arunachal Pradesh,Dibang Valley,0.9227272727272727,1.005,1.17
Arunachal Pradesh,East Kameng,1.040909090909091,1.0550000000000002,1.19
Arunachal Pradesh,East Siang,1.184090909090909,1.19,1.35
Arunachal Pradesh,Kamle,1.6975,1.7,1.7
Arunachal Pradesh,Kra Daadi,0.965714285714286,0.95,1.05
Arunachal Pradesh,Kurung Kumey,0.9575000000000001,1.0550000000000002,1.48
Arunachal Pradesh,Leparada,0.9066666666666667,0.9,0.93
Arunachal Pradesh,Lohit,0.8672727272727273,0.865,1.0
Arunachal Pradesh,Longding,1.1755555555555555,1.17,1.2
Arunachal Pradesh,Lower Dibang Valley,0.7979999999999998,0.78,0.89
Arunachal Pradesh,Lower Siang,0.955,0.955,0.96
Arunachal Pradesh,Lower Subansiri,1.0259090909090909,1.04,1.44
Arunachal Pradesh,Namsai,0.9828571428571429,0.98,1.05
Arunachal Pradesh,Pakke Kessang,1.0733333333333335,1.08,1.08
Arunachal Pradesh,Papum Pare,1.2645454545454546,1.275,1.43
Arunachal Pradesh,Shi Yomi,0.9400000000000001,0.87,1.11
Arunachal Pradesh,Siang,1.06,1.06,1.08
Arunachal Pradesh,Tawang,1.1745454545454546,1.185,1.31
Arunachal Pradesh,Tirap,0.7931818181818181,0.815,1.2
Arunachal Pradesh,Upper Siang,0.8286363636363636,0.895,1.0
Arunachal Pradesh,Upper Subansiri,1.1977272727272728,1.27,1.41
Arunachal Pradesh,West Kameng,0.9795454545454546,0.97,1.07
Arunachal Pradesh,West Siang,0.8490909090909091,0.84,0.98
Assam,Baksa,0.5950000000000001,0.525,1.11
Assam,Barpeta,0.5517391304347825,0.52,0.71
Assam,Biswanath,0.6633333333333333,0.69,0.74
Assam,Bongaigaon,0.51,0.49,0.58
Assam,Cachar,0.5356521739130434,0.5,0.81
Assam,Chirang,0.6683333333333334,0.565,1.57
Assam,Darrang,0.7009090909090909,0.675,0.97
Assam,Dhemaji,0.6626086956521738,0.68,1.0
Assam,Dhubri,0.7113043478260871,0.57,1.42
Assam,Dibrugarh,0.5308333333333334,0.48,1.0
Assam,Dima Hasao,0.49538461538461537,0.5,0.5
Assam,Goalpara,0.5921739130434782,0.42,2.15
Assam,Golaghat,0.4730434782608695,0.47,0.6
Assam,Hailakandi,0.5918181818181818,0.6,0.67
Assam,Hojai,0.75,0.65,1.2
Assam,Jorhat,0.7855555555555556,0.405,6.5
Assam,Kamrup,0.5043478260869564,0.48,0.78
Assam,Kamrup Metro,0.4999999999999999,0.485,0.59
Assam,Karbi Anglong,0.4963636363636363,0.36,0.85
Assam,Karimganj,0.5838888888888889,0.5,1.0
Assam,Kokrajhar,0.6169565217391305,0.57,1.14
Assam,Lakhimpur,0.5608695652173912,0.55,0.83
Assam,Majuli,0.7999999999999999,0.5,1.45
Assam,Marigaon,0.48956521739130426,0.44,1.2
Assam,Nagaon,0.45130434782608697,0.43,0.65
Assam,Nalbari,0.4891304347826086,0.46,0.62
Assam,Sivasagar,0.6300000000000001,0.6,1.0
Assam,Sonitpur,0.577391304347826,0.49,1.69
Assam,South Salmara Mancachar,0.9,0.9,0.9
Assam,Tinsukia,0.5334782608695653,0.5,0.78
Assam,Udalguri,0.6433333333333332,0.615,0.84
Assam,West Karbi Anglong,0.85,0.85,0.85
Bihar,Araria,0.7275,0.745,0.8
Bihar,Arwal,1.0,1.0,1.0
Bihar,Aurangabad,0.819,0.775,1.0
Bihar,Banka,0.796,0.75,1.0
Bihar,Begusarai,0.75,0.77,0.82
Bihar,Bhagalpur,0.7481818181818182,0.75,0.82
Bihar,Bhojpur,0.7782352941176471,0.76,1.0
Bihar,Buxar,0.755,0.75,1.0
Bihar,Darbhanga,0.8000000000000002,0.8,0.86
Bihar,Gaya,0.7407692307692307,0.74,1.0
Bihar,Gopalganj,0.77,0.78,0.86
Bihar,Jehanabad,0.75,0.75,0.75
Bihar,Kaimur (Bhabua),0.745,0.74,0.83
Bihar,Katihar,0.771904761904762,0.77,1.0
Bihar,Khagaria,0.7272727272727273,0.75,0.83
Bihar,Kishanganj,0.7833333333333332,0.74,1.0
Bihar,Lakhisarai,1.0,1.0,1.0
Bihar,Madhepura,0.7552631578947369,0.76,0.78
Bihar,Madhubani,0.8288888888888889,0.78,1.0
