State,District,Mean,Median,Max
Andhra Pradesh,Anantapur,1.0666666666666667,1.085,1.84
Andhra Pradesh,Annamayya,2.0,2.0,2.0
Andhra Pradesh,Bapatla,1.84,1.84,1.84
Andhra Pradesh,Chittoor,1.73,1.73,1.82
Andhra Pradesh,East Godavari,1.2750000000000001,1.195,2.27
Andhra Pradesh,Guntur,1.524,1.6,2.91
Andhra Pradesh,Krishna,0.56,0.56,0.56
Andhra Pradesh,Kurnool,1.5,1.61,1.96
Andhra Pradesh,Nandyal,1.84,1.84,1.84
Andhra Pradesh,Palnadu,1.84,1.84,1.84
Andhra Pradesh,Prakasam,1.6,1.62,2.29
Andhra Pradesh,Spsr Nellore,1.7766666666666666,1.8,1.86
Andhra Pradesh,Sri Sathya Sai,1.85,1.85,1.85
Andhra Pradesh,Vizianagaram,2.0,2.0,2.0
Andhra Pradesh,Y.s.r.,1.3771428571428572,1.56,2.0
Arunachal Pradesh,Anjaw,1.4014285714285712,1.43,2.25
Arunachal Pradesh,Changlang,2.27,2.9,2.98
Arunachal Pradesh,Dibang Valley,0.8057142857142858,0.73,1.23
Arunachal Pradesh,East Kameng,1.2214285714285715,1.05,1.64
Arunachal Pradesh,East Siang,1.197142857142857,1.04,1.56
Arunachal Pradesh,Kamle,0.9420000000000002,0.91,1.44
Arunachal Pradesh,Kra Daadi,1.9371428571428573,0.71,9.5
Arunachal Pradesh,Kurung Kumey,1.8585714285714285,1.23,2.91
Arunachal Pradesh,Leparada,1.645,1.6800000000000002,2.0
Arunachal Pradesh,Lohit,0.55,0.19,1.48
Arunachal Pradesh,Longding,1.3171428571428574,1.53,1.53
Arunachal Pradesh,Lower Dibang Valley,1.282857142857143,1.38,1.43
Arunachal Pradesh,Lower Siang,1.9400000000000002,2.37,2.41
Arunachal Pradesh,Lower Subansiri,1.4257142857142857,1.21,3.09
Arunachal Pradesh,Namsai,2.0042857142857144,2.17,2.17
Arunachal Pradesh,Pakke Kessang,1.2600000000000002,1.1400000000000001,1.73
Arunachal Pradesh,Papum Pare,0.9571428571428573,0.94,1.15
Arunachal Pradesh,Shi Yomi,1.0925,1.0699999999999998,1.33
Arunachal Pradesh,Siang,3.878571428571429,5.37,5.5
Arunachal Pradesh,Tawang,1.5299999999999998,1.51,1.78
Arunachal Pradesh,Tirap,1.5871428571428574,1.48,2.69
Arunachal Pradesh,Upper Siang,1.3450000000000002,1.3450000000000002,1.36
Arunachal Pradesh,Upper Subansiri,0.9528571428571428,0.65,2.11
Arunachal Pradesh,West Kameng,1.162857142857143,1.04,1.62
Arunachal Pradesh,West Siang,1.5042857142857144,1.44,2.62
Bihar,Begusarai,0.7225,0.76,0.91
Bihar,Khagaria,0.6074999999999999,0.575,1.05
Bihar,Lakhisarai,0.6666666666666666,0.75,0.78
Bihar,Samastipur,1.1350000000000002,0.825,2.43
