State,District,Mean,Median,Max
A & N Islands,Nicobars,5.380625,2.81,33.95
A & N Islands,North And Middle Andaman,14.099375000000002,13.21,29.37
A & N Islands,South Andamans,21.320555555555554,18.9,47.26
Andhra Pradesh,Alluri Sitharama Raju,71.02,71.02,71.02
Andhra Pradesh,Anakapalli,58.82,58.82,58.82
Andhra Pradesh,Anantapur,90.09809523809524,90.8,104.43
Andhra Pradesh,Annamayya,98.85,98.85,98.85
Andhra Pradesh,Bapatla,79.0,79.0,79.0
Andhra Pradesh,Chittoor,87.00260869565217,87.85,96.68
Andhra Pradesh,East Godavari,85.79782608695653,85.83,93.54
Andhra Pradesh,Eluru,96.02,96.02,96.02
Andhra Pradesh,Guntur,86.90863636363636,88.37,106.59
Andhra Pradesh,Kakinada,89.05,89.05,89.05
Andhra Pradesh,Krishna,94.95304347826087,94.63,109.22
Andhra Pradesh,Kurnool,93.43130434782609,93.8,130.81
Andhra Pradesh,Nandyal,96.94,96.94,96.94
Andhra Pradesh,Ntr,72.03,72.03,72.03
Andhra Pradesh,Palnadu,68.33,68.33,68.33
Andhra Pradesh,Parvathipuram Manyam,74.84,74.84,74.84
Andhra Pradesh,Prakasam,74.82863636363635,76.16499999999999,82.0
Andhra Pradesh,Spsr Nellore,92.60454545454546,95.35,114.44
Andhra Pradesh,Sri Sathya Sai,92.67,92.67,92.67
Andhra Pradesh,Srikakulam,73.7991304347826,72.87,90.22
Andhra Pradesh,Tirupati,90.48,90.48,90.48
Andhra Pradesh,Visakhapatanam,56.318260869565215,57.23,67.75
Andhra Pradesh,Vizianagaram,61.16999999999998,62.87,77.85
Andhra Pradesh,West Godavari,92.34695652173912,92.57,106.84
Andhra Pradesh,Y.s.r.,82.01590909090909,81.695,97.8
Arunachal Pradesh,Anjaw,6.266666666666667,5.715,10.0
Arunachal Pradesh,Changlang,11.415909090909093,13.01,16.0
Arunachal Pradesh,Dibang Valley,15.839999999999998,20.0,21.0
Arunachal Pradesh,East Kameng,7.48,7.48,7.48
Arunachal Pradesh,East Siang,36.96130434782608,39.25,46.73
Arunachal Pradesh,Kamle,29.676,29.72,29.72
Arunachal Pradesh,Kra Daadi,12.05375,12.54,12.68
Arunachal Pradesh,Kurung Kumey,14.43,13.405000000000001,29.56
Arunachal Pradesh,Leparada,28.16,28.16,28.16
Arunachal Pradesh,Lohit,14.77772727272727,10.5,25.73
Arunachal Pradesh,Lower Dibang Valley,14.736500000000001,17.645,20.43
Arunachal Pradesh,Lower Siang,36.462,36.5,36.5
Arunachal Pradesh,Lower Subansiri,22.073478260869564,28.41,30.56
Arunachal Pradesh,Namsai,24.9525,25.495,25.69
Arunachal Pradesh,Papum Pare,19.28227272727273,18.735,39.59
Arunachal Pradesh,Shi Yomi,22.29,22.29,22.29
Arunachal Pradesh,Siang,17.84125,18.17,18.26
Arunachal Pradesh,Tirap,15.168333333333335,12.775,25.05
Arunachal Pradesh,Upper Siang,13.776666666666666,13.805,37.54
Arunachal Pradesh,Upper Subansiri,25.12809523809524,27.16,32.43
Arunachal Pradesh,West Siang,25.949565217391307,28.65,32.05
Assam,Baksa,29.09,29.205,39.64
Assam,Barpeta,37.72260869565218,37.19,44.56
Assam,Biswanath,33.45333333333333,33.66,33.74
Assam,Bongaigaon,37.722173913043484,37.19,44.57
Assam,Cachar,36.80086956521738,37.05,44.56
Assam,Charaideo,39.79,38.96,44.57
Assam,Chirang,37.8638888888889,37.295,44.56
Assam,Darrang,38.28217391304347,39.91,45.92
Assam,Dhemaji,37.72304347826088,37.19,44.56
Assam,Dhubri,37.722173913043484,37.19,44.57
Assam,Dibrugarh,37.746956521739136,37.18,44.56
Assam,Dima Hasao,37.03391304347826,33.91,53.32
Assam,Goalpara,38.190000000000005,37.23,47.67
Assam,Golaghat,34.5295652173913,35.06,50.3
Assam,Hailakandi,36.11391304347826,37.06,47.45
Assam,Hojai,34.85,43.25,43.87
Assam,Jorhat,32.94608695652174,32.94,44.55
Assam,Kamrup,40.24043478260869,39.55,79.98
Assam,Kamrup Metro,39.638333333333335,37.745,55.03
Assam,Karbi Anglong,40.25739130434783,40.22,47.22
Assam,Karimganj,35.51260869565217,35.74,48.21
Assam,Kokrajhar,37.72130434782609,37.19,44.57
Assam,Lakhimpur,42.27869565217391,41.01,61.53
Assam,Majuli,34.733333333333334,34.78,38.97
Assam,Marigaon,37.79391304347826,37.64,52.08
Assam,Nagaon,35.785652173913036,35.18,50.92
Assam,Nalbari,36.81695652173913,37.68,44.56
Assam,Sivasagar,37.72347826086957,37.19,44.56
Assam,Sonitpur,38.00217391304348,38.4,45.45
Assam,South Salmara Mancachar,39.79666666666667,38.95,44.58
Assam,Tinsukia,37.45652173913044,37.19,44.56
Assam,Udalguri,38.67388888888889,38.375,46.27
Assam,West Karbi Anglong,46.55333333333334,46.08,50.45
Bihar,Araria,42.13333333333333,40.445,50.18
Bihar,Arwal,60.90500000000001,51.785,122.5
Bihar,Aurangabad,58.0755,47.375,122.5
Bihar,Banka,56.24142857142857,56.74,88.42
Bihar,Begusarai,52.48047619047619,56.9,90.23
Bihar,Bhagalpur,52.577619047619045,49.93,98.58
Bihar,Bhojpur,48.2205,46.065,69.0
Bihar,Buxar,47.3595238095238,49.3,73.66
Bihar,Darbhanga,40.9947619047619,43.45,59.28
Bihar,Gaya,51.72941176470588,46.07,109.07
Bihar,Gopalganj,50.67952380952381,49.46,75.13
Bihar,Jamui,47.36149999999999,48.375,67.61
Bihar,Jehanabad,57.69529411764706,45.01,122.53
Bihar,Kaimur (Bhabua),45.773333333333326,43.55,68.96
Bihar,Katihar,47.04625,45.045,58.61
Bihar,Khagaria,53.03176470588235,53.57,99.85
Bihar,Kishanganj,52.649411764705874,54.56,67.02
Bihar,Lakhisarai,84.22,84.22,84.22
Bihar,Madhepura,51.64399999999999,49.105000000000004,85.46
Bihar,Madhubani,45.5342857142857,43.17,107.04
Bihar,Munger,62.384615384615394,61.54,85.6
Bihar,Muzaffarpur,39.68952380952381,37.98,77.76
Bihar,Nalanda,47.695,47.144999999999996,73.63
Bihar,Nawada,55.863,48.875,113.26
Bihar,Pashchim Champaran,52.74952380952381,49.06,109.61
Bihar,Patna,48.70761904761904,50.78,73.63
Bihar,Purbi Champaran,47.42380952380953,43.32,129.23
Bihar,Purnia,53.347500000000004,50.845,94.45
Bihar,Rohtas,39.4825,39.67,66.05
Bihar,Saharsa,53.02809523809525,50.17,89.84
Bihar,Samastipur,46.033809523809516,44.8,105.37
Bihar,Saran,50.556000000000004,51.095,80.76
Bihar,Sheikhpura,48.788095238095245,53.57,74.75
Bihar,Sheohar,59.202857142857155,53.67,116.53
Bihar,Sitamarhi,50.969523809523814,53.62,82.37
Bihar,Siwan,50.20761904761904,46.54,127.99
Bihar,Supaul,61.254,60.0,85.1
Bihar,Vaishali,48.87349999999999,46.965,77.76
Chhattisgarh,Balod,6.200833333333333,2.585,27.43
Chhattisgarh,Baloda Bazar,2.6510000000000002,2.725,7.68
Chhattisgarh,Balrampur,8.345833333333333,3.08,47.91
Chhattisgarh,Bastar,4.503043478260869,3.24,19.93
Chhattisgarh,Bemetara,7.970833333333334,4.655,28.79
Chhattisgarh,Bijapur,3.4,4.0,4.0
Chhattisgarh,Bilaspur,5.175652173913043,3.08,35.58
Chhattisgarh,Dantewada,2.8649999999999998,2.8099999999999996,3.8
Chhattisgarh,Dhamtari,5.185454545454546,3.1,20.5
Chhattisgarh,Durg,3.7330434782608704,2.03,16.63
Chhattisgarh,Gariyaband,7.054545454545454,3.36,29.26
Chhattisgarh,Gaurella Pendra Marwahi,7.5,7.5,7.5
Chhattisgarh,Janjgir-Champa,4.737826086956522,3.18,25.0
Chhattisgarh,Jashpur,5.056956521739131,2.94,30.32
Chhattisgarh,Kabirdham,4.438260869565218,2.15,23.77
Chhattisgarh,Kanker,3.7214285714285715,2.835,11.43
Chhattisgarh,Khairgarh Chhuikhadan Gandai,2.53,2.53,2.53
Chhattisgarh,Kondagaon,18.7075,2.9299999999999997,180.0
Chhattisgarh,Korba,2.890909090909091,3.0,3.33
Chhattisgarh,Korea,3.125,3.0,3.5
Chhattisgarh,Mahasamund,4.115652173913043,2.9,17.5
Chhattisgarh,Mungeli,6.150000000000001,3.335,32.02
Chhattisgarh,Narayanpur,32.42,2.665,420.0
Chhattisgarh,Raigarh,3.0463157894736845,2.96,5.7
Chhattisgarh,Raipur,4.624999999999999,2.77,22.87
Chhattisgarh,Rajnandgaon,4.307391304347826,2.0,29.81
Chhattisgarh,Sakti,2.5,2.5,2.5
Chhattisgarh,Sarangarh Bilaigarh,3.0,3.0,3.0
Chhattisgarh,Sukma,5.366,3.33,9.0
Chhattisgarh,Surajpur,6.500833333333335,3.37,25.51
Chhattisgarh,Surguja,4.873913043478261,3.13,24.48
DNHDD,Dadra And Nagar Haveli,79.76733333333333,80.0,95.0
Delhi,Central,75.33,75.33,75.33
Goa,North Goa,50.89684210526317,52.21,74.98
Goa,South Goa,54.94052631578948,54.36,66.44
Gujarat,Ahmadabad,64.27999999999999,70.0,90.0
Gujarat,Amreli,69.88578947368421,70.51,90.0
Gujarat,Anand,71.88,71.88,71.88
Gujarat,Banas Kantha,30.0,30.0,30.0
Gujarat,Bharuch,66.14217391304346,70.0,74.82
Gujarat,Bhavnagar,65.39399999999999,70.0,85.0
Gujarat,Botad,67.48,67.795,71.88
Gujarat,Dang,65.11153846153846,65.65,110.0
Gujarat,Gir Somnath,76.25800000000001,71.5,94.93
Gujarat,Jamnagar,70.33,70.18,93.33
Gujarat,Junagadh,74.99,72.37,103.04
Gujarat,Kachchh,63.73,70.0,90.0
Gujarat,Kheda,51.36600000000001,69.0,80.0
Gujarat,Mahisagar,65.475,65.475,68.9
Gujarat,Morbi,75.55499999999999,77.86500000000001,85.0
Gujarat,Narmada,69.079,71.64500000000001,79.84
Gujarat,Navsari,64.2785,67.455,74.69
Gujarat,Panch Mahals,59.145,62.725,90.0
Gujarat,Rajkot,74.032,71.115,100.0
Gujarat,Sabar Kantha,75.0,70.0,85.0
Gujarat,Surat,71.98,74.42,90.0
Gujarat,Surendranagar,65.9042857142857,70.0,73.33
Gujarat,Tapi,61.82333333333334,58.83,85.23
Gujarat,Vadodara,61.17130434782609,65.7,76.0
Gujarat,Valsad,61.54869565217391,67.0,74.0
Haryana,Ambala,63.648181818181826,67.59,81.2
Haryana,Bhiwani,58.44727272727273,63.525,91.31
Haryana,Charki Dadri,86.04400000000001,86.18,94.92
Haryana,Faridabad,58.835,57.845,110.78
Haryana,Fatehabad,72.69357142857143,74.37,100.93
Haryana,Gurugram,78.0,78.0,78.0
Haryana,Hisar,58.56727272727273,63.084999999999994,88.0
Haryana,Jhajjar,60.28045454545454,67.05000000000001,88.5
Haryana,Jind,62.82818181818182,66.285,91.8
Haryana,Kaithal,69.08409090909092,74.11500000000001,106.65
Haryana,Karnal,71.71136363636363,74.6,104.88
Haryana,Kurukshetra,70.10363636363637,75.27000000000001,92.43
Haryana,Nuh,71.79083333333332,79.125,86.19
Haryana,Palwal,50.315714285714286,52.275,79.7
Haryana,Panchkula,76.07705882352941,78.2,113.68
Haryana,Panipat,70.02636363636363,77.11500000000001,95.46
Haryana,Rewari,86.0,86.0,86.0
Haryana,Rohtak,56.67318181818182,61.345,76.27
Haryana,Sirsa,72.8125,79.0,86.09
Haryana,Sonipat,67.61727272727272,72.525,94.98
Haryana,Yamunanagar,59.878181818181815,67.74000000000001,83.67
Himachal Pradesh,Bilaspur,9.410952380952383,9.0,27.78
Himachal Pradesh,Hamirpur,7.383809523809524,9.11,27.52
Himachal Pradesh,Kangra,10.637142857142853,12.17,25.33
Himachal Pradesh,Mandi,1.42,1.0,4.0
Himachal Pradesh,Shimla,15.648000000000001,17.0,28.04
Himachal Pradesh,Sirmaur,20.438095238095244,22.79,31.11
Himachal Pradesh,Solan,13.980476190476187,15.6,25.8
Himachal Pradesh,Una,16.014761904761908,16.49,29.51
Jammu & Kashmir,Jammu,4.447,5.970000000000001,6.04
Jammu & Kashmir,Kathua,1.338888888888889,1.3,1.5
Jammu & Kashmir,Kishtwar,1.5,1.5,1.5
Jammu & Kashmir,Rajouri,1.395,1.415,1.5
Jammu & Kashmir,Samba,2.142857142857143,1.5,6.0
Jammu & Kashmir,Udhampur,1.7512500000000002,1.82,1.87
