State,District,Mean,Median,Max
Andhra Pradesh,Alluri Sitharama Raju,2.38,2.38,2.38
Andhra Pradesh,Anakapalli,2.07,2.07,2.07
Andhra Pradesh,Anantapur,1.5535,1.605,2.25
Andhra Pradesh,Bapatla,2.61,2.61,2.61
Andhra Pradesh,Chittoor,1.5435714285714286,1.605,3.0
Andhra Pradesh,East Godavari,2.718260869565217,2.8,4.56
Andhra Pradesh,Eluru,2.24,2.24,2.24
Andhra Pradesh,Guntur,2.562272727272728,2.52,3.99
Andhra Pradesh,Kakinada,1.93,1.93,1.93
Andhra Pradesh,Konaseema,2.59,2.59,2.59
Andhra Pradesh,Krishna,3.633478260869565,2.77,6.24
Andhra Pradesh,Kurnool,1.6073913043478263,1.54,3.03
Andhra Pradesh,Nandyal,1.96,1.96,1.96
Andhra Pradesh,Ntr,2.58,2.58,2.58
Andhra Pradesh,Palnadu,2.57,2.57,2.57
Andhra Pradesh,Parvathipuram Manyam,2.59,2.59,2.59
Andhra Pradesh,Prakasam,1.6660869565217395,1.67,2.33
Andhra Pradesh,Spsr Nellore,1.3217391304347823,1.19,2.44
Andhra Pradesh,Sri Sathya Sai,1.85,1.85,1.85
Andhra Pradesh,Srikakulam,2.564166666666667,2.4050000000000002,3.5
Andhra Pradesh,Visakhapatanam,2.606190476190476,2.75,3.5
Andhra Pradesh,Vizianagaram,2.0431818181818184,2.13,3.01
Andhra Pradesh,West Godavari,2.055,1.9249999999999998,3.18
Andhra Pradesh,Y.s.r.,1.6523809523809525,1.59,3.24
Assam,Baksa,0.36333333333333334,0.4,0.5
Assam,Barpeta,0.7368421052631579,0.71,1.0
Assam,Biswanath,0.47,0.47,0.5
Assam,Bongaigaon,0.5514285714285715,0.525,1.0
Assam,Cachar,0.662608695652174,0.67,1.0
Assam,Chirang,0.5266666666666667,0.51,0.78
Assam,Darrang,0.7011111111111111,0.61,1.0
Assam,Dhemaji,0.6578947368421053,0.62,1.0
Assam,Dhubri,0.8600000000000001,0.83,1.0
Assam,Dibrugarh,0.5283333333333333,0.5,0.67
Assam,Dima Hasao,0.6717391304347826,0.78,0.79
Assam,Goalpara,0.4623529411764706,0.47,0.55
Assam,Golaghat,0.715625,0.69,1.0
Assam,Hailakandi,1.0,1.0,1.0
Assam,Jorhat,0.7114285714285714,0.63,1.0
Assam,Kamrup,0.593125,0.5,1.0
Assam,Kamrup Metro,0.72875,0.75,1.0
Assam,Karbi Anglong,0.4791304347826087,0.41,0.96
Assam,Karimganj,0.5257142857142857,0.5,0.63
Assam,Kokrajhar,0.5078260869565218,0.5,0.75
Assam,Lakhimpur,0.6252173913043478,0.61,1.0
Assam,Majuli,0.5,0.5,0.5
Assam,Marigaon,0.2629411764705883,0.17,1.0
Assam,Nagaon,0.47875,0.475,0.67
Assam,Nalbari,0.7176470588235294,1.0,1.0
Assam,Sivasagar,0.5854545454545454,0.5,1.0
Assam,Sonitpur,0.6236842105263157,0.64,0.78
Assam,Tinsukia,0.7,0.5,1.0
Assam,Udalguri,0.6833333333333332,0.55,1.0
Assam,West Karbi Anglong,0.835,0.835,1.0
Bihar,Araria,1.5699999999999998,1.5699999999999998,1.89
Bihar,Begusarai,1.5561538461538464,1.71,2.0
Bihar,Bhagalpur,1.6038095238095242,1.75,1.92
Bihar,Darbhanga,1.1849999999999998,1.1,1.77
Bihar,Gopalganj,1.6019047619047622,1.76,1.9
Bihar,Jamui,1.25,1.25,1.25
Bihar,Jehanabad,1.625,1.625,2.0
Bihar,Kaimur (Bhabua),1.19,1.19,1.19
Bihar,Katihar,1.5006666666666666,1.73,1.9
Bihar,Khagaria,2.0,2.0,2.0
Bihar,Kishanganj,1.611666666666667,1.76,1.9
Bihar,Madhepura,1.75,1.75,1.75
Bihar,Madhubani,1.1480000000000001,1.14,1.25
Bihar,Munger,1.8666666666666665,1.8,2.0
Bihar,Muzaffarpur,1.6295238095238098,1.76,2.29
Bihar,Purbi Champaran,1.5466666666666666,1.17,2.33
Bihar,Purnia,1.3975,1.185,1.88
Bihar,Samastipur,1.5733333333333337,1.75,1.9
