State,District,Mean,Median,Max
Andhra Pradesh,Anantapur,0.7672222222222222,0.6599999999999999,1.52
Andhra Pradesh,Chittoor,0.635,0.44499999999999995,1.4
Andhra Pradesh,Guntur,1.3233333333333333,1.3,1.67
Andhra Pradesh,Kurnool,0.8385714285714285,0.69,2.31
Andhra Pradesh,Palnadu,1.2,1.2,1.2
Andhra Pradesh,Prakasam,1.1966666666666665,0.92,2.0
Andhra Pradesh,Vizianagaram,1.0,1.0,1.0
Andhra Pradesh,West Godavari,1.1,1.1,1.5
Andhra Pradesh,Y.s.r.,0.9144444444444445,0.73,2.0
Arunachal Pradesh,Anjaw,1.707,1.6,2.15
Arunachal Pradesh,Changlang,1.9773913043478253,2.05,2.3
Arunachal Pradesh,Dibang Valley,1.5699999999999998,1.5699999999999998,1.67
Arunachal Pradesh,East Kameng,2.1508695652173917,2.3,3.27
Arunachal Pradesh,East Siang,2.2327272727272724,2.1,3.47
Arunachal Pradesh,Kurung Kumey,1.07,1.07,1.07
Arunachal Pradesh,Lohit,1.853043478260869,1.79,2.13
Arunachal Pradesh,Lower Dibang Valley,1.7280952380952384,1.55,2.02
Arunachal Pradesh,Lower Siang,2.6319999999999997,2.65,2.65
Arunachal Pradesh,Lower Subansiri,1.3333333333333333,1.21,2.0
Arunachal Pradesh,Namsai,2.09375,2.09,2.1
Arunachal Pradesh,Pakke Kessang,2.355,2.36,2.36
Arunachal Pradesh,Papum Pare,2.0386956521739132,1.9,2.57
Arunachal Pradesh,Tawang,1.6043478260869568,1.55,1.78
Arunachal Pradesh,Tirap,1.7043749999999998,1.58,3.37
Arunachal Pradesh,Upper Siang,1.7,1.7,1.7
Arunachal Pradesh,Upper Subansiri,1.2037499999999999,1.17,1.5
Arunachal Pradesh,West Kameng,1.3565217391304352,1.19,1.7
Arunachal Pradesh,West Siang,1.2883333333333333,1.255,1.47
Assam,Baksa,1.4699999999999998,1.47,2.14
Assam,Barpeta,1.2178260869565218,1.27,1.52
Assam,Biswanath,1.2166666666666668,1.26,1.3
Assam,Bongaigaon,1.1904347826086954,1.23,1.44
Assam,Cachar,1.2165217391304348,1.22,1.41
Assam,Charaideo,1.28,1.28,1.28
Assam,Chirang,1.3383333333333334,1.355,1.7
Assam,Darrang,1.2256521739130437,1.21,1.79
Assam,Dhemaji,0.841304347826087,0.99,1.37
Assam,Dhubri,1.2926086956521738,1.33,1.65
Assam,Dibrugarh,1.178095238095238,1.25,1.5
Assam,Dima Hasao,1.1507692307692308,1.13,1.28
Assam,Goalpara,1.4452173913043476,1.43,1.97
Assam,Golaghat,0.9939130434782608,0.95,1.4
Assam,Hailakandi,1.1472727272727274,1.2,1.27
Assam,Hojai,1.39,1.38,1.54
Assam,Jorhat,1.228695652173913,1.26,1.5
Assam,Kamrup,1.163478260869565,1.14,1.85
Assam,Kamrup Metro,1.2577777777777777,1.2349999999999999,1.94
Assam,Karbi Anglong,1.3918181818181818,1.3849999999999998,1.75
Assam,Karimganj,1.2394444444444441,1.23,1.4
Assam,Kokrajhar,1.5352173913043476,1.38,2.71
Assam,Lakhimpur,0.9634782608695651,0.92,1.43
Assam,Majuli,1.3333333333333333,1.5,1.5
Assam,Marigaon,1.09,1.13,1.46
Assam,Nagaon,1.0160869565217392,1.02,1.3
Assam,Nalbari,1.1447826086956523,1.15,1.71
Assam,Sivasagar,1.1778260869565216,1.2,1.5
Assam,Sonitpur,1.161304347826087,1.13,1.51
Assam,South Salmara Mancachar,1.4133333333333333,1.38,1.48
Assam,Tinsukia,1.227391304347826,1.25,1.43
Assam,Udalguri,1.1177777777777778,1.12,1.49
Assam,West Karbi Anglong,0.9699999999999999,0.84,1.38
Bihar,Araria,2.036086956521739,2.29,3.73
Bihar,Arwal,2.2589473684210524,2.33,2.78
Bihar,Aurangabad,2.0804347826086955,2.11,3.01
Bihar,Banka,2.1604347826086956,2.45,3.04
Bihar,Begusarai,2.6947826086956526,2.39,3.84
Bihar,Bhagalpur,2.365217391304348,2.43,3.38
Bihar,Bhojpur,2.7173913043478257,2.6,3.58
Bihar,Buxar,2.7778260869565217,2.85,3.59
Bihar,Darbhanga,2.2056521739130432,2.34,3.71
Bihar,Gaya,2.301739130434783,2.39,3.22
Bihar,Gopalganj,2.536086956521739,2.6,3.44
Bihar,Jamui,1.6473913043478259,1.51,2.73
Bihar,Jehanabad,2.5386956521739132,2.47,3.69
Bihar,Kaimur (Bhabua),2.460869565217391,2.36,3.46
Bihar,Katihar,2.2282608695652173,2.44,3.34
Bihar,Khagaria,2.4730434782608692,2.8,3.96
Bihar,Kishanganj,1.7191304347826086,1.59,2.85
Bihar,Lakhisarai,2.470869565217391,2.46,3.51
Bihar,Madhepura,2.463913043478261,2.47,3.8
Bihar,Madhubani,1.6908695652173917,1.91,2.37
Bihar,Munger,2.1852173913043473,2.17,3.29
Bihar,Muzaffarpur,2.317391304347826,2.2,4.05
Bihar,Nalanda,2.345652173913043,2.09,3.54
Bihar,Nawada,2.192608695652174,2.15,3.07
Bihar,Pashchim Champaran,2.525217391304348,2.53,4.9
Bihar,Patna,2.8382608695652167,2.65,3.66
Bihar,Purbi Champaran,2.1073913043478263,2.25,3.24
Bihar,Purnia,2.10695652173913,2.11,3.48
Bihar,Rohtas,2.7686956521739137,2.75,3.68
Bihar,Saharsa,2.1765217391304352,2.08,3.07
Bihar,Samastipur,2.7934782608695654,2.74,3.84
Bihar,Saran,2.69,2.54,3.62
Bihar,Sheikhpura,2.128260869565218,2.12,2.89
Bihar,Sheohar,2.2939130434782613,2.33,3.68
Bihar,Sitamarhi,2.3056521739130433,2.16,3.63
Bihar,Siwan,2.474782608695652,2.22,3.31
Bihar,Supaul,1.9469565217391305,1.85,2.82
Bihar,Vaishali,2.657391304347826,2.77,3.85
Chandigarh,Chandigarh,4.6256521739130445,4.58,5.0
Chhattisgarh,Balod,1.1075,1.08,1.83
Chhattisgarh,Baloda Bazar,1.7699999999999998,1.745,2.2
Chhattisgarh,Balrampur,1.6275000000000002,1.58,2.06
Chhattisgarh,Bastar,1.956956521739131,1.95,2.48
Chhattisgarh,Bemetara,1.1491666666666667,1.09,1.66
Chhattisgarh,Bijapur,1.5,1.5,2.0
Chhattisgarh,Bilaspur,1.2808695652173911,1.27,1.76
Chhattisgarh,Dantewada,1.6408695652173917,1.53,2.4
Chhattisgarh,Dhamtari,1.3617391304347826,1.41,2.08
Chhattisgarh,Durg,1.0195652173913043,1.02,1.48
Chhattisgarh,Gariyaband,1.7708333333333337,1.7149999999999999,2.16
Chhattisgarh,Gaurella Pendra Marwahi,1.58,1.615,1.87
Chhattisgarh,Janjgir-Champa,1.57,1.54,2.44
Chhattisgarh,Jashpur,1.4608695652173913,1.38,2.0
Chhattisgarh,Kabirdham,1.0021739130434784,0.98,1.62
Chhattisgarh,Kanker,1.6973913043478261,1.71,2.33
Chhattisgarh,Khairgarh Chhuikhadan Gandai,1.69,1.69,1.69
Chhattisgarh,Kondagaon,1.9758333333333338,1.955,2.4
Chhattisgarh,Korba,1.0178260869565217,1.02,1.42
Chhattisgarh,Korea,1.1517391304347824,1.2,1.61
Chhattisgarh,Mahasamund,1.5317391304347825,1.56,2.13
Chhattisgarh,Manendragarh Chirimiri Bharatpur,1.44,1.44,1.44
Chhattisgarh,Mohla Manpur Ambagarh Chouki,1.39,1.39,1.39
Chhattisgarh,Mungeli,1.4733333333333336,1.42,2.02
Chhattisgarh,Narayanpur,2.109375,2.065,3.25
Chhattisgarh,Raigarh,1.6447826086956518,1.62,2.17
Chhattisgarh,Raipur,1.5608695652173912,1.59,2.24
Chhattisgarh,Rajnandgaon,1.0234782608695652,1.01,1.64
Chhattisgarh,Sakti,2.02,2.02,2.02
Chhattisgarh,Sarangarh Bilaigarh,1.74,1.74,1.74
Chhattisgarh,Sukma,1.1666666666666667,1.0,1.5
Chhattisgarh,Surajpur,1.5366666666666664,1.51,1.92
Chhattisgarh,Surguja,1.456086956521739,1.36,2.36
DNHDD,Dadra And Nagar Haveli,2.0252631578947367,2.0,2.4
Delhi,Central,4.3575,4.35,4.45
Gujarat,Ahmadabad,2.0799999999999996,2.25,2.69
Gujarat,Amreli,3.337391304347826,3.35,4.05
Gujarat,Anand,2.6365000000000003,2.735,3.19
Gujarat,Arvalli,2.601111111111111,2.57,2.97
Gujarat,Banas Kantha,2.8143478260869568,2.91,3.14
Gujarat,Bharuch,1.7147826086956524,1.83,2.08
Gujarat,Bhavnagar,2.9156521739130437,2.96,3.5
Gujarat,Botad,3.427777777777778,3.45,4.19
Gujarat,Chhotaudepur,3.2877777777777775,3.29,3.56
Gujarat,Dang,2.6681818181818184,3.0,4.0
Gujarat,Devbhumi Dwarka,3.7622222222222224,4.03,4.49
Gujarat,Dohad,2.1425000000000005,2.09,3.11
Gujarat,Gandhinagar,3.2517391304347827,3.29,3.67
Gujarat,Gir Somnath,3.23,3.53,4.39
Gujarat,Jamnagar,3.2930434782608695,3.29,4.25
Gujarat,Junagadh,3.776086956521738,3.8,4.77
Gujarat,Kachchh,2.7908695652173914,2.79,3.29
Gujarat,Kheda,2.6873913043478264,2.67,3.35
Gujarat,Mahesana,2.981304347826087,2.97,3.47
Gujarat,Mahisagar,2.5722222222222224,2.68,3.02
Gujarat,Morbi,3.887777777777777,3.88,4.25
Gujarat,Narmada,2.7435,2.815,3.34
Gujarat,Navsari,2.9605,3.0,3.34
Gujarat,Panch Mahals,1.9704347826086954,1.97,3.15
Gujarat,Patan,2.821,2.78,3.41
Gujarat,Porbandar,3.136,3.14,3.86
Gujarat,Rajkot,3.6121739130434776,3.72,4.28
Gujarat,Sabar Kantha,2.7213043478260865,2.71,3.54
Gujarat,Surat,2.4573913043478264,2.54,3.05
Gujarat,Surendranagar,2.651304347826087,2.74,3.21
Gujarat,Tapi,2.758,2.82,3.3
Gujarat,Vadodara,2.5078260869565216,2.43,3.42
Gujarat,Valsad,2.766666666666667,2.635,3.5
Haryana,Ambala,4.086956521739131,3.98,5.06
Haryana,Bhiwani,3.7643478260869556,3.96,4.47
Haryana,Charki Dadri,4.41,4.345000000000001,5.0
Haryana,Faridabad,4.200000000000001,4.09,5.14
Haryana,Fatehabad,4.7752173913043485,4.68,5.46
Haryana,Gurugram,4.237826086956522,4.4,5.06
Haryana,Hisar,4.472608695652174,4.48,5.1
Haryana,Jhajjar,4.223478260869567,4.13,5.09
Haryana,Jind,4.506086956521739,4.48,5.24
Haryana,Kaithal,4.613478260869565,4.6,5.45
Haryana,Karnal,4.692173913043478,4.62,5.68
Haryana,Kurukshetra,4.604347826086956,4.65,5.44
Haryana,Mahendragarh,4.320869565217391,4.36,5.02
Haryana,Nuh,3.9961111111111114,4.15,4.6
Haryana,Palwal,4.475333333333333,4.55,5.09
Haryana,Panchkula,3.1230434782608696,2.94,4.3
Haryana,Panipat,4.65695652173913,4.61,5.56
Haryana,Rewari,4.4195652173913045,4.41,5.02
Haryana,Rohtak,4.110434782608695,3.98,5.0
Haryana,Sirsa,4.579565217391304,4.64,5.36
Haryana,Sonipat,4.515652173913042,4.53,5.51
Haryana,Yamunanagar,4.208695652173913,4.14,5.38
Himachal Pradesh,Bilaspur,1.3326086956521737,1.31,2.61
Himachal Pradesh,Chamba,1.6947826086956523,1.54,2.69
Himachal Pradesh,Hamirpur,1.1256521739130434,1.12,2.06
Himachal Pradesh,Kangra,1.6191304347826088,1.58,2.25
Himachal Pradesh,Kinnaur,1.3460869565217388,1.29,1.89
Himachal Pradesh,Kullu,1.6365217391304347,1.62,2.4
Himachal Pradesh,Lahul And Spiti,1.4886956521739132,1.42,3.27
Himachal Pradesh,Mandi,1.4326086956521737,1.5,2.11
Himachal Pradesh,Shimla,1.387391304347826,1.34,2.59
Himachal Pradesh,Sirmaur,1.5478260869565221,1.35,2.5
Himachal Pradesh,Solan,1.5765217391304347,1.44,2.69
Himachal Pradesh,Una,1.6395652173913045,1.51,2.97
Jammu & Kashmir,Anantnag,1.6700000000000002,1.7149999999999999,2.52
Jammu & Kashmir,Baramulla,0.85,0.81,1.45
Jammu & Kashmir,Budgam,1.104285714285714,1.07,2.19
Jammu & Kashmir,Doda,1.2054545454545453,1.205,2.19
Jammu & Kashmir,Jammu,2.09952380952381,2.12,2.8
Jammu & Kashmir,Kathua,1.7923809523809524,1.87,2.52
Jammu & Kashmir,Kishtwar,1.2173333333333334,1.19,1.92
Jammu & Kashmir,Kulgam,1.37,1.325,2.06
Jammu & Kashmir,Kupwara,1.1800000000000002,1.205,1.31
Jammu & Kashmir,Poonch,1.5204761904761905,1.42,2.45
Jammu & Kashmir,Pulwama,1.6600000000000004,1.6,4.63
Jammu & Kashmir,Rajouri,1.6095238095238094,1.71,2.3
Jammu & Kashmir,Ramban,1.0346666666666666,0.94,1.58
Jammu & Kashmir,Reasi,1.349333333333333,1.34,1.91
Jammu & Kashmir,Samba,1.9306666666666668,2.12,2.77
Jammu & Kashmir,Srinagar,3.177,3.33,5.0
Jammu & Kashmir,Udhampur,1.414285714285714,1.47,1.86
Jharkhand,Bokaro,1.6647619047619049,1.32,3.75
Jharkhand,Chatra,1.682857142857143,1.52,2.7
Jharkhand,Deoghar,1.8685714285714288,1.78,2.6
