State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Araria,1.17,1.25,1.17,1.12,1.05,1.04,1.07,1.19,1.11,,1.29,1.6,1.4,,,,,,,,,,
Bihar,Arwal,,,,1.03,0.87,0.71,,1.04,0.74,0.81,0.91,0.91,1.34,1.13,1.1,1.27,1.34,1.74,1.38,1.29,1.33,1.55,1.12
Bihar,Aurangabad,1.05,1.01,1.1,0.93,1.03,0.51,0.8,1.09,0.66,0.68,0.77,0.77,1.04,1.32,1.14,1.24,1.18,2.14,1.59,0.98,1.4,1.71,1.02
Bihar,Banka,1.26,0.99,0.52,1.03,0.58,0.73,1.11,0.82,0.95,0.88,1.12,1.45,0.95,2.13,0.31,1.15,2.42,1.02,2.42,1.16,1.86,0.86,1.04
Bihar,Begusarai,0.95,0.6,0.91,0.88,1.05,0.86,1.52,1.12,0.64,0.79,0.94,0.68,1.43,1.39,1.11,1.31,1.5,1.58,2.0,,,,
Bihar,Bhagalpur,0.99,0.91,0.78,0.97,0.58,0.66,0.87,0.74,0.95,0.91,1.16,1.6,0.95,1.49,0.31,0.94,0.76,0.68,0.87,1.06,1.86,0.86,1.05
Bihar,Bhojpur,1.32,1.69,1.43,0.83,1.37,1.32,1.18,1.46,1.28,1.61,1.51,1.58,1.52,1.05,0.94,1.32,1.45,2.01,2.86,1.69,2.15,2.36,2.08
Bihar,Buxar,1.63,1.86,1.42,1.42,1.26,0.96,1.13,1.91,1.8,1.19,1.64,1.81,1.33,1.47,0.9,1.27,2.08,1.86,2.22,1.43,2.29,2.43,2.45
Bihar,Darbhanga,1.17,1.25,0.68,1.12,1.06,1.03,1.07,1.2,1.08,1.13,1.36,1.58,1.46,1.5,1.0,1.25,1.53,1.6,2.0,,,,
Bihar,Gaya,1.14,1.34,0.74,1.03,0.77,0.85,1.37,0.96,0.84,0.98,1.15,1.14,1.87,0.93,1.04,1.32,1.52,1.36,1.24,2.22,1.15,1.28,1.27
Bihar,Gopalganj,1.68,1.07,1.21,1.69,1.49,1.52,1.06,1.47,1.1,1.13,1.32,1.53,,,,,,,,,,,1.73
Bihar,Jamui,0.95,0.6,0.87,0.88,1.05,0.86,1.53,1.14,0.66,0.79,0.92,0.69,1.47,1.41,1.11,1.3,1.5,1.59,1.99,1.37,1.18,0.85,1.73
Bihar,Jehanabad,1.09,1.15,0.92,1.03,0.59,0.86,1.19,1.03,0.73,8.05,0.91,0.91,1.34,1.13,1.11,1.26,1.35,1.74,1.38,1.29,1.34,1.56,1.12
