State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
A & N Islands,Nicobars,,,,,2.82,3.04,3.86,2.87,0.9,,,,,,,
A & N Islands,North And Middle Andaman,,,,,4.68,4.64,5.63,3.94,6.62,,,,,,,
A & N Islands,South Andamans,,,,,7.5,9.24,4.6,4.84,4.32,,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,0.59
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,0.48
Andhra Pradesh,Anantapur,,,,,0.19,,0.5,0.55,0.86,0.04,0.93,0.09,0.47,0.65,0.42,0.75
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,0.33
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,0.99
Andhra Pradesh,Chittoor,,,,,0.33,1,0.29,0.31,0.42,0.42,0.95,0.47,0.54,1.03,0.84,0.84
Andhra Pradesh,East Godavari,,,,,0.8,,0.81,1.1,0.86,0.55,0.5,0.37,0.48,0.92,0.64,1
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,0.62
Andhra Pradesh,Guntur,,,,,,,0.48,0.38,0.86,,,0.17,,0.8,1,
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,1
Andhra Pradesh,Krishna,,,,,,,,,,,,,0.5,0.92,0.97,
Andhra Pradesh,Kurnool,,,,,0.69,,0.82,1.1,0.35,,,1,0.5,1,1,1
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,1
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,1
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,1
Andhra Pradesh,Prakasam,,,,,0.8,1.17,0.91,1.23,1.05,0.7,0.71,0.54,0.51,1.04,1.02,1.03
Andhra Pradesh,Spsr Nellore,,,,,0.8,,0.82,1.13,0.87,0.67,0.74,0.8,0.67,0.55,0.96,0.99
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,0.74
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,0.69
Andhra Pradesh,Visakhapatanam,,,,,0.49,1,0.68,0.3,0.37,0.6,0.45,0.17,0.3,0.36,0.41,1
Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,1,,,
Andhra Pradesh,West Godavari,,,,,0.79,,0.81,0.45,0.26,0.57,0.51,0.46,0.53,1,0.86,
Andhra Pradesh,Y.s.r.,,,,,0.5,0.33,0.48,0.23,0.48,0.83,0.67,0.11,0.31,0.26,0.17,0.77
DNHDD,Dadra And Nagar Haveli,,,,,,,,,,1.2,,1.2,1.2,,,
Jammu & Kashmir,Bandipora,,,,0.5,,,,,0.2,0.2,,,,,,
Jammu & Kashmir,Baramulla,0.3,,,,0.5,,,,0.2,0.2,,,,,,
Jammu & Kashmir,Budgam,0.5,,,,,,,,,,,,,,,
Jammu & Kashmir,Jammu,0.68,,,2.01,,,,,0.55,0.54,,,,,,
Jammu & Kashmir,Kathua,,,,,,,,,0.9,0.9,,,,,,
Jammu & Kashmir,Kishtwar,,,,,,,,,0.55,,,,,,,
Jammu & Kashmir,Samba,,,,,,,,,0.55,,,,,,,
Karnataka,Bagalkote,,,,0.31,0.42,0.34,0.39,0.37,0.35,0.34,0.32,0.15,0.39,0.47,0.51,0.51
Karnataka,Ballari,,,,0.31,0.34,0.28,0.54,0.4,0.37,0.24,0.36,0.25,0.47,0.59,0.6,0.54
Karnataka,Belagavi,,,,0.38,0.41,0.24,0.24,0.78,0.24,0.53,0.26,0.26,0.34,0.59,0.52,0.49
Karnataka,Bengaluru Rural,,,,1,0.73,0.19,0.44,1.44,0.5,0.76,0.23,0.37,0.29,0.38,0.37,0.38
Karnataka,Bengaluru Urban,,,,0.5,0.51,0.29,0.38,0.43,0.41,0.74,0.23,0.35,0.28,0.36,0.33,0.38
Karnataka,Bidar,,,,0.53,0.52,0.28,0.37,0.44,0.41,0.76,0.22,0.35,0.33,0.59,0.56,0.34
Karnataka,Chamarajanagara,,,,0.37,0.37,0.14,0.37,0.23,0.34,0.77,0.41,0.37,0.32,0.43,0.57,0.5
Karnataka,Chikkaballapura,,,,0.71,0.54,1.14,0.25,0.89,0.46,0.77,0.23,0.37,0.29,0.39,0.39,0.41
Karnataka,Chikkamagaluru,,,,0.26,0.34,0.27,0.33,0.35,0.37,0.74,0.24,0.37,0.28,0.37,0.37,0.39
Karnataka,Chitradurga,,,,0.74,0.5,0.66,0.38,0.41,0.64,0.69,0.25,0.31,0.32,0.52,0.39,0.46
Karnataka,Dakshina Kannada,,,,0.26,0.35,0.35,0.4,0.37,0.35,0.12,0.32,0.32,0.33,0.33,0.55,0.42
Karnataka,Davangere,,,,0.3,0.47,0.44,0.47,0.56,0.37,0.28,0.37,0.27,0.43,0.6,0.58,0.56
Karnataka,Dharwad,,,,0.38,0.18,0.24,0.62,0.28,0.24,0.66,0.27,0.34,0.39,0.64,0.55,0.55
Karnataka,Gadag,,,,0.23,0.28,0.45,0.34,0.31,0.3,0.48,0.2,0.17,0.3,0.49,0.47,0.51
Karnataka,Hassan,,,,0.36,0.46,0.15,0.14,0.34,0.4,0.71,0.14,0.31,0.34,0.37,0.34,0.43
Karnataka,Haveri,,,,0.33,0.29,0.27,0.37,0.38,0.38,0.26,0.34,0.24,0.42,0.65,0.6,0.57
Karnataka,Kalaburagi,,,,0.15,0.35,0.44,0.33,0.41,0.41,0.76,0.23,0.38,0.28,0.35,0.36,0.51
Karnataka,Kodagu,,,,0.26,0.36,0.37,0.39,0.33,0.33,0.2,0.25,0.25,0.25,,0.5,
Karnataka,Kolar,,,,1.14,1.74,1.45,0.75,0.84,1,0.77,0.23,0.38,0.29,0.4,0.37,0.44
Karnataka,Koppal,,,,0.55,0.37,0.32,0.39,0.32,0.22,0.45,0.27,0.28,0.34,0.62,0.58,0.54
Karnataka,Mandya,,,,0.69,0.52,0.48,0.55,0.42,0.51,0.77,0.19,0.37,0.15,0.27,0.37,0.33
