State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Srikakulam,,,,,,,,,,,,2.0,,,,,,,,,,,
Andhra Pradesh,Y.s.r.,,,,,,,,,,,2.1,,,,,,,,,,,,
Bihar,Araria,1.23,1.47,1.48,1.5,1.51,1.48,,1.44,1.38,,,,,,,,1.58,1.58,1.58,,,,1.58
Bihar,Arwal,,,,,1.5,1.48,,1.45,1.61,,,,,,,,1.58,1.59,1.58,1.57,2.5,1.57,1.88
Bihar,Aurangabad,1.33,1.33,1.33,1.5,,1.5,,1.46,1.62,,,,,,,,1.57,1.59,,,,,
Bihar,Banka,1.5,1.5,,,,,,1.33,1.67,,,,,,,,1.43,1.5,1.4,1.4,1.6,1.54,1.55
Bihar,Begusarai,1.5,1.43,1.0,1.5,1.5,1.47,,,,,,,,,,,1.5,1.3,1.25,1.48,2.24,1.47,1.76
Bihar,Bhagalpur,1.4,1.47,1.48,1.48,1.51,1.49,,1.45,1.62,,,,,,,,1.42,1.5,1.5,1.27,1.67,1.55,1.55
Bihar,Bhojpur,,1.5,1.5,1.4,1.5,1.4,,,1.5,,,,,,,,1.56,1.56,,,,,1.5
Bihar,Buxar,1.5,1.33,1.5,2.0,,,,1.4,2.0,,,,,,,,1.98,1.97,1.97,,,,
Bihar,Darbhanga,1.45,1.46,1.49,1.5,1.52,1.46,,1.5,,,,,,,,,,,,,,,
Bihar,Gaya,1.45,1.4,1.45,1.44,1.45,1.48,,1.45,1.6,,,,,,,,1.52,1.5,,,,,
Bihar,Gopalganj,0.98,0.98,1.48,1.51,1.51,1.46,,1.45,1.59,,,,,,,,,,,,,,1.57
Bihar,Jamui,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
Bihar,Jehanabad,1.47,1.44,1.47,1.5,1.5,1.46,,1.5,1.5,,,,,,,,1.5,1.5,1.57,1.63,2.5,1.63,1.88
Bihar,Kaimur (Bhabua),1.0,,1.5,1.56,,,,,1.5,,,,,,,,1.71,1.73,1.73,1.73,1.71,1.57,1.69
Bihar,Katihar,1.25,1.48,1.47,1.5,1.51,1.47,,1.39,1.39,,,,,,,,1.39,1.4,1.41,1.4,1.66,1.56,1.66
Bihar,Khagaria,1.43,1.45,1.48,1.51,1.5,1.48,,1.45,1.59,,,,,,,,1.5,1.52,1.5,1.48,2.24,1.46,2.03
Bihar,Kishanganj,1.23,1.47,1.48,1.51,1.51,1.48,,1.39,1.38,,,,,,,,1.41,1.4,1.4,1.4,1.66,1.56,1.54
Bihar,Lakhisarai,,,,,,,,,,,,,,,,,,,,,,1.48,1.46
Bihar,Madhepura,1.51,,1.5,0.17,1.48,1.48,,1.49,1.49,,,,,,,,1.57,1.47,1.49,1.51,1.66,1.57,1.62
Bihar,Madhubani,1.5,1.46,1.46,1.53,1.5,1.5,,1.45,1.59,,,,,,,,1.54,1.53,1.55,1.55,1.52,1.55,1.55
Bihar,Muzaffarpur,1.52,1.51,1.47,1.51,1.51,1.47,,1.45,1.76,,,,,,,,1.51,1.52,1.54,1.51,1.53,1.56,1.53
