State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,0.24,0.31,0.31,0.31,,0.31,0.53
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,0.53,0.65,0.65,0.65,,0.65,0.65
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,0.51,0.51,0.79,0.82,,0.81,0.82
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.75,1.39
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,1.5,,1.38,1.22
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,0.55,0.59,0.59,0.61,,0.8,0.79
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,2.33,2.33,,1.67,1.25
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,0.82,0.53,0.32,0.34,,0.51,0.51
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,0.53,0.52,0.52,0.52,,0.69,0.69
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,0.53,0.64,0.64,0.62,,0.79,0.87
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,0.36,0.49,0.49,0.49,,0.49,0.91
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,0.51,0.87,0.79,0.82,,0.82,0.82
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,0.53,0.7,1.0,1.0,,0.87,0.87
Assam,Baksa,,,,,,0.52,0.52,0.11,0.36,0.33,0.26,0.38,0.43,0.84,0.57,0.88,0.57,0.88,0.65,0.97,0.98,0.98,0.98
