State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
A & N Islands,Nicobars,,,,,,,,,,,0.73,,,,2,2,0.4,,,,3.09,,
A & N Islands,North And Middle Andaman,,,,,,,,,,,0.48,0.6,0.47,0.43,0.5,0.61,0.29,0.31,0.21,0.6,0.41,0.33,0.36
A & N Islands,South Andamans,,,,,,,,,,,0.6,0.52,0.42,0.54,0.55,0.32,0.19,0.6,,0.53,0.26,0.26,0.6
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,0.75
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,0.52
Andhra Pradesh,Anantapur,0.44,0.48,0.15,0.54,0.37,0.69,0.16,,0.39,0.26,0.32,0.64,,1.01,1.15,0.15,0.23,0.23,0.17,0.24,0.22,0.17,0.39
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,0.71
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,1.42
Andhra Pradesh,Chittoor,0.42,0.44,0.2,0.49,0.35,0.65,0.21,,0.38,0.29,0.33,0.63,,0.94,1.05,0.65,0.53,0.63,0.31,0.54,0.49,0.59,0.77
Andhra Pradesh,East Godavari,0.23,0.17,0.21,0.31,0.26,0.23,0.26,0.15,0.28,0.25,0.12,0.4,0.43,0.24,0.37,0.33,0.62,0.61,0.68,0.75,0.74,0.8,1.29
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,1.45
Andhra Pradesh,Guntur,0.61,0.35,0.19,0.39,0.36,0.55,0.58,0.4,0.6,0.54,0.24,0.84,1.24,0.88,1.28,1.02,0.42,1.01,1.07,1.34,1.19,1.23,1.72
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,0.67
Andhra Pradesh,Konaseema,,,,,,,,,,,,,,,,,,,,,,,0.58
Andhra Pradesh,Krishna,0.3,0.61,0.43,0.44,0.61,0.72,0.51,0.62,0.28,0.23,0.42,0.72,0.82,0.71,0.78,0.83,0.64,0.75,0.64,0.98,0.75,0.91,1.45
Andhra Pradesh,Kurnool,0.44,0.46,0.16,0.54,0.37,0.68,0.15,0.67,0.39,0.28,0.32,0.62,1,0.92,1.01,0.78,0.92,0.79,0.51,0.66,0.9,0.99,0.81
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,1.16
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,0.58
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,0.82
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,0.53
Andhra Pradesh,Prakasam,0.44,0.47,0.06,0.62,0.25,0.62,0.32,0.43,0.94,0.48,0.28,0.41,0.33,0.47,0.76,0.88,0.53,0.38,0.61,0.6,0.59,1.03,0.6
Andhra Pradesh,Spsr Nellore,0.35,0.67,0.52,0.43,0.49,0.65,0.43,0.25,0.34,0.52,0.39,0.5,0.5,0.88,0.82,0.53,0.52,0.52,0.79,0.68,0.32,0.73,0.63
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,0.28
Andhra Pradesh,Srikakulam,0.47,0.45,0.26,0.48,0.36,0.36,0.46,0.5,0.39,0.39,0.54,0.6,0.52,0.57,0.53,0.58,0.44,0.5,0.51,0.53,0.47,0.57,0.63
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,0.92
Andhra Pradesh,Visakhapatanam,0.39,0.39,0.2,0.43,0.35,0.48,0.38,0.33,0.36,0.31,0.32,0.59,0.6,0.58,0.79,0.48,0.67,0.45,0.41,0.38,0.39,0.44,0.97
Andhra Pradesh,Vizianagaram,0.44,0.36,0.19,0.35,0.24,0.36,0.47,0.35,0.32,0.39,0.35,0.51,0.4,0.43,0.55,0.55,0.46,0.6,0.46,0.72,0.5,0.44,0.56
Andhra Pradesh,West Godavari,0.34,0.31,0.25,0.36,0.61,0.52,0.52,0.25,0.46,0.57,0.55,0.87,1,0.79,0.72,0.96,0.26,0.7,1.03,1.2,1.3,1.23,1.25
Andhra Pradesh,Y.s.r.,0.43,0.46,0.16,0.54,0.37,0.69,0.17,,0.39,0.35,0.33,0.6,,0.72,0.86,0.64,0.39,0.81,0.64,0.99,0.5,0.68,0.99
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,0.87,1.4,1.4,1.8,1.8,0.8,0.8
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,1.03,1.03,1.03,1.03,1.03,1.01,1.01
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,0.94,1.21,1.21,1.21,1.21,0.93,0.93
Arunachal Pradesh,East Kameng,,,,,,,,,,,,,,,,,1.05,0.8,1.08,1.06,1.06,1.05,1.06
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,0.73,0.7,0.99,0.99,0.99,1.02,1.03
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,0.69,0.71,0.71,0.84,0.89
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.91,0.91
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,0.84,0.89,0.89,0.9,0.9,1.04,1.03
Arunachal Pradesh,Longding,,,,,,,,,,,,,,,,,0.86,1.1,1.1,1.1,1.1,0.8,0.8
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,1.04,1.06,1.06,1.07,1.07,1.06,1.07
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,0.56,0.51,0.51,1.08,1.1
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,0.96,,1.54,1.57,1.57,1.05,1.08
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,0.64,0.59,0.59,0.59,0.59,0.96,0.97
Arunachal Pradesh,Pakke Kessang,,,,,,,,,,,,,,,,,,,,1.09,1.09,1.06,1.05
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,0.94,0.83,0.8,0.82,0.82,1.1,1.11
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,0.95,2.28,1.08,1.08,1.08,1.12,1.15
Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,1.59,1.59,1.59,1.58,1.58,1.11,1.11
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,0.88,1.36,1.36,1.36,1.36,0.86,0.86
Arunachal Pradesh,Upper Siang,,,,,,,,,,,,,,,,,1.13,1.31,1.14,1.14,1.14,1.16,1.13
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,1.3,1.72,1.46,1.47,1.47,1.05,1.07
Arunachal Pradesh,West Kameng,,,,,,,,,,,,,,,,,,1.08,,,,,
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,0.96,0.87,1.14,1.58,1.58,0.92,0.92
Assam,Baksa,,,,,,0.43,0.43,0.42,0.42,0.42,0.42,0.48,0.54,0.73,0.6,0.77,0.56,0.77,0.59,0.89,0.89,0.89,0.89
Assam,Barpeta,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.54,0.6,0.52,0.66,0.72,0.63,0.63,0.61,0.61,0.61,0.68,0.69
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,,1,1,1
Assam,Bongaigaon,,0.43,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.41,0.4,0.47,0.54,0.66,0.59,0.46,0.66,0.72,0.42,0.42,0.56,0.56,0.41
Assam,Cachar,,0.42,0.48,0.48,0.55,0.54,0.5,0.49,0.5,0.51,0.5,0.56,0.58,0.6,0.64,0.65,0.66,0.67,0.78,0.78,0.79,0.78,0.45
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,,0.65,0.68,0.67
Assam,Chirang,,,,,,0.41,0.41,0.41,0.41,0.41,0.41,0.48,0.53,0.46,0.6,0.48,0.62,0.49,0.8,0.62,0.61,0.9,0.56
Assam,Darrang,,0.51,0.51,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.57,0.57,0.9,0.63,0.65,0.65,0.9,0.9,0.9,0.75,0.78,0.84
Assam,Dhemaji,,0.51,0.53,0.53,0.53,0.53,0.52,0.53,0.53,0.52,0.56,0.59,0.63,0.64,0.67,0.71,0.7,0.7,0.64,0.94,0.77,0.63,0.56
Assam,Dhubri,,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.52,0.54,0.54,0.62,0.69,0.78,0.77,1.11,0.89,1,1.04,1.03,1.06,1.06,1.05
Assam,Dibrugarh,,0.46,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.46,0.46,0.52,0.58,0.5,0.64,0.73,0.74,0.74,0.59,0.59,0.6,0.36,0.71
Assam,Dima Hasao,,0.47,0.46,0.46,0.47,0.47,0.47,0.47,0.48,0.47,0.47,0.53,0.59,0.6,0.65,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Assam,Goalpara,,0.42,0.43,0.42,0.42,0.43,0.42,0.43,0.42,0.42,0.42,0.48,0.47,0.93,0.52,0.5,0.6,0.7,0.7,0.7,0.69,0.69,0.71
Assam,Golaghat,,0.46,0.42,0.42,0.43,0.37,0.42,0.43,0.4,0.43,0.43,0.47,0.46,0.54,0.52,0.49,0.5,0.52,0.51,0.53,0.53,0.53,0.56
Assam,Hailakandi,,0.5,0.5,0.4,0.4,0.33,0.33,0.33,0.5,0.45,0.47,0.78,0.76,0.74,0.84,0.45,0.45,0.44,0.63,0.61,0.59,0.63,0.47
Assam,Hojai,,,,,,,,,,,,,,,,,,,,,5.84,0.65,0.58
Assam,Jorhat,,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.47,0.48,0.48,0.54,0.61,0.62,0.67,0.67,0.67,0.62,0.46,0.69,0.67,0.67,0.67
Assam,Kamrup,,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.33,0.35,0.35,0.45,0.51,0.45,0.56,0.46,0.46,0.46,0.46,0.46,0.46,0.58,0.9
Assam,Kamrup Metro,,,,,,0.33,0.36,0.35,0.36,0.35,0.36,0.42,0.47,0.45,0.53,0.45,0.45,0.45,0.58,0.58,0.58,0.63,1.2
Assam,Karbi Anglong,,0.47,0.56,0.53,0.62,0.58,0.57,0.58,0.57,0.63,0.76,0.72,0.81,0.69,0.89,0.78,0.7,0.69,0.78,0.78,0.78,0.78,0.78
Assam,Karimganj,,0.33,0.43,0.38,0.33,0.33,0.5,0.33,0.33,0.33,0.39,0.45,0.5,0.55,0.55,0.68,0.68,0.29,0.35,0.35,0.68,0.8,0.9
Assam,Kokrajhar,,0.5,0.49,0.5,0.49,0.55,0.5,0.53,0.51,0.55,0.53,0.6,0.64,0.61,0.7,0.78,0.69,0.7,0.69,0.69,0.69,0.68,1.14
Assam,Lakhimpur,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.45,0.44,0.51,0.57,0.57,1,0.94,0.92,0.92,0.87,1.01,1.03,0.94,0.87
Assam,Majuli,,,,,,,,,,,,,,,,,,,,,0.69,0.69,0.69
Assam,Marigaon,,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.3,0.34,0.35,0.38,0.58,0.58,0.59,0.59,0.72,0.72,0.72,1.2
Assam,Nagaon,,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.4,0.4,0.4,0.47,0.52,0.55,0.58,0.7,0.71,0.63,0.68,0.63,0.6,0.6,0.55
Assam,Nalbari,,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.42,0.42,0.48,0.53,0.53,0.59,0.53,0.86,0.85,0.8,0.8,0.8,0.93,0.93
Assam,Sivasagar,,0.39,0.37,0.37,0.38,0.37,0.36,0.36,0.35,0.38,0.31,0.44,0.44,0.64,0.51,0.81,0.73,0.8,0.85,0.91,0.72,0.73,0.73
Assam,Sonitpur,,0.56,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.58,0.67,0.65,0.71,0.76,0.72,0.73,0.74,0.75,0.83,0.78,0.78,0.79
Assam,South Salmara Mancachar,,,,,,,,,,,,,,,,,,,,,1,1,0.85
Assam,Tinsukia,,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,0.4,0.42,0.47,0.82,0.52,0.51,0.56,0.56,0.51,0.66,0.66,0.56,0.69
Assam,Udalguri,,,,,,0.52,0.52,0.52,0.52,0.52,0.52,0.59,0.66,0.65,0.73,0.72,0.73,0.73,0.77,0.84,0.84,0.85,0.78
Assam,West Karbi Anglong,,,,,,,,,,,,,,,,,,,,,0.45,0.78,0.79
Bihar,Araria,0.94,0.68,0.59,0.59,0.52,0.58,0.53,0.54,0.55,0.54,0.63,0.51,0.81,0.96,0.81,0.87,1.06,0.87,0.78,0.43,0.73,0.24,0.44
Bihar,Arwal,,,,0.54,0.54,0.56,,0.7,0.67,0.54,0.62,0.68,0.92,1.12,0.7,0.82,0.98,1.82,0.64,0.84,0.37,0.79,0.85
Bihar,Aurangabad,0.43,0.68,0.35,0.67,0.4,0.5,0.63,0.72,0.56,0.5,0.71,,0.61,0.63,0.67,0.81,1,1.71,0.72,1.1,0.46,0.78,0.84
Bihar,Banka,0.78,0.51,0.52,0.52,0.56,0.58,0.62,0.75,0.75,0.52,0.58,0.68,0.59,0.63,0.52,0.52,0.65,0.62,0.67,0.67,0.83,0.68,0.71
Bihar,Begusarai,0.49,0.92,0.5,0.49,0.47,0.61,0.55,0.85,0.64,0.92,0.89,0.98,0.63,1.07,0.61,0.82,0.96,0.72,0.88,0.66,0.71,0.73,0.72
Bihar,Bhagalpur,0.71,0.61,0.53,0.53,0.63,0.65,0.59,0.65,0.72,0.48,0.61,0.71,0.72,0.74,0.42,0.47,0.42,0.5,0.45,0.45,2.17,0.63,0.5
