State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Anantapur,17.02,17.93,13.27,17.69,19.03,19.1,13.03,19,17.86,18.74,18.25,14.78,12.5,22.43,18.53,20.1,23.4,64.9,57.22,21.54,,,
Andhra Pradesh,Chittoor,18.38,18.5,15.3,17.82,19.11,21.26,20.42,,19.43,20.01,23.55,17.57,,21.58,20.36,16.93,19.52,22.62,24.24,22,,,
Andhra Pradesh,East Godavari,16.71,14.94,12.28,14.3,17.18,18.96,16.01,14,16.68,16.65,19.78,14.91,11,18.82,18.34,16.67,16.47,3.85,19.78,22.08,,,
Andhra Pradesh,Guntur,16.81,13.4,15.04,11.27,15.88,18.17,15.05,18,17.18,16.74,15.35,14.41,13,18.82,18.3,14.97,22.69,19,22.89,22,,,
Andhra Pradesh,Krishna,16.95,15.54,12.6,11.27,17.47,19.4,13.91,,12.08,24.29,13.83,23.16,,18.5,17.69,,24,,,,,,
Andhra Pradesh,Kurnool,15.58,16.71,13.51,16.63,17.93,21.35,18.64,17.81,18.41,18.21,23.01,15.85,18.94,21.17,19.56,17.67,17.73,39.47,34.43,21.61,,,
Andhra Pradesh,Prakasam,14.84,14.89,12.22,12.4,17.13,19.31,14.44,,15.6,19.03,18.73,18.1,11,18.79,18.26,16.47,24.11,15.31,6.53,22,,,
Andhra Pradesh,Spsr Nellore,13.96,13.96,11.96,14.44,16.98,18.84,16.47,,16.81,16.2,19.86,14.79,,18.83,18.37,16.4,23.68,,,,,,
Andhra Pradesh,Srikakulam,16.97,17.59,9.17,12.33,18.71,20.84,11.57,11,9.13,25.17,15.15,24.84,21,18.52,17.67,14.33,22.34,55.45,80.13,22.22,,,
Andhra Pradesh,Visakhapatanam,16.78,15.64,12.42,11.93,17.35,19.6,13.11,,12.09,23.12,14.94,21.96,,18.6,17.88,15.23,22.71,10.14,9.4,22.25,,,
Andhra Pradesh,Vizianagaram,16.84,15.4,12.42,11.96,17.37,19.6,14.51,,12.51,22.15,15.24,21.8,,18.63,17.87,14.94,22.76,9.42,13.04,21.91,,,
Andhra Pradesh,West Godavari,,16,,,,,,,,,,,,,,14,,,,,,,
Andhra Pradesh,Y.s.r.,13.93,8.67,10.66,9.98,12.73,10.19,13.96,4,10.83,10.08,10.47,11.22,17.33,9.94,12.99,11.4,12.78,20.49,18.18,21.76,,,
Assam,Baksa,,,,,,1,1,1,1,1,1,3,3.25,3.26,3.27,3.27,3.6,3.61,3.75,4.22,4.23,4.23,4.39
