State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Gujarat,Ahmadabad,,,,,,0.97,1.0,1.27,,,,,,,0.56,,,,,,,,0.5
Gujarat,Amreli,,,,,,,,,,1.0,1.25,1.2,3.0,0.57,,,3.2,,,,,,
Gujarat,Anand,,,,,,1.0,1.0,,,1.33,1.17,0.75,1.08,1.31,0.35,,1.15,,,,,0.56,
Gujarat,Banas Kantha,0.18,,,,0.33,1.34,1.3,1.19,0.97,1.01,1.19,0.94,1.21,0.82,0.73,0.72,0.72,,0.91,,,,
Gujarat,Bharuch,,,,,1.0,,1.17,1.0,0.5,0.51,,0.93,3.0,,0.66,,,,,,,,
Gujarat,Bhavnagar,,,,,,0.25,,,,,,,,,0.6,,1.36,,,0.59,,,
Gujarat,Chhotaudepur,,,,,,,,,,,,,,,,0.5,0.81,0.54,,0.56,,,
Gujarat,Dang,0.25,,,,0.23,0.22,0.52,0.57,0.55,0.6,0.61,0.61,0.55,0.62,,,,,0.93,,0.67,,0.67
Gujarat,Devbhumi Dwarka,,,,,,,,,,,,,,,,,,0.6,,,,,
Gujarat,Dohad,,,,,0.44,0.97,1.36,1.33,1.29,1.0,0.75,0.8,0.5,0.63,0.55,0.56,1.13,,,,,,
Gujarat,Gandhinagar,,,,,0.5,,0.5,0.5,0.33,,1.0,,1.5,,,0.52,0.92,0.5,,,,,
Gujarat,Gir Somnath,,,,,,,,,,,,,,,0.57,,,,0.67,,,,
Gujarat,Jamnagar,,,,,,,,,,,,1.28,1.12,,,,,,,,,,
Gujarat,Junagadh,0.2,,,,0.33,1.57,1.47,1.4,1.38,1.35,1.27,1.05,1.17,1.11,,,1.75,,,,,,
Gujarat,Kachchh,,,,,,,,,,,,,,1.11,,,,,,,,,
Gujarat,Kheda,,,,,,0.27,1.29,1.25,1.0,0.71,1.21,1.5,1.39,1.33,,,1.98,1.2,1.2,,,,
Gujarat,Mahesana,0.25,,,,0.5,0.44,0.78,1.06,0.85,0.79,0.93,0.85,0.94,0.96,0.55,,2.43,1.47,0.7,,,,
