State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,20.54
Andhra Pradesh,Anantapur,8.5,,8.5,,10.0,,,,,,11.24,10.06,17.61,14.38,18.73,6.33,12.94,8.67,9.4,13.2,19.02,8.43,
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,22.59
Andhra Pradesh,Chittoor,8.54,9.23,8.68,9.33,9.9,9.79,8.46,,9.02,8.63,9.51,13.21,15.08,17.68,17.17,14.88,9.0,11.55,6.07,15.78,19.54,25.29,20.6
Andhra Pradesh,Guntur,,,,,,,,,,,,,,,,,9.0,,,,,23.67,
Andhra Pradesh,Kurnool,,,5.0,,9.9,,,,9.0,8.63,11.21,10.03,17.6,14.35,17.29,11.63,9.18,11.0,,,19.0,23.65,21.0
Andhra Pradesh,Spsr Nellore,,,,,,,,,,,,,,14.33,,,,,,,,,
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,12.93
Andhra Pradesh,Srikakulam,8.57,6.5,,,,,,,,,,,,,17.3,,,,,,,,
Andhra Pradesh,Visakhapatanam,8.55,6.46,8.68,9.33,9.9,9.79,8.46,,9.02,8.64,11.21,10.04,17.59,14.38,17.29,2.67,9.17,2.74,8.82,8.64,8.85,8.83,
Andhra Pradesh,Vizianagaram,,,,,,,,,,,11.0,,17.59,,,,,,,,,,
Andhra Pradesh,Y.s.r.,,,,,,,,,,,11.0,,18.0,,17.33,,9.0,,,15.0,9.0,,
Arunachal Pradesh,Anjaw,,,,,8.0,8.0,9.07,8.14,8.14,9.0,8.5,8.91,8.52,8.52,4.18,5.37,5.37,5.69,5.8,5.83,5.9,5.9,5.91
Arunachal Pradesh,Changlang,4.29,5.32,5.8,5.5,9.22,6.5,6.71,5.81,6.0,6.49,6.33,6.65,6.5,6.5,8.53,6.59,6.59,6.71,6.74,6.75,6.79,6.78,6.78
Arunachal Pradesh,Dibang Valley,5.64,7.0,6.5,7.0,5.93,7.0,6.28,5.96,6.35,6.35,5.5,5.79,5.86,6.04,6.24,5.5,5.5,5.65,5.41,5.72,5.76,5.76,5.76
Arunachal Pradesh,East Kameng,4.59,5.81,5.86,5.86,,5.85,5.8,6.46,6.53,6.55,6.57,6.9,6.89,7.0,7.13,6.16,6.16,6.29,6.33,6.36,6.41,6.41,6.41
Arunachal Pradesh,East Siang,8.54,8.3,8.14,8.21,8.01,7.15,7.15,7.15,8.09,8.09,8.23,8.66,6.49,6.42,6.41,6.37,6.37,6.42,6.46,6.47,6.49,6.89,6.9
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,8.14,8.14,8.18,8.14,8.14
Arunachal Pradesh,Kra Daadi,,,,,,,,,,,,,,,,3.5,1.5,1.92,2.15,2.2,2.25,2.25,2.25
Arunachal Pradesh,Kurung Kumey,,,7.16,7.11,9.98,,7.76,0.6,0.6,0.6,0.68,0.73,0.85,8.5,9.55,2.88,2.88,3.32,3.53,3.58,3.63,3.63,3.63
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,6.79,6.88,7.71,7.71
Arunachal Pradesh,Lohit,9.6,8.2,8.2,8.2,8.0,8.3,9.15,9.2,9.23,9.4,9.4,9.87,9.0,9.3,9.29,7.97,7.97,8.01,8.01,8.01,8.02,8.0,8.0
Arunachal Pradesh,Longding,,,,,,,,,,,,,,2.69,,5.06,5.06,5.36,5.48,5.51,5.57,5.57,5.58
Arunachal Pradesh,Lower Dibang Valley,,,8.0,8.0,6.7,8.0,8.0,8.0,8.0,8.0,8.0,8.41,8.0,8.0,8.02,7.26,7.26,7.3,7.33,7.33,7.34,7.57,7.57
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,6.69,6.69,6.71,6.71,6.71
Arunachal Pradesh,Lower Subansiri,6.8,8.53,7.09,9.99,8.11,10.14,10.13,10.85,10.84,10.84,9.01,9.48,9.49,9.5,9.48,8.78,8.05,8.08,8.07,8.07,8.1,8.09,8.09
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,6.67,8.91,8.29,8.31,8.31,8.27,8.26,8.3,8.3
Arunachal Pradesh,Pakke Kessang,,,,,,,,,,,,,,,,,,,,6.29,6.41,6.4,6.41
Arunachal Pradesh,Papum Pare,7.13,7.13,7.59,9.24,7.16,9.2,9.0,8.05,9.1,9.6,9.9,10.4,9.37,10.6,10.88,9.93,8.76,8.76,8.75,8.75,8.77,8.77,8.77
Arunachal Pradesh,Shi Yomi,,,,,,,,,,,,,,,,,,,,6.94,7.15,7.14,7.15
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,6.24,6.24,6.29,4.81,6.15,6.17,6.42,6.42
Arunachal Pradesh,Tawang,5.12,5.0,5.0,5.5,5.5,6.0,6.5,6.5,11.0,11.0,9.0,9.48,10.0,10.0,9.98,9.07,8.41,8.41,8.41,8.41,8.39,8.7,8.71
Arunachal Pradesh,Tirap,5.38,6.0,5.9,5.91,0.86,5.95,5.93,3.78,5.1,4.07,4.11,4.24,2.5,2.68,3.84,7.43,7.43,7.51,7.52,7.53,7.56,7.5,7.5
Arunachal Pradesh,Upper Siang,8.0,5.0,4.73,4.73,5.54,5.0,5.0,5.0,6.11,8.0,8.0,8.44,8.5,8.6,8.61,7.72,7.72,7.79,7.79,7.79,7.82,7.8,7.8
Arunachal Pradesh,Upper Subansiri,8.53,7.5,8.35,8.15,6.11,6.53,11.98,14.06,6.79,6.79,8.83,9.3,9.46,10.43,10.36,9.11,8.08,8.13,8.1,8.1,8.13,8.1,8.1
Arunachal Pradesh,West Kameng,9.0,9.0,9.0,9.0,7.8,8.5,7.8,4.5,5.02,8.1,8.09,8.5,8.09,8.08,7.96,7.39,7.39,7.42,7.41,7.41,7.39,7.68,7.68
Arunachal Pradesh,West Siang,5.56,5.73,6.09,6.09,5.0,5.96,6.13,6.5,6.33,6.36,6.38,6.72,6.64,6.65,6.7,6.89,6.89,6.94,6.95,6.97,7.05,7.93,7.93
Assam,Baksa,,,,,,5.05,6.49,7.67,6.25,5.86,6.76,5.73,7.8,4.62,5.53,5.44,5.2,5.4,6.41,5.93,7.23,6.73,10.1
Assam,Barpeta,10.67,8.72,8.46,8.73,8.83,4.13,5.18,9.38,8.11,6.56,9.21,7.91,10.66,8.05,9.68,8.28,9.51,10.07,9.88,8.66,9.01,8.02,12.4
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,,7.39,5.89,8.93
Assam,Bongaigaon,10.49,11.6,12.38,6.45,9.71,6.45,8.31,7.62,6.5,8.38,9.72,8.38,7.37,7.22,8.19,6.65,8.1,8.07,7.64,8.19,6.58,6.25,9.87
Assam,Cachar,4.81,4.09,5.05,4.5,5.51,4.89,4.37,3.86,5.86,7.1,7.48,4.06,4.52,3.96,7.05,4.51,5.75,5.3,5.93,5.73,7.62,5.29,6.36
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,,7.35,10.4,9.44
Assam,Chirang,,,,,,6.32,6.49,9.1,7.96,8.71,7.52,7.6,7.64,8.18,9.21,7.38,7.97,7.1,7.47,8.64,7.24,9.69,12.84
Assam,Darrang,6.98,6.95,6.16,6.26,9.86,5.52,8.91,4.47,5.28,7.46,7.61,8.84,6.45,8.19,9.09,4.89,8.92,7.87,9.84,9.87,6.95,8.04,9.1
Assam,Dhemaji,4.82,4.11,4.37,4.74,4.21,4.2,4.84,5.42,3.73,5.73,6.61,4.26,5.06,4.08,4.28,7.11,4.68,4.79,4.34,5.48,6.98,4.25,5.11
Assam,Dhubri,9.81,9.61,8.94,8.8,9.08,2.99,10.43,7.96,9.33,7.06,8.36,8.5,8.47,10.35,12.39,11.78,11.39,10.57,8.96,9.16,11.74,10.09,13.63
Assam,Dibrugarh,5.34,7.48,6.74,5.22,6.15,6.06,7.25,4.23,6.58,7.26,7.74,6.98,7.43,7.15,7.5,6.69,7.31,7.01,7.5,7.22,7.35,7.22,9.75
Assam,Dima Hasao,8.25,7.75,7.82,6.97,8.06,5.08,6.49,6.93,6.59,7.26,7.73,6.98,7.43,7.15,7.5,6.68,7.31,7.01,7.49,7.22,7.35,7.22,9.75
Assam,Goalpara,7.35,6.79,8.06,8.7,6.02,6.16,6.82,7.55,8.41,7.27,13.92,8.24,8.81,10.06,8.11,6.68,6.77,6.73,7.15,7.97,7.74,10.44,11.85
Assam,Golaghat,7.64,7.12,9.21,7.76,7.69,8.31,8.95,8.0,8.75,8.98,7.14,8.68,8.4,7.02,7.66,6.31,8.09,8.26,7.03,8.16,6.96,5.75,12.44
Assam,Hailakandi,3.72,4.57,5.62,4.13,3.9,3.92,3.53,3.43,3.97,4.1,4.2,5.47,5.82,4.82,5.1,4.86,5.76,7.59,6.67,8.58,13.33,10.21,9.75
Assam,Hojai,,,,,,,,,,,,,,,,,,,,,7.35,7.83,12.14
Assam,Jorhat,9.76,7.08,5.96,5.72,6.09,5.24,5.51,3.9,5.29,4.36,5.04,7.09,6.58,6.29,7.15,7.27,7.98,7.97,7.72,6.73,4.85,5.78,10.88
Assam,Kamrup,8.07,6.67,6.57,9.31,7.55,6.55,9.65,10.49,11.18,12.2,13.62,9.42,6.99,7.76,12.09,7.21,7.39,7.59,7.09,9.81,10.61,7.62,8.26
Assam,Kamrup Metro,,,,,,5.77,9.1,6.93,6.58,7.26,7.73,6.98,5.42,15.71,10.63,3.58,7.18,6.85,14.7,9.9,6.56,7.07,9.85
Assam,Karbi Anglong,8.04,8.79,9.65,5.82,10.53,7.37,9.47,8.44,8.54,10.53,11.85,9.35,7.43,9.66,9.09,8.67,9.07,8.42,7.5,7.22,7.35,12.45,12.77
Assam,Karimganj,5.14,5.29,3.95,3.69,3.65,1.79,4.1,3.45,3.4,4.03,3.42,3.25,6.64,4.57,4.92,4.48,7.42,8.52,7.58,5.79,6.98,4.32,5.7
Assam,Kokrajhar,9.11,12.08,12.52,10.6,11.08,5.55,8.57,8.05,9.83,9.62,9.63,8.2,14.46,12.1,10.42,10.57,11.66,9.89,11.44,8.7,10.26,9.7,12.67
