State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Anantapur,0.18,0.14,0.13,0.04,0.05,0.2,0.39,,0.39,0.43,0.69,0.75,1.65,0.71,0.28,0.77,0.25,,0.15,0.49,0.51,1.1,0.57
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,0.6
Andhra Pradesh,Guntur,,,,0.33,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,0.34,0.37,0.37,0.34,0.24,0.35,0.4,,0.39,0.27,0.95,0.73,0.52,0.49,0.44,0.58,0.74,0.65,0.15,0.49,0.66,0.51,0.57
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,0.46
Andhra Pradesh,Prakasam,,,,,,0.29,0.4,,,,,,,0.69,0.33,,,,,0.43,0.67,0.67,0.57
Andhra Pradesh,Spsr Nellore,0.33,,0.32,0.3,0.22,,,,,,,,,,,,,,,,,,0.57
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,0.58
Andhra Pradesh,Srikakulam,,,,,,,,,,,,,,,,,,,,,,,0.56
Andhra Pradesh,Visakhapatanam,,,,,,,,,,,,,,,,,,,0.14,,,,
Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,,,,,,,,,0.5,,
Andhra Pradesh,West Godavari,,,0.33,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Y.s.r.,0.25,,,,0.25,0.32,,,,,0.68,,1.6,,0.31,0.79,1,,0.16,0.49,0.52,0.61,0.59
Bihar,Araria,,,,,,,,,,,,1,1,,,,,,,,,,
Bihar,Aurangabad,,0.67,,,,,,,,,,,,,,,,,,,,,
Bihar,Banka,0.83,0.75,,,,,,,,,,,,,,,,,,,,,
Bihar,Begusarai,1,,,1,,0.75,,,,,,,,,,,,,,,,,
Bihar,Bhagalpur,,,0.8,0.82,1,0.75,,0.67,0.67,,,,,,,,,,,,,,
Bihar,Bhojpur,,,,,,,,,,,,,,,,,0.75,1,,,,,
Bihar,Buxar,0.8,0.83,1,1,,,,,,,,,,,,,,,,,,,
Bihar,Darbhanga,,,,,,,,0.75,0.75,,0.75,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.82,0.81,0.82
Bihar,Gaya,,,0.75,,,1,,1,1,,,,,,,,,,,,,,
Bihar,Gopalganj,0.8,,,,,,,,0.82,,,,,,,,,,,,,,
Bihar,Katihar,,,,,,0.8,,,,,,,,,,,,,,,,,
Bihar,Khagaria,0.67,0.77,0.82,0.81,0.8,,,,,,,,,,,1,1,,,,,,
Bihar,Kishanganj,,,,,,,,,0.78,,,,,,,,,,,,,,
Bihar,Madhepura,,,,,,,,0.79,0.85,,,,,1,,,1,,,,,,
Bihar,Munger,,,,,,,,,,,0.81,,,,,,,,,,,,
Bihar,Muzaffarpur,,,,0.79,0.79,0.79,,,,,0.83,1,,,1,1,1,,,,,,
Bihar,Nalanda,,,,,,,,,,,,0.8,,,,,,,,,,,
Bihar,Nawada,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,
Bihar,Pashchim Champaran,0.78,0.79,0.81,0.81,0.8,0.81,,0.82,0.78,,0.81,0.67,1,,,,,,,,,,
