State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Anantapur,,,,1.13,0.61,0.55,,,1.36,0.83,1.7,1.62,1.82,1.61,1.14,1.07,0.36,1,1.1,0.53,0.65,0.28,1.84
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,2
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,1.84
Andhra Pradesh,Chittoor,,,,,,,,,,,,,1.82,1.64,,,,,,,,,
Andhra Pradesh,East Godavari,,,,,,0.55,1.02,,1.37,0.82,,1.62,,,2.27,,,,,,,,
Andhra Pradesh,Guntur,,,,1.1,0.61,0.55,1.02,,,,2,1.6,1.82,1.61,2.91,1.62,1.39,2,,,1.25,1.54,1.84
Andhra Pradesh,Krishna,,,,,0.56,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,,,,,,0.55,1.02,,1.36,0.82,1.7,1.61,1.81,1.61,1.17,1.44,1.44,1.96,1.96,1.76,1.62,1.84,1.83
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,1.84
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,1.84
Andhra Pradesh,Prakasam,,,,1.1,,,1,,1.38,,2,1.57,1.81,1.62,2.29,1.62,1,,2,,,1.57,1.84
Andhra Pradesh,Spsr Nellore,,,,,,,,,,,,,1.8,1.67,,,,,,,,,1.86
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,1.85
Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,,,,,,,,,,2,
Andhra Pradesh,Y.s.r.,,,,,,0.67,,,1.33,0.81,1.7,1.62,1.82,1.62,,1.5,0.88,2,1.91,,0.69,0.89,1.84
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,2.25,1.43,1.43,1.43,1.36,0.78,1.13
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,0.99,2.98,2.93,2.93,2.9,1.94,1.22
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,1.23,0.73,0.73,0.73,0.73,0.74,0.75
Arunachal Pradesh,East Kameng,,,,,,,,,,,,,,,,,1.64,1.05,1.05,1.05,1.02,1.24,1.5
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,1.29,1.01,1.01,1.01,1.04,1.46,1.56
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,0.65,0.65,1.44,0.91,1.06
Arunachal Pradesh,Kra Daadi,,,,,,,,,,,,,,,,,9.5,0.36,0.36,0.5,0.71,1.06,1.07
Arunachal Pradesh,Kurung Kumey,,,,,,,,,,,,,,,,,1.01,2.91,2.91,2.91,0.94,1.23,1.1
Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,2,1.86,1.22,1.5
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,0.76,0.1,0.1,0.1,0.19,1.48,1.12
Arunachal Pradesh,Longding,,,,,,,,,,,,,,,,,1.26,1.53,1.53,1.53,1.53,0.88,0.96
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,0.71,1.37,1.38,1.38,1.38,1.43,1.33
Arunachal Pradesh,Lower Siang,,,,,,,,,,,,,,,,,,,2.37,2.37,2.41,1.31,1.24
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,3.09,0.39,0.53,0.57,2.91,1.28,1.21
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,1.05,2.17,2.17,2.17,2.17,2.16,2.14
Arunachal Pradesh,Pakke Kessang,,,,,,,,,,,,,,,,,,,,1.03,1.04,1.24,1.73
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,1.08,0.94,0.94,0.94,0.5,1.15,1.15
Arunachal Pradesh,Shi Yomi,,,,,,,,,,,,,,,,,,,,1.33,1.14,1,0.9
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,2.94,5.37,5.37,5.37,5.5,1.35,1.25
Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,1.78,1.46,1.47,1.46,1.51,1.51,1.52
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,2.69,1.48,1.48,1.48,1.48,1.2,1.3
Arunachal Pradesh,Upper Siang,,,,,,,,,,,,,,,,,,,,,,1.33,1.36
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,2.11,0.65,0.61,0.62,0.65,0.94,1.09
Arunachal Pradesh,West Kameng,,,,,,,,,,,,,,,,,1.62,0.99,0.99,0.99,1.04,1.17,1.34
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,2.62,1.9,1.4,1.44,0.57,1.47,1.13
Bihar,Begusarai,,,,,,,,,,,,,,,,,,,,0.76,0.46,0.76,0.91
Bihar,Khagaria,,,,,,,,,,,,,,,,,,,,0.59,0.56,0.23,1.05
Bihar,Lakhisarai,,,,,,,,,,,,,,,,,,,,0.75,0.47,0.78,
Bihar,Samastipur,,,,,,,,,,,,,,,,,,,,0.9,0.46,0.75,2.43
Chhattisgarh,Balod,,,,,,,,,,,,0.74,1.13,0.84,0.58,0.39,,,,0.85,0.66,,
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,0.91,1.93,1.62,1.12,0.89,1,0.5,0.83,1.27,0.82,0.83,1.19
Chhattisgarh,Balrampur,,,,,,,,,,,,0.71,1.07,0.73,0.54,0.37,7.92,0.31,0.57,0.91,0.61,0.52,1
Chhattisgarh,Bastar,0.77,1.09,0.8,1.28,1.36,1.25,1.71,1.57,1.32,1.09,1.47,1,1.76,,1.06,,,,1.2,,1,1.33,1
Chhattisgarh,Bemetara,,,,,,,,,,,,0.73,1.02,0.78,0.55,,0.62,0.22,0.5,0.87,0.61,0.6,0.8
Chhattisgarh,Bijapur,,,,,,,,,,,,,,,1,,,,,,,,
Chhattisgarh,Bilaspur,0.53,0.91,0.61,1,1.05,1.05,1.28,1.42,1.31,1.12,1.38,0.98,1.52,1.24,0.86,0.72,,0.47,0.92,1.35,0.86,0.9,1.17
Chhattisgarh,Dantewada,0.67,1.15,0.67,,0.96,0.89,0.79,1.38,2,1.14,1.42,1,1.57,1.43,0.88,0.56,1,,,,,,
Chhattisgarh,Dhamtari,,1,0.67,1.2,,1.31,1.45,,,,,,,,,,,,,,,,
Chhattisgarh,Durg,0.51,0.65,0.47,0.74,0.86,0.83,0.89,1.09,0.81,0.82,1.05,0.73,1.17,0.84,0.59,0.48,0.84,0.4,0.58,0.99,0.71,0.63,1.02
Chhattisgarh,Gariyaband,,,,,,,,,,,,1,,,,,,,,,,,
Chhattisgarh,Gaurella Pendra Marwahi,,,,,,,,,,,,,,,,,,,,,1.33,1.4,1
Chhattisgarh,Janjgir-Champa,0.67,1,0.83,1.08,1.2,1.03,1.19,1.41,1.36,1.33,1.52,1.03,1.63,1.32,0.96,0.68,1.07,0.43,0.77,,,,
Chhattisgarh,Jashpur,0.64,0.72,0.61,0.97,0.81,0.92,0.9,1.2,1.15,1.1,1.2,0.75,,,0.6,0.4,0.8,,,,0.75,1.2,1
Chhattisgarh,Kabirdham,0.44,0.68,0.57,0.99,1.03,0.85,1.06,1.09,1.14,1.13,1.27,0.89,1.35,1.23,0.4,0.52,0.86,0.32,0.53,1.17,0.75,0.87,1
Chhattisgarh,Kanker,0.65,1.16,0.2,1.38,1.5,1.33,,,,,,,,,1,,,0.38,1,1,1.08,0.68,0.8
Chhattisgarh,Khairgarh Chhuikhadan Gandai,,,,,,,,,,,,,,,,,,,,,,,0.98
Chhattisgarh,Kondagaon,,,,,,,,,,,,1,,,,,,,,,,,
Chhattisgarh,Korba,0.5,1,,,0.5,0.67,0.67,1.33,1.33,,0.67,0.75,1,1,0.67,1,,,1,1,,,
Chhattisgarh,Korea,0.6,0.5,0.43,0.5,,0.33,0.67,0.75,1,1,,0.67,,1,0.6,0.25,0.75,0.33,0.67,0.8,,,
