State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
A & N Islands,Nicobars,2.0,1.0,8.0,,,,2.5,,,,3.12,2.33,0.56,33.95,11.44,2.0,1.47,0.78,3.33,4.05,4.09,5.47,
A & N Islands,North And Middle Andaman,26.5,29.37,,,,,21.04,,,,12.13,18.02,22.53,23.41,14.29,17.11,11.09,2.84,4.06,7.19,4.44,4.36,7.21
A & N Islands,South Andamans,,,30.24,10.74,10.74,19.12,18.68,,,,5.96,9.09,20.03,35.79,36.09,27.52,17.54,5.62,14.08,15.94,47.26,29.69,29.64
Andhra Pradesh,Alluri Sitharama Raju,,,,,,,,,,,,,,,,,,,,,,,71.02
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,58.82
Andhra Pradesh,Anantapur,89.42,86.67,68.33,71.33,85.18,90.8,91.26,,93.93,89.0,89.28,95.58,,94.32,81.87,82.58,100.0,104.43,95.0,99.72,97.97,86.08,99.31
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,98.85
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,79.0
Andhra Pradesh,Chittoor,91.21,86.04,68.08,70.1,85.07,87.85,92.11,93.97,84.11,83.15,83.38,90.73,89.0,91.04,79.05,80.76,87.83,95.58,87.13,93.17,91.15,96.68,93.87
Andhra Pradesh,East Godavari,88.93,89.98,82.31,85.83,84.99,79.57,89.04,87.53,85.28,93.54,83.25,84.76,79.36,84.1,85.16,89.1,89.72,88.42,90.28,89.16,76.72,77.91,88.41
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,96.02
Andhra Pradesh,Guntur,79.85,81.81,66.13,71.47,76.41,71.06,78.98,58.5,75.33,100.74,85.28,104.0,,102.86,98.09,103.19,106.15,106.59,95.78,91.72,91.46,95.27,71.32
Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,89.05
Andhra Pradesh,Krishna,109.22,104.04,100.98,75.44,100.77,83.49,91.4,103.44,95.37,87.36,94.63,101.21,85.88,89.8,83.79,102.48,90.47,92.19,99.37,92.73,90.5,100.81,108.55
Andhra Pradesh,Kurnool,71.89,86.98,73.83,72.5,87.52,96.66,93.8,71.5,89.84,82.62,97.19,101.79,69.0,107.08,116.79,99.6,105.19,130.81,90.36,86.48,109.66,111.75,96.08
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,96.94
Andhra Pradesh,Ntr,,,,,,,,,,,,,,,,,,,,,,,72.03
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,68.33
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,74.84
Andhra Pradesh,Prakasam,80.28,81.75,65.0,71.01,74.42,71.96,79.47,,80.0,74.0,82.0,81.0,51.0,78.95,72.0,79.53,78.0,71.1,82.0,75.61,74.76,76.72,65.67
Andhra Pradesh,Spsr Nellore,80.44,88.32,104.19,96.1,94.53,93.97,114.44,94.6,87.81,100.77,91.87,107.76,97.3,104.37,98.43,103.29,96.64,103.0,84.92,84.55,31.0,79.0,
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,92.67
Andhra Pradesh,Srikakulam,75.8,81.44,65.79,71.29,76.13,72.87,76.09,70.73,76.77,71.41,56.96,69.82,70.29,69.66,68.31,77.41,78.75,84.11,75.47,76.0,72.06,70.0,90.22
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,90.48
Andhra Pradesh,Visakhapatanam,60.77,59.99,36.04,50.92,51.04,49.21,58.5,62.29,56.45,46.1,57.23,56.86,54.53,55.94,48.33,56.06,58.96,57.46,62.76,63.1,64.09,60.94,67.75
Andhra Pradesh,Vizianagaram,73.65,68.98,43.25,49.54,62.02,49.42,55.18,56.64,52.64,50.9,63.95,65.29,62.31,62.87,60.52,64.61,66.81,64.6,65.02,63.32,65.31,77.85,62.23
Andhra Pradesh,West Godavari,72.45,93.45,83.33,91.42,90.09,89.84,91.56,95.17,101.42,99.75,95.88,92.66,90.63,92.15,90.74,92.57,88.52,106.84,99.06,98.23,98.77,98.43,71.02
Andhra Pradesh,Y.s.r.,92.36,93.11,73.86,72.49,89.03,95.8,97.8,82.0,75.0,87.63,90.31,81.39,,64.4,82.09,74.66,77.57,97.29,65.47,71.0,76.44,69.2,95.45
Arunachal Pradesh,Anjaw,,,,,10.0,10.0,1.0,6.0,5.43,5.17,,,,,,,,,,,,,
Arunachal Pradesh,Changlang,3.01,2.75,3.0,6.72,16.0,7.0,7.09,11.5,12.94,13.01,13.01,13.22,,12.65,12.99,13.84,14.1,14.61,14.68,14.72,14.77,14.77,14.77
Arunachal Pradesh,Dibang Valley,20.0,21.0,,,,,,,,,,,6.52,,,,,,,,,,
Arunachal Pradesh,East Kameng,,,,,,,,,7.48,,,,,,,,,,,,,,
Arunachal Pradesh,East Siang,40.67,40.0,40.63,39.59,10.0,40.63,40.63,40.67,33.94,39.25,39.31,40.17,10.0,36.5,35.21,46.73,44.55,38.68,38.89,38.79,38.42,38.42,38.43
Arunachal Pradesh,Kamle,,,,,,,,,,,,,,,,,,,29.69,29.53,29.72,29.72,29.72
