location,tp_kharif_mean,tp_kharif_std,e_kharif_mean,e_kharif_std,swvl1_kharif_mean,soil_air_diff_kharif_mean,soil_air_diff_kharif_std,runoff_ratio_kharif_mean,e_rabi_mean,e_rabi_std,swvl1_rabi_mean,swvl1_rabi_std,soil_air_diff_rabi_mean,soil_air_diff_rabi_std,runoff_ratio_rabi_mean,tp_zaid_mean,e_zaid_mean,e_zaid_std,swvl1_zaid_std,soil_air_diff_zaid_mean,runoff_ratio_zaid_mean,tp_kharif_fraction,t2m_amplitude,t2m_peak_sin,t2m_peak_cos,GDD_kharif,GDD_rabi,heat_months_30C,heat_months_35C,humidity_variability,swvl1_amplitude,swvl1_stability,soil_moisture_seasonality,cvh,water_retention_index,humidity_stress_index
A & N Islands_Nicobars,0.2120748321976861,0.009158152721280097,-0.14498777658445755,0.01249804041690597,5.571480076666667e-07,1.4014774999999844,0.05591754166371964,0.0,-0.12439821164055795,0.017049924108429305,9.293025737499999e-07,3.3835617681559735e-07,1.6715878124999932,0.18172639360282514,0.0,0.14491678741675657,-0.12114150998725857,0.013288201233696291,7.913000999376799e-07,1.6590896874999856,0.0,0.34865668894574486,1.134985416666666,0.8660254037844387,-0.4999999999999998,69.32912291666679,67.03003375000014,0,0,0.40355743438004943,5.105874331e-06,9.164305105179103,-3.7215456608333317e-07,0.0,0.35796236140818993,8.448172542743812
A & N Islands_North And Middle Andaman,0.3375364751603531,0.009329427677952317,-0.13730473569982365,0.010667292179366532,0.12463141120833332,1.2066331250000246,0.09094845634480937,0.12714717357526326,-0.13394781885775342,0.013909609175896986,0.09895371120833327,0.02158417361422713,1.2453172916666944,0.13120003530659421,0.22118665145768335,0.0923596060737186,-0.11927443165768628,0.013719691084177298,0.02435371211179137,1.6540875000000028,0.09486676443182745,0.6058773401266184,2.4312550000000215,0.8660254037844387,-0.4999999999999998,68.62766250000004,66.73976125000002,0,0,1.009720818095324,0.08264981625000009,0.663153978990441,0.025677700000000053,0.09732383,0.1718576182968995,3.615981949308391
A & N Islands_South Andamans,0.3114755161853584,0.022785279701938988,-0.14468537529804348,0.010310115445575184,0.0167544084270833,1.3140727083333275,0.13603443538862794,0.024587278138975516,-0.13758306081338853,0.01844303297419228,0.013590853717708275,0.0026962829463698184,1.5020169791666689,0.18038303460713367,0.025422492867283975,0.11109316611695394,-0.1228038251817148,0.015492596094701003,0.003548746560585853,1.6501268749999696,0.011569266947022084,0.5365463266824025,1.8434733333333497,0.8660254037844387,-0.4999999999999998,69.31792083333346,67.79789166666677,0,0,0.8465053777177771,0.0109004423083334,0.6506014435408514,0.0031635547093750264,0.009017047,0.2776370619968518,4.320013474904451
Andhra Pradesh_Alluri Sitharama Raju,0.3124455391565182,0.04486415648760125,-0.09496610379331581,0.0030449644370187236,0.38968097802083335,0.550736770833339,0.1546621521589878,0.4522364491944981,-0.07928398449197013,0.017084336215175654,0.26575188531249994,0.06866067272900205,0.43344406250000134,0.10620021441987337,0.7747017082557622,0.0432969655849764,-0.07758693910121404,0.018398529127932366,0.0334312372390276,1.0847626041666558,0.21114004347325216,0.7528840713837027,8.343843750000019,0.49999999999999994,-0.8660254037844387,64.47652750000003,50.28560291666673,0,0,1.9686194778080592,0.23831822833333338,0.6115726498730771,0.12392909270833341,0.73743427,-0.05907528266216322,2.7075879003585213
Andhra Pradesh_Anakapalli,0.2285856216682683,0.028608624238054405,-0.10753072337683982,0.002641423267188227,0.28527372010416663,0.5483131250000071,0.1744547638886665,0.2377163791693181,-0.0860469334026371,0.01717063718281694,0.19182942621875,0.05604024933885352,1.0208588541666614,0.20002103211946048,0.44147034491705556,0.029884042888989777,-0.07568494078320018,0.012605519114609847,0.015958258604263836,1.4857630208333603,0.16602795944962168,0.706428263289176,7.859465416666637,0.49999999999999994,-0.8660254037844387,72.36087541666672,56.03903541666676,1,0,0.9585823465161176,0.1910111067916667,0.6695713391402465,0.09344429388541664,0.4030196399999999,-0.06985406034412434,4.945039016001097
Andhra Pradesh_Anantapur,0.10073675592927117,0.016360673348297,-0.06991816226218352,0.006771523006491179,0.2950855090625,1.4140688541666862,0.27483156141098725,0.029986017953210372,-0.04694115154628273,0.01940595260201723,0.23259851624999997,0.050691228425034686,1.9830842708333591,0.258298656551888,0.031043378652233715,0.020710397894179174,-0.034486061415615527,0.010346671088087747,0.019497528374092347,2.917444270833343,0.0231594000773741,0.6016388645717017,8.329816666666716,0.8660254037844387,-0.4999999999999998,70.24467666666669,60.33073416666673,3,0,3.7342883786469447,0.15697522875,0.5319652233981852,0.0624869928125,0.01162804,0.06612087105633857,2.608776373487047
Andhra Pradesh_Annamayya,0.0962783840107779,0.012710103684997425,-0.07579992458583235,0.005919864487634308,0.260897085,1.2377078125000196,0.17897316606055,0.032185039732513784,-0.06373250275889095,0.00999965361442159,0.254677063125,0.046345400066728645,1.516315833333337,0.18018493402395475,0.0868196326171307,0.022591074640428525,-0.04921475298336485,0.008655183193443463,0.016780411105056094,2.3516239583333487,0.02040994878008208,0.4912776658870341,8.679517083333337,0.49999999999999994,-0.8660254037844387,72.22942875000001,55.64622541666671,2,0,2.529720977201749,0.15498217354166668,0.5940356656022688,0.006220021874999981,0.10845981,0.004698730730834599,3.1371390021069274
Andhra Pradesh_Bapatla,0.1570884970781965,0.026288022035369965,-0.1167648017629592,0.003994640776527034,0.2906589695833333,0.7987101041666733,0.23437362656013094,0.09125660365121496,-0.0865427559777647,0.01729043665067958,0.24706243781249995,0.05608731181187418,1.3201554166666654,0.2548007507131293,0.30651579859882205,0.0202261820467791,-0.0807066025263338,0.016101651745363117,0.007931329103166716,2.3134272916666703,0.16353591029735143,0.6311797033515271,8.206262500000037,0.49999999999999994,-0.8660254037844387,80.9734941666668,64.07263666666677,4,0,1.3356574147757383,0.1621699258333334,0.5579388314277998,0.04359653177083336,0.0518864,-0.2324221043674093,4.251151196474843
Andhra Pradesh_Chittoor,0.1074727457040959,0.012640860756048393,-0.08916822884687756,0.005450894017872706,0.2848203852083333,1.1509352083333368,0.13337547695639645,0.0363526830458554,-0.07398829575928771,0.012011776928807094,0.2829649669791666,0.04998573039851992,1.4627801041666686,0.18844129998776704,0.11516893430879362,0.031242910123222972,-0.06442420457763842,0.01286564058328264,0.02193864801844454,2.3127247916666533,0.03064767760824555,0.47099209498159655,7.794919166666659,0.49999999999999994,-0.8660254037844387,70.34195750000009,54.030662083333425,1,0,1.9910103446943834,0.16227313625,0.5697384902113116,0.0018554182291666832,0.050153118,-0.03370995454277215,3.5351829929049754
Andhra Pradesh_East Godavari,0.24465944731734143,0.03914789355411545,-0.1159830239072713,0.0017133925377492002,0.4095926287499999,0.5475081250000073,0.1804717450690785,0.2656277295464352,-0.07964798982478283,0.021645656232640535,0.29527024520833334,0.06586840887686653,1.078178749999978,0.30279816414022254,0.6209024969521912,0.023279479995778625,-0.0804446425972855,0.018735502203409308,0.015872911710394743,1.7290875000000057,0.1957490236142539,0.7615967067213651,7.961503333333269,0.49999999999999994,-0.8660254037844387,75.52341500000006,61.811515000000156,3,0,1.295095423091377,0.22381487208333337,0.5464328612709035,0.11432238354166657,0.45692417,-0.12501947988274598,4.049543315069418
Andhra Pradesh_Eluru,0.24129526874457946,0.03329150175071325,-0.1122853329021987,0.001971174595038333,0.43123233166666664,0.5647963541666456,0.18161234527617204,0.26810844735667566,-0.07491057104198252,0.022013157647000844,0.321751420625,0.06057892476621128,1.0421835416666738,0.26784009667365155,0.6069170723967146,0.02086335683406855,-0.07524571289832227,0.018681572791074647,0.014714048282096822,1.7056394791666634,0.1708031483706011,0.7675954268881445,8.106683750000002,0.49999999999999994,-0.8660254037844387,75.51543791666683,61.96987875000008,3,0,1.4834352578345733,0.20576607500000002,0.4771582738352114,0.10948091104166663,0.42945892,-0.10297349034547165,3.8596957394883615
Andhra Pradesh_Guntur,0.17564652495821056,0.025329450508642104,-0.11385762863210394,0.00552949422150718,0.3152240294791666,0.7804787500000003,0.2165951081404842,0.11882781926131886,-0.0811501596605618,0.02013154105123372,0.24851420697916665,0.06025808111685065,1.2342263541666654,0.2571825504541665,0.2584782552952808,0.020726875795894176,-0.07628649031054607,0.01704526723660745,0.010261441790563666,2.093814270833363,0.1178631254248868,0.6839342161858184,8.725287500000036,0.49999999999999994,-0.8660254037844387,80.47648375000006,63.5948033333334,4,0,1.5099680638478863,0.18419919583333327,0.5843437638230785,0.06670982249999996,0.08830769,-0.1751962264150031,4.0066076097279
Andhra Pradesh_Kakinada,0.2288576689049174,0.03432451965870397,-0.11126378712651776,0.003072041962576043,0.30072489510416667,0.4681552083333287,0.14422859956930933,0.20686588830304253,-0.08697628254352208,0.01830785097907846,0.2107074124999999,0.051783935635736446,0.9069314583333323,0.16892411886557104,0.5720522018196476,0.023189395541644724,-0.07462290537296205,0.011196224314910217,0.011881193452667742,1.2748471875000007,0.17032191972903848,0.7254353949456942,7.6572320833333265,0.49999999999999994,-0.8660254037844387,75.09160708333343,60.733364166666775,2,0,0.8288082190348321,0.17338997041666668,0.5765733839780939,0.09001748260416675,0.67589283,-0.07178975567240031,5.682491514333325
Andhra Pradesh_Konaseema,0.21601910250077094,0.030998952092218784,-0.12170402500972453,0.0030798730299116815,0.2419882522916666,0.505880833333336,0.1465239369170492,0.14352004409692237,-0.10319097484170917,0.013536178343875636,0.17973565974999997,0.048769553847473696,1.0197048958333426,0.14315275417321113,0.39165370021262746,0.0184615504715956,-0.09129098256380522,0.009604194711999199,0.007021419437422704,1.3722430208333236,0.1731264246121341,0.7000011100197067,7.2042187499999955,0.49999999999999994,-0.8660254037844387,76.75172541666677,63.27785916666676,2,0,0.682842331011363,0.15858195454166663,0.6553291452782137,0.062252592541666624,0.33922154,-0.16810785184669697,6.524374410975131
Andhra Pradesh_Krishna,0.18309563076460705,0.02780636864185282,-0.11954645535539982,0.004145263337031657,0.27395204375,0.7134770833333448,0.2132851017444127,0.12003094905680833,-0.09340694989199004,0.016957791744512955,0.21897588656249994,0.05667910270824162,1.179410208333337,0.23630010813284477,0.2508269191269361,0.02015572868014685,-0.08202982986404087,0.012501138492891866,0.007509170792237407,2.0541787499999913,0.11966506658107649,0.6618347018298428,7.696852916666614,0.49999999999999994,-0.8660254037844387,79.14557250000007,64.19831333333343,3,0,1.0485783869420284,0.17221996641666673,0.6286500515171526,0.05497615718750004,0.13728194,-0.18630511758554635,4.9525755281685875
Andhra Pradesh_Kurnool,0.12697498133699497,0.020194152153397777,-0.07931923451663644,0.008388445916541648,0.38014206770833336,1.3879200000000083,0.3544683408821876,0.041876608498026775,-0.04849165730108013,0.021014959973891478,0.2946469421875,0.04415436530334032,2.1044753125,0.25050224367833945,0.03598691455270026,0.01683143111053205,-0.04272750882773822,0.008047576519659247,0.014106983608074707,2.799280208333329,0.026219757439549216,0.6919570009587167,8.304942916666676,0.8660254037844387,-0.4999999999999998,71.67378708333342,61.85272666666674,3,0,3.6551798909129807,0.15849732875,0.4169423544873444,0.08549512552083338,0.0037691363,0.0287651902533671,2.7190711693297893
Andhra Pradesh_Nandyal,0.135046853719056,0.020411873840316973,-0.08519281031597822,0.006862759588671632,0.33938052354166665,0.9579216666666355,0.2679757351880182,0.05836928599636301,-0.055877878526492376,0.019327556712161822,0.2615769561458333,0.047908021327246475,1.4402279166666574,0.19321494442695045,0.0691585710129731,0.01712759746069625,-0.04535074767833663,0.009813859055370714,0.014916775512089265,2.0990265625000006,0.04222429478840428,0.6904972816455798,8.769492499999956,0.49999999999999994,-0.8660254037844387,73.02331250000015,60.962765833333435,3,0,3.0913493134343235,0.17353777333333342,0.5113368661299379,0.07780356739583333,0.20591842,-0.011545843710699777,2.8830775903228454
Andhra Pradesh_Ntr,0.20438130606695867,0.030926762840501335,-0.11224425885302473,0.004530018309528596,0.3868063833333333,0.6122397916666671,0.207379367542919,0.16739096653812263,-0.07588422524228607,0.02104565437891476,0.2921268234375,0.058609615380317566,1.0547613541666863,0.2154758393244667,0.35655774782528116,0.020217637114313652,-0.07488974793765607,0.01568444364955303,0.011369983243339368,1.7428941666667015,0.14318494076413563,0.7512610331373683,8.93855000000002,0.49999999999999994,-0.8660254037844387,77.85618666666676,62.8374454166667,3,0,1.8364820395417456,0.19807926333333328,0.5120889206283781,0.09467955989583327,0.27107617,-0.13418853004089815,3.5542577237231243
Andhra Pradesh_Palnadu,0.15819345585623515,0.024120774798442372,-0.1035647993849124,0.006451526886630048,0.3401224288541666,0.8676886458333541,0.2434211764106126,0.08501570687672863,-0.0675298676408904,0.020195727932040216,0.27152986395833334,0.05064667041785101,1.5256672916666787,0.2604360993545236,0.10287729417077224,0.0183393538987592,-0.06657961380309027,0.015822443071133126,0.008719024539417508,2.264051562500015,0.05460628424152803,0.6928675924742506,9.327863750000006,0.49999999999999994,-0.8660254037844387,79.69209125000003,62.84993541666671,3,0,1.8994680196790754,0.1639746454166667,0.48210477024134646,0.06859256489583326,0.05568028,-0.1259993927039157,3.858598420815795
Andhra Pradesh_Parvathipuram Manyam,0.2829149877507006,0.048544691352008736,-0.09561394164241686,0.0028544189446608435,0.4000470664583334,0.7264323958333563,0.182377895029396,0.38908412873380127,-0.07426380270771905,0.01823527933808478,0.2734763546875,0.0644793998766416,0.6261946875000035,0.09938876753617423,0.704364429474469,0.03732291350441122,-0.07766435125571045,0.019226212460639946,0.023731973344751255,1.2964678124999978,0.18731912221360233,0.7518345313169967,9.053969999999993,0.49999999999999994,-0.8660254037844387,69.8431716666667,51.99207041666676,1,0,1.8272914814758592,0.2320032679166668,0.5799399304952307,0.1265707117708334,0.6291098,-0.046916705617447874,2.973053324076127
Andhra Pradesh_Prakasam,0.11988926423934257,0.0188690014951444,-0.08811254546647727,0.0052923497954803994,0.28737122447916663,1.0057433333333279,0.21587453722827799,0.05420809551268729,-0.06509428836458625,0.013686245402297107,0.2519943980208333,0.04474478421694324,1.5163012500000121,0.1740757664411101,0.07944213926415292,0.019701880934529473,-0.06135264089728773,0.012702630174683654,0.009237541782252568,2.223249999999979,0.044798510921644184,0.5883110263768833,9.075572916666658,0.49999999999999994,-0.8660254037844387,78.19570625000011,61.00626666666676,3,0,1.8313875239700361,0.139604065,0.4857969521931754,0.035376826458333344,0.1069082699999999,-0.10707722101107153,3.9989737416173647
Andhra Pradesh_Spsr Nellore,0.09349644429433578,0.016763492663910837,-0.0855375451986522,0.004017458201763244,0.23810887072916664,1.1685556250000246,0.1882964803815803,0.025183358945936603,-0.07583363498876367,0.006365323845334935,0.2521407410416666,0.03967085261494373,1.6426193749999953,0.20047033797838124,0.09234383138994386,0.018827181408319325,-0.06899920913807962,0.008994317907807239,0.008095002042537002,2.377359166666693,0.048583655211412266,0.4399405065788551,8.75974791666664,0.49999999999999994,-0.8660254037844387,82.51059458333339,63.17523041666681,5,0,1.9177536123072079,0.14679023500000002,0.6164836889548914,-0.014031870312499972,0.008346834,-0.10917394859413043,3.6076086122572537
Andhra Pradesh_Sri Sathya Sai,0.09894658326569081,0.011866929271053324,-0.07110668033419633,0.005652332347178313,0.2682749025,1.2849980208333278,0.20572048193407924,0.024513153733846358,-0.05321696281013515,0.017330036491389634,0.21838894906249995,0.05265203255319666,1.7033688541666692,0.21752065320350952,0.046075156568426145,0.025661531209552526,-0.036879931857280626,0.011559460724596642,0.024227577032571085,2.5308907291666998,0.016124888345020478,0.5468318963149219,8.212914583333315,0.8660254037844387,-0.4999999999999998,67.13008500000007,56.332209583333395,2,0,3.612855212441118,0.15475343316666668,0.576846479952282,0.049885953437500075,0.03501418,0.08458941755784732,2.5363851540937667
Andhra Pradesh_Srikakulam,0.2640830228532043,0.04483795980616237,-0.10644443380927734,0.0016651858860322144,0.25712762354166663,0.7783115625000079,0.16204861583795369,0.2941998607274525,-0.08814916667688513,0.017458780733142273,0.15899626190624996,0.05172104867990815,1.077135520833309,0.1471623519131518,0.8040569129238716,0.025715267984384726,-0.07821366304051469,0.011629520275070863,0.010440931110755043,1.523398645833339,0.25201978845322387,0.741990004854395,7.912731666666673,0.49999999999999994,-0.8660254037844387,73.89900416666671,57.04079541666681,1,0,0.8968477370655898,0.1809111393333334,0.7035850012591797,0.09813136163541666,0.2758133,-0.06070223032882094,4.6573126466612935
Andhra Pradesh_Tirupati,0.09641413897164353,0.012957357351550278,-0.09787321153514,0.004155039870229183,0.2487795802083333,1.11047916666665,0.18939375959267432,0.029489853696448333,-0.08763426709871652,0.006201321238538766,0.27467277760416664,0.04264072912081284,1.3516555208333187,0.2000234263431506,0.20390488681656072,0.0198232240471819,-0.08201121710468813,0.009842601796763308,0.00887720979123527,2.1721909375000052,0.12501764895805398,0.40930041069673956,8.198917083333356,0.49999999999999994,-0.8660254037844387,79.85791250000011,60.951026666666735,4,0,1.803466927481866,0.16570725875000003,0.6660806269197547,-0.025893197395833345,0.113886,-0.16516884437899004,3.479816854320456
Andhra Pradesh_Visakhapatanam,0.2065955327683089,0.034189078183907554,-0.10608184799396735,0.004019859338880309,0.2279957734375,0.6750391666666502,0.16275291317876545,0.16035395280941472,-0.09121953730937082,0.015543666878394856,0.15916426605208328,0.04315487435382142,1.2822702083333297,0.17067866901268866,0.24386190501747518,0.019153604991818826,-0.07330467967161278,0.006497948979937273,0.006252410172697402,1.4260065624999925,0.1132437395144386,0.6911324312526335,7.7690000000000055,0.49999999999999994,-0.8660254037844387,75.25422583333346,59.087659166666754,2,0,0.7561179344848404,0.15550235858333333,0.6820405318871443,0.06883150738541671,0.35358343,-0.06562341866755994,5.85596815637814
Andhra Pradesh_Vizianagaram,0.24527450992657873,0.038606404645252855,-0.09837176030850961,0.001982358205342931,0.3814889576041666,0.7586729166666544,0.17440691634510674,0.3162534068699685,-0.07507721751123113,0.018501381344763253,0.27811529989583333,0.05770437355247881,0.9259881250000319,0.12709239895208232,0.5840073398081465,0.0280303387173053,-0.06997213028565347,0.013223143460141263,0.013757109851935977,1.4114686458333239,0.18791733723621043,0.7275156344172485,8.759923333333347,0.49999999999999994,-0.8660254037844387,74.34286041666678,56.33700916666669,2,0,1.2283381233080488,0.20498846499999998,0.5373378728636655,0.10337365770833329,0.6375386,-0.03827161392644973,4.106948161498495
Andhra Pradesh_West Godavari,0.21285242621403686,0.02855289851210295,-0.1245350496392347,0.0028426867803798372,0.31697707249999996,0.6283465625000133,0.22697637979919588,0.15343101962571837,-0.0894067066801653,0.020505108474754535,0.2322860432291666,0.05953707188526421,1.2933489583333255,0.37739180423573704,0.7347775397293694,0.018382405909077103,-0.08815646809913832,0.016352534863955645,0.010357061969404197,2.1728340624999873,0.2749466762762624,0.7217341499805987,7.524406666666664,0.49999999999999994,-0.8660254037844387,77.67553791666666,63.67092625000009,3,0,0.9341467959661354,0.18984710375,0.598930081133865,0.08469102927083336,0.16300137,-0.1777773664797312,5.207903634089667
Andhra Pradesh_Y.s.r.,0.09981078593015498,0.016584363047833915,-0.07254891893535378,0.007515860097947764,0.27625015437499995,1.3089554166666773,0.2554442736679523,0.02627262655066824,-0.05250439876666248,0.014516432989299832,0.24432898552083332,0.04467714039579666,1.8324436458333366,0.23103610579447775,0.050059875709968414,0.017864639918384273,-0.03581501281936038,0.009004199523412785,0.014781298613835004,2.7932503124999926,0.03229724855458563,0.5648449994507595,9.185570416666678,0.49999999999999994,-0.8660254037844387,77.89739416666674,62.58685791666676,4,0,2.8720054107094533,0.1480157123333333,0.5358031841401513,0.031921168854166626,0.08496559,0.06334808710068951,3.191382260959458
Arunachal Pradesh_Anjaw,0.4277480645202255,0.08861150406504854,-0.0752723279717125,0.002693735445564512,0.4145657075,-0.014200937500007171,0.2095621425443797,0.8571664320034539,-0.04470181454901942,0.01666340068709356,0.3431846220833333,0.01601157563504093,1.0035070833333322,0.730340478060133,0.735633316447003,0.2564647847175365,-0.050000341534541706,0.018099147680189717,0.018387417840580428,-0.026075520833316546,0.6726400677295202,0.5550427934885147,15.861662499999966,-0.8660254037844385,-0.5000000000000004,17.966162500000053,0.13823916666666491,0,0,1.2141735517469456,0.09206253625000005,0.22206983014869858,0.07138108541666671,0.43351364,-0.07772409263863647,2.7218184311771605
Arunachal Pradesh_Changlang,0.47001459312741634,0.09164970466086943,-0.08800679540824292,0.0032083060200255712,0.47336147083333335,-0.478060937500004,0.06918903290945741,0.7929368016812373,-0.06335220934488453,0.013575654829148975,0.3844310752083333,0.03298827100292171,-0.7578125,0.10934289890351095,0.7716568068649882,0.2113111118014785,-0.08417506130111475,0.01579779541743168,0.022514385136987974,-0.8534780208333217,0.46334799137531263,0.6219933631766652,12.310671666666678,-0.8660254037844385,-0.5000000000000004,51.80119875000008,18.493937083333435,0,0,0.8545038203011113,0.13024391125000007,0.2751468365617316,0.08893039562500005,0.94194275,-0.10463058317205587,3.736227623343162
Arunachal Pradesh_Dibang Valley,0.5062495059343444,0.09255842605910417,-0.07093087606093218,0.004971855394051638,0.4116818725,-0.14093322916667717,0.4848532466838828,0.9200921789923052,-0.03458373723333345,0.0166249279138514,0.3694199147916667,0.011283604104847252,2.6483743749999746,1.5661303296583513,0.5919521758631406,0.4182435101441418,-0.03404699999737195,0.011686800833571452,0.02010376979552207,0.44057322916667374,0.6790282880488889,0.46634254989337975,17.177936666666653,-0.8660254037844385,-0.5000000000000004,12.44326041666676,0.0,0,0,0.8444192056794187,0.057413822916666524,0.13946162498730502,0.0422619577083333,0.43437693,-0.0486523412181164,3.3902551257074194
Arunachal Pradesh_East Kameng,0.9899642415305909,0.11570955650485489,-0.07024988094296221,0.0026279697261409234,0.42368123364583327,-0.3335835416666697,0.17607641959666828,0.9586278255386935,-0.05019012901054027,0.0120852508578241,0.36908255208333324,0.019159912134008295,0.6747705208333485,0.4725083674930025,0.7458303748930788,0.5348848917734964,-0.06000380753175698,0.013962397878152835,0.01563598344176451,-0.15441989583334248,0.8032530185130751,0.5539006164225752,14.148667499999988,-0.8660254037844385,-0.5000000000000004,29.664140416666726,3.252840416666686,0,0,0.939218940010072,0.07493403249999997,0.17686417653003572,0.05459868156250003,0.81201255,-0.059588989125973824,2.7373631004010472
Arunachal Pradesh_East Siang,0.45341595623661607,0.09174630761046496,-0.0932309980489662,0.003137465220016826,0.45808545770833337,-0.30901781250000226,0.049652308363406096,0.8093178013225668,-0.06254697398253473,0.015892681558275536,0.3566843217708333,0.03116121207936887,-0.9495084375000147,0.14319875920207467,0.7156639929644977,0.36694866965020384,-0.08470813522217202,0.01781828973147104,0.027772319586448834,-0.733993958333329,0.5939178970276914,0.5133393271659353,11.83316874999997,-0.8660254037844385,-0.5000000000000004,64.34082041666676,32.93340750000016,0,0,1.056702409126768,0.14004598916666672,0.3057202249276272,0.10140113593750005,0.70103127,-0.0815865091003149,4.238679669488148
Arunachal Pradesh_Itanagar Capital Complex,0.4168244036263786,0.08291492063312667,-0.09614457686257075,0.003469568415349384,0.46525518,0.3247568750000056,0.04594957951205974,0.793566514381896,-0.06637696014877284,0.0161821083399715,0.36304116499999994,0.03056856882149161,0.12074812499999155,0.0669985429266596,0.7402224999223348,0.29094986502241227,-0.08441067782647822,0.016317417656303207,0.029143627007372518,0.21671999999999514,0.5329810194548458,0.5393024945199058,12.379061666666587,-0.8660254037844385,-0.5000000000000004,59.42926541666674,27.199265416666776,0,0,0.7636860299216512,0.13589799083333332,0.2920934503799255,0.10221401500000005,0.96713257,-0.11305634818426324,4.0227705241063
Arunachal Pradesh_Kamle,0.5682473602258444,0.09080004701164732,-0.08233087147527829,0.006276464728317933,0.41373560072916665,-0.15782343749998518,0.05845289660688348,0.8687005117776149,-0.0647743737839239,0.011911741529665442,0.33834047135416667,0.026714896677902448,-0.7611731250000275,0.17176027001920852,0.7677436366257397,0.3617728364357996,-0.07530356351223108,0.011541089944761407,0.017997657556955024,-0.5734067708333299,0.6262429153801339,0.5447884012047426,12.194350416666623,-0.8660254037844385,-0.5000000000000004,51.11350333333337,19.374258750000138,0,0,0.7437353111160059,0.10598503791666658,0.25616610639712606,0.07539512937499998,0.9400079,-0.08192761642493657,3.586246257759994
Arunachal Pradesh_Kra Daadi,0.5531488244644909,0.07474592522892859,-0.06608888647315318,0.006119192620967966,0.414209989375,-0.9771182291666634,0.07939364645997612,0.9023098388780109,-0.0525126443608314,0.008527569350208701,0.35839595500000004,0.021125629239535468,-1.4162840625000257,0.17651574129334852,0.8483152106012464,0.28663357321056526,-0.061414085402551076,0.010386364762120437,0.012438440523261481,-1.344859687500005,0.6607700345371673,0.5796636274816604,13.50534250000004,-0.8660254037844385,-0.5000000000000004,35.91071000000011,6.697291666666729,0,0,0.9441823432090314,0.0815790466666666,0.196950939763092,0.05581403437499993,0.8778103,-0.0909543780977003,2.9105813141049413
Arunachal Pradesh_Kurung Kumey,0.6938939273435002,0.08309879570545833,-0.06381955556935273,0.005008207547009058,0.41468997979166666,-0.2932459375000036,0.26483971988973337,0.9523983736948095,-0.038000428486460104,0.01083108092279558,0.366944998125,0.02005146205809035,1.4763451041666684,0.7939557364062494,0.6640431342392075,0.3494933229958405,-0.0437131796976851,0.010781280324127987,0.016919733851151315,0.009785624999992137,0.7117379363289562,0.572728152872195,15.166286249999985,-0.8660254037844385,-0.5000000000000004,21.396385833333454,0.9334762500000124,0,0,0.9800055789706308,0.06937164250000011,0.16728555277571758,0.047744981666666686,0.6969597,-0.07251895232170115,2.6686275639000865
Arunachal Pradesh_Leparada,0.5372392219869653,0.09566931509739272,-0.09048844233620905,0.00472145569655331,0.4160372627083333,0.1231573958333314,0.050215213042126436,0.836018330651797,-0.06584100304947538,0.014992705028167961,0.32009766166666664,0.032200700698501374,-0.7550773958333252,0.20449969386319972,0.72577391500371,0.378974635231619,-0.08301220644110183,0.015890518636924245,0.027492370103413055,-0.49051031249999255,0.5614598372958337,0.5368724117988384,11.657123333333402,-0.8660254037844385,-0.5000000000000004,59.30305166666676,28.840173333333382,0,0,1.0224871504279256,0.1306499508333333,0.31403425256387824,0.09593960104166666,0.81806755,-0.07519656746206888,3.6061327647564223
Arunachal Pradesh_Lohit,0.5253011684981175,0.12413468087703533,-0.08725384019392844,0.0028306700676041584,0.46127058843749996,-0.7305070833333076,0.07447111009688309,0.8345840161091811,-0.058660382368543554,0.014780353402617668,0.36830741510416665,0.028205333319052058,-1.1799830208333475,0.09128446237468431,0.7426184117814786,0.2390806425161523,-0.0760428719125532,0.016434938824352447,0.02068262055722915,-1.2730883333333196,0.5621354462247188,0.6286973012532486,12.663954166666656,-0.8660254037844385,-0.5000000000000004,47.32737750000007,13.525642083333423,0,0,1.3509514998171672,0.12905421,0.27977983690041025,0.09296317333333332,0.8347235999999999,-0.10022939186463359,3.0599925231794427
Arunachal Pradesh_Longding,0.45170231808636646,0.07352433525087897,-0.09393738051100314,0.0026659236014131213,0.4781719045833333,0.1762411458333446,0.035332627439132326,0.7690637803576839,-0.06594194056621436,0.014723470642235798,0.392255580625,0.03531608588484733,-0.42959406250000143,0.23152234660195878,0.7985108142385386,0.18181324820034198,-0.0898885152225071,0.018039223453459107,0.02929496083493434,-0.08959968749998382,0.3181420737537597,0.6437003882105768,11.54420083333332,-0.8660254037844385,-0.5000000000000004,58.38857000000007,27.509475000000123,0,0,0.7618869690447388,0.12503980125000003,0.26149549994777815,0.08591632395833332,0.98265004,-0.12499654127370796,4.126414718306257
