feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
runoff_ratio_rabi_mean,2.3333333333333335,2.2916742189725396,1,1
e_zaid_mean,4.333333333333333,4.371138180396177,2,2
GDD_rabi,5.666666666666667,5.8885166714156965,3,3
tp_kharif_std,8.0,7.68513160088227,4,4
t2m_amplitude,8.333333333333334,8.39240114793714,5,5
GDD_kharif,8.666666666666666,9.089970529344896,6,6
e_rabi_std,9.666666666666666,9.374057050615505,7,7
runoff_ratio_zaid_mean,12.333333333333334,11.81116517793724,8,8
e_zaid_std,12.666666666666666,12.333393751780317,9,9
swvl1_rabi_mean,13.0,12.850772242799838,11,10
e_kharif_mean,13.0,13.094014209894306,11,11
soil_air_diff_zaid_mean,13.0,13.310018316294173,11,12
swvl1_kharif_mean,13.333333333333334,13.777033342831395,13,13
swvl1_zaid_std,13.666666666666666,14.164584407944975,14,14
water_retention_index,14.0,14.17534080756468,15,15
e_kharif_std,15.666666666666666,15.122239728204008,16,16
cvh,15.666666666666666,15.437108127321736,16,17
humidity_variability,16.333333333333332,16.296524301796097,18,18
soil_air_diff_kharif_std,16.666666666666668,17.1336212747569,19,19
runoff_ratio_kharif_mean,18.666666666666668,18.63371190242738,20,20
humidity_stress_index,21.333333333333332,21.070820029749115,21,21
swvl1_rabi_std,22.333333333333332,21.84026567487858,22,22
tp_zaid_mean,22.666666666666668,23.068707561803933,23,23
e_rabi_mean,23.666666666666668,23.34495655367417,25,24
t2m_peak_sin,23.0,23.829328019917924,24,25
swvl1_stability,25.666666666666668,25.287880370121574,26,26
tp_kharif_fraction,25.666666666666668,25.878816505768583,26,27
heat_months_30C,26.666666666666668,26.201703689627642,28,28
soil_moisture_seasonality,27.0,26.894422988211844,29,29
swvl1_amplitude,28.0,27.665731269588044,31,30
t2m_peak_cos,27.666666666666668,27.982530881310005,30,31
soil_air_diff_rabi_mean,28.666666666666668,28.938880135897996,32,32
soil_air_diff_kharif_mean,29.0,28.939936369870587,33,33
tp_kharif_mean,30.666666666666668,30.893366754239253,34,34
soil_air_diff_rabi_std,33.666666666666664,33.63371190242738,35,35
heat_months_35C,35.333333333333336,35.2965243017961,36,36
