feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
cvh,1.3333333333333333,1.3318305656004747,1,1
water_retention_index,3.6666666666666665,3.664484999307247,2,2
runoff_ratio_zaid_mean,4.666666666666667,4.6720483508253485,3,3
GDD_rabi,6.333333333333333,6.326303912962057,4,4
swvl1_rabi_std,6.666666666666667,6.677815427569431,5,5
t2m_peak_sin,7.0,6.995880659468512,6,6
swvl1_zaid_std,7.666666666666667,7.672483256264557,7,7
humidity_variability,9.333333333333334,9.329164479948037,8,8
GDD_kharif,12.0,11.96659966006383,9,9
tp_kharif_fraction,12.666666666666666,12.648294004059082,10,10
tp_kharif_std,13.333333333333334,13.334496651252913,11,11
e_zaid_mean,13.333333333333334,13.345355475196204,11,12
runoff_ratio_rabi_mean,13.666666666666666,13.692164205271455,13,13
tp_zaid_mean,15.333333333333334,15.295764140011867,14,14
e_kharif_mean,16.666666666666668,16.671853869491805,15,15
swvl1_amplitude,17.0,16.992390705709777,16,16
t2m_amplitude,19.0,19.00984047450345,17,17
soil_air_diff_kharif_std,20.333333333333332,20.344577549862024,18,18
soil_moisture_seasonality,21.333333333333332,21.323832308643162,19,19
runoff_ratio_kharif_mean,22.0,21.994667828695125,20,20
heat_months_30C,22.0,22.003444010986613,20,21
e_rabi_mean,24.0,23.979106220219716,22,22
soil_air_diff_kharif_mean,24.333333333333332,24.317241363792785,23,23
tp_kharif_mean,24.666666666666668,24.65241334459057,25,24
soil_air_diff_zaid_mean,24.666666666666668,24.678009908902975,25,25
t2m_peak_cos,24.666666666666668,24.6999220381231,25,26
e_rabi_std,25.0,25.022347034659337,27,27
swvl1_stability,25.333333333333332,25.32426721408237,28,28
soil_air_diff_rabi_mean,25.666666666666668,25.655033487470885,29,29
e_kharif_std,26.0,26.033205858602628,30,30
e_zaid_std,26.333333333333332,26.346808730075253,31,31
humidity_stress_index,28.0,27.983809004751837,32,32
swvl1_rabi_mean,29.0,29.01517264580832,33,33
swvl1_kharif_mean,29.333333333333332,29.339199435785034,34,34
soil_air_diff_rabi_std,29.666666666666668,29.651154571045062,35,35
heat_months_35C,34.0,34.009016606397154,36,36
