feature,weighted_mean_rank,unweighted_mean_rank,weighted_global_rank,unweighted_global_rank,global_rank_shift
runoff_ratio_rabi_mean,10.001870677011679,10.031007751937985,1,1,0
water_retention_index,10.849928217920322,10.891472868217056,2,2,0
swvl1_rabi_std,10.851483370253485,10.937984496124031,3,3,0
GDD_rabi,11.978618177483133,11.945736434108527,4,4,0
tp_kharif_std,12.169931047425925,12.232558139534884,5,6,1
humidity_variability,12.205727880089789,12.209302325581396,6,5,-1
t2m_amplitude,14.216054994500318,14.155038759689921,7,7,0
GDD_kharif,14.451409507077734,14.38759689922481,8,8,0
cvh,14.647945021087912,14.736434108527128,9,9,0
e_zaid_std,14.90150349317468,14.930232558139538,10,10,0
e_kharif_mean,15.031774762800762,15.023255813953488,11,11,0
runoff_ratio_zaid_mean,15.113974706397432,15.178294573643413,12,12,0
e_zaid_mean,15.462325405975603,15.457364341085274,13,13,0
e_kharif_std,15.881108481461046,15.999999999999998,14,14,0
swvl1_zaid_std,16.21579353925247,16.21705426356589,15,15,0
e_rabi_std,16.604586247993414,16.658914728682166,16,16,0
humidity_stress_index,16.683056303228533,16.65891472868217,17,17,0
soil_moisture_seasonality,17.653713023544856,17.620155038759695,18,18,0
tp_kharif_fraction,18.347855239265105,18.232558139534888,19,19,0
swvl1_amplitude,18.570691153510747,18.55813953488372,20,21,1
tp_zaid_mean,18.580948949392504,18.480620155038757,21,20,-1
tp_kharif_mean,19.572512184867236,19.511627906976745,22,22,0
e_rabi_mean,19.93637473751515,19.945736434108525,23,23,0
soil_air_diff_kharif_std,20.493694911847957,20.503875968992244,24,24,0
soil_air_diff_zaid_mean,21.0979598764293,21.062015503875966,25,25,0
runoff_ratio_kharif_mean,21.139615920533203,21.10077519379845,26,26,0
swvl1_kharif_mean,21.307894789808316,21.294573643410853,27,27,0
swvl1_rabi_mean,22.00437877635968,22.023255813953487,28,28,0
soil_air_diff_rabi_mean,24.05425296448379,24.031007751937988,29,29,0
swvl1_stability,24.369948336325805,24.333333333333336,30,30,0
soil_air_diff_kharif_mean,24.536831545931364,24.488372093023262,31,31,0
t2m_peak_sin,25.007945417825027,24.953488372093023,32,32,0
t2m_peak_cos,25.773750996647355,25.821705426356587,33,33,0
soil_air_diff_rabi_std,25.859989266069807,25.891472868217054,34,34,0
heat_months_30C,26.260471069108863,26.310077519379842,35,35,0
heat_months_35C,34.164079007399664,34.18604651162791,36,36,0
