feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
runoff_ratio_rabi_mean,2.0,1.9887740150582434,1,1
GDD_rabi,2.6666666666666665,2.7833449228942895,2,2
e_rabi_mean,7.333333333333333,7.250333031930978,3,3
e_zaid_std,9.0,8.5413840816809,4,4
soil_air_diff_kharif_mean,9.666666666666666,9.817022877719559,5,5
e_zaid_mean,10.333333333333334,10.184816472171107,6,6
runoff_ratio_zaid_mean,10.666666666666666,10.39024556433506,8,7
water_retention_index,10.333333333333334,10.853047404602245,6,8
e_kharif_std,14.666666666666666,13.97469423589232,12,9
GDD_kharif,13.666666666666666,14.277478145929322,9,10
soil_air_diff_kharif_std,14.333333333333334,14.476881966254526,11,11
tp_kharif_std,15.0,14.550770716731988,14,12
swvl1_zaid_std,14.0,14.619648292882772,10,13
swvl1_stability,14.666666666666666,14.871313452537672,12,14
soil_air_diff_zaid_mean,15.0,14.91387082024728,14,15
e_rabi_std,16.0,15.640578596266042,17,16
swvl1_rabi_std,16.0,15.670577851309975,17,17
swvl1_rabi_mean,15.666666666666666,16.05663714687553,16,18
cvh,16.666666666666668,16.270438429757075,19,19
t2m_amplitude,18.333333333333332,19.068370353984033,20,20
soil_air_diff_rabi_mean,21.666666666666668,21.088793435200554,21,21
swvl1_amplitude,21.666666666666668,21.234921125041136,21,22
humidity_variability,22.0,21.91387082024728,23,23
humidity_stress_index,23.0,22.780998350836867,24,24
tp_zaid_mean,23.0,24.089490196143625,24,25
t2m_peak_sin,24.666666666666668,24.98744188733432,26,26
e_kharif_mean,26.0,25.773451065676447,28,27
tp_kharif_fraction,25.666666666666668,26.122153706635398,27,28
heat_months_30C,27.333333333333332,26.767425793837695,30,29
tp_kharif_mean,26.333333333333332,27.100208958918635,29,30
soil_moisture_seasonality,27.333333333333332,27.30462360674909,30,31
t2m_peak_cos,29.0,28.9214181054077,32,32
heat_months_35C,29.666666666666668,29.203082520106534,33,33
runoff_ratio_kharif_mean,29.666666666666668,29.674763773258057,33,34
swvl1_kharif_mean,30.333333333333332,30.20542909216395,35,35
soil_air_diff_rabi_std,32.666666666666664,32.6316991833817,36,36
