feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
GDD_rabi,3.0,2.9489632987423864,1,1
tp_kharif_std,3.6666666666666665,3.67531252042837,2,2
water_retention_index,6.0,5.984577200114368,3,3
e_rabi_std,6.333333333333333,6.355393342457458,4,4
swvl1_rabi_std,6.333333333333333,6.396055019201028,4,5
GDD_kharif,8.333333333333334,8.187000175684421,6,6
cvh,8.666666666666666,8.756915347686377,7,7
e_kharif_std,10.333333333333334,10.284305276598928,8,8
e_kharif_mean,10.666666666666666,10.68526833428611,9,9
t2m_amplitude,11.666666666666666,11.786922526145034,10,10
humidity_variability,13.0,12.877735495998422,11,11
runoff_ratio_rabi_mean,13.0,13.117356465515424,11,12
e_rabi_mean,13.333333333333334,13.319639704200041,13,13
e_zaid_mean,13.333333333333334,13.416385857572813,13,14
e_zaid_std,14.333333333333334,14.340529490113564,15,15
tp_kharif_fraction,16.0,15.867360471484378,16,16
swvl1_zaid_std,17.333333333333332,17.385540257801548,17,17
soil_air_diff_rabi_std,21.0,20.77075405499704,18,18
soil_moisture_seasonality,21.0,21.010375024514044,18,19
swvl1_stability,22.0,22.051316175028482,20,20
soil_air_diff_kharif_mean,22.333333333333332,22.253599413713097,21,21
soil_air_diff_kharif_std,22.333333333333332,22.319639704200043,21,22
swvl1_kharif_mean,22.666666666666668,22.60871328239969,23,23
soil_air_diff_rabi_mean,24.0,23.841981857741008,24,24
soil_air_diff_zaid_mean,24.0,23.948683824971514,24,25
humidity_stress_index,25.333333333333332,25.335062504085673,26,26
swvl1_rabi_mean,26.333333333333332,26.427040355857724,27,27
tp_zaid_mean,27.0,26.948683824971518,28,28
heat_months_30C,27.0,27.16334539140145,28,29
swvl1_amplitude,27.333333333333332,27.212937736969533,30,30
runoff_ratio_kharif_mean,27.666666666666668,27.731257260172136,31,31
tp_kharif_mean,28.0,28.07150727651483,32,32
heat_months_35C,28.333333333333332,28.528974021487514,33,33
runoff_ratio_zaid_mean,29.666666666666668,29.685268334286107,34,34
t2m_peak_sin,31.0,31.00490803848615,35,35
t2m_peak_cos,33.666666666666664,33.70069113417174,36,36
