feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
humidity_variability,2.6666666666666665,2.669803929597319,1,1
swvl1_rabi_std,4.0,4.00595108437426,2,2
e_kharif_mean,4.333333333333333,4.329969672224811,3,3
e_zaid_std,4.666666666666667,4.643670878571927,4,4
GDD_kharif,4.666666666666667,4.653988260075362,4,5
tp_kharif_fraction,9.0,9.025680254669652,6,6
tp_kharif_std,10.0,10.011449372392782,7,7
tp_zaid_mean,10.333333333333334,10.380650987030508,8,8
e_rabi_mean,10.666666666666666,10.664305641578798,9,9
soil_air_diff_kharif_std,13.0,13.037356025240305,10,10
t2m_amplitude,13.666666666666666,13.676207810327318,11,11
humidity_stress_index,14.0,13.998868009110652,13,12
e_zaid_mean,14.0,14.007309473441477,13,13
e_kharif_std,14.0,14.023577939319171,13,14
water_retention_index,15.0,14.946375508882,15,15
GDD_rabi,15.0,15.001131990889347,15,16
runoff_ratio_rabi_mean,15.333333333333334,15.33064886675842,17,17
soil_air_diff_zaid_mean,16.333333333333332,16.323112995139073,18,18
cvh,17.0,16.96746306824461,19,19
e_rabi_std,17.333333333333332,17.318973096187765,20,20
soil_air_diff_rabi_std,17.666666666666668,17.671162318664535,21,21
swvl1_amplitude,23.0,22.983052339588696,22,22
swvl1_stability,23.333333333333332,23.311437224568422,23,23
soil_air_diff_kharif_mean,23.333333333333332,23.357461112317417,23,24
swvl1_zaid_std,24.0,24.016721262233432,25,25
soil_moisture_seasonality,24.666666666666668,24.66935113324158,26,26
runoff_ratio_zaid_mean,26.666666666666668,26.660844937161098,27,27
tp_kharif_mean,28.333333333333332,28.367099299287247,28,28
soil_air_diff_rabi_mean,28.666666666666668,28.664532039756665,29,29
runoff_ratio_kharif_mean,29.666666666666668,29.647810777523233,30,30
t2m_peak_sin,30.333333333333332,30.31460679905859,31,31
swvl1_kharif_mean,30.333333333333332,30.328837681335465,31,32
heat_months_30C,30.666666666666668,30.66039214080536,33,33
swvl1_rabi_mean,32.0,32.010317381503434,34,34
t2m_peak_cos,32.333333333333336,32.319878688899244,35,35
heat_months_35C,36.0,36.0,36,36
