crop,weight_random_forest,weight_knn,weight_xgboost,raw_weight_random_forest,raw_weight_knn,raw_weight_xgboost
arhar_tur,0.2917,0.3517,0.3566,0.5714,0.689,0.6985
bajra,0.3202,0.3349,0.3449,0.6701,0.701,0.722
banana,0.3256,0.3395,0.3349,0.7592,0.7917,0.7809
barley,0.3213,0.3393,0.3394,0.73,0.7709,0.7711
castorseed,0.3355,0.3381,0.3264,0.7203,0.726,0.7009
coriander,0.3299,0.3356,0.3344,0.7723,0.7856,0.7827
cotton,0.3252,0.3472,0.3277,0.7004,0.7477,0.7057
cowpea_lobia,0.3318,0.3347,0.3335,0.8049,0.812,0.809
dry_chillies,0.3022,0.3425,0.3553,0.6422,0.7279,0.755
garlic,0.3345,0.3318,0.3337,0.8107,0.8043,0.8087
ginger,0.3287,0.3372,0.3342,0.7389,0.758,0.7513
gram,0.2882,0.3625,0.3493,0.5616,0.7063,0.6806
groundnut,0.3237,0.3342,0.3421,0.7838,0.8091,0.8284
horse_gram,0.3457,0.319,0.3353,0.7099,0.6551,0.6885
jowar,0.2934,0.3589,0.3477,0.5964,0.7296,0.7068
linseed,0.3351,0.3248,0.3401,0.6978,0.6765,0.7084
maize,0.3218,0.3264,0.3518,0.6058,0.6143,0.6621
masoor,0.3237,0.3406,0.3357,0.6626,0.6974,0.6872
mesta,0.3297,0.335,0.3352,0.8362,0.8495,0.8501
moong,0.2886,0.3545,0.3569,0.5605,0.6886,0.6931
niger_seed,0.3298,0.3321,0.3381,0.6619,0.6664,0.6784
onion,0.3265,0.3363,0.3372,0.8151,0.8396,0.8418
other_cereals,0.339,0.3225,0.3385,0.6244,0.594,0.6236
other_kharif_pulses,0.3067,0.345,0.3483,0.5902,0.664,0.6703
other_oilseeds,0.3358,0.3301,0.3341,0.8787,0.8638,0.8743
other_rabi_pulses,0.3188,0.3438,0.3374,0.6809,0.7342,0.7206
peas_and_beans,0.3191,0.3401,0.3408,0.7768,0.8281,0.8297
potato,0.304,0.3505,0.3455,0.6968,0.8032,0.7918
ragi,0.3323,0.3334,0.3343,0.7967,0.7992,0.8013
rapeseed_and_mustard,0.3276,0.3354,0.3369,0.7424,0.76,0.7634
rice,0.3203,0.3425,0.3372,0.7213,0.7712,0.7593
safflower,0.3212,0.3463,0.3325,0.6093,0.657,0.6308
sannhamp,0.3418,0.3295,0.3286,0.7383,0.7117,0.7098
sesamum,0.3302,0.3395,0.3303,0.621,0.6385,0.6212
small_millets,0.3231,0.3398,0.3371,0.6622,0.6964,0.691
soyabean,0.3076,0.3399,0.3525,0.6114,0.6758,0.7008
sugarcane,0.3118,0.3435,0.3447,0.7855,0.8654,0.8685
sunflower,0.3292,0.3345,0.3363,0.7404,0.7524,0.7565
sweet_potato,0.3242,0.3408,0.3349,0.8025,0.8436,0.8289
tobacco,0.3386,0.3324,0.329,0.7682,0.754,0.7463
turmeric,0.3277,0.3375,0.3347,0.7759,0.7991,0.7925
urad,0.3152,0.3416,0.3432,0.632,0.6851,0.6883
wheat,0.3278,0.3361,0.3361,0.7067,0.7247,0.7246
