feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
runoff_ratio_zaid_mean,1.6666666666666667,1.7114152845460593,1,1
humidity_variability,4.0,3.9929318416878594,2,2
swvl1_rabi_std,4.333333333333333,4.159050967357189,3,3
tp_kharif_std,8.0,7.528961485881019,4,4
runoff_ratio_rabi_mean,8.333333333333334,8.095462119694169,5,5
e_rabi_std,9.0,8.733864345494355,7,6
e_zaid_std,9.0,9.051808583809452,7,7
e_kharif_mean,9.0,9.197834701301197,7,8
GDD_rabi,9.0,9.454546144723986,7,9
water_retention_index,10.333333333333334,10.422830569092117,10,10
e_zaid_mean,13.333333333333334,13.90329329429395,11,11
swvl1_amplitude,14.0,14.202546806842623,12,12
e_kharif_std,16.0,15.072059288386317,14,13
t2m_peak_sin,15.666666666666666,16.52631461745798,13,14
GDD_kharif,17.333333333333332,17.528803789481735,15,15
t2m_amplitude,17.333333333333332,17.820856024465225,15,16
tp_kharif_mean,18.0,17.98586368337572,17,17
soil_air_diff_kharif_std,19.0,18.806877404240225,18,18
cvh,20.666666666666668,19.851775526136823,19,19
soil_air_diff_zaid_mean,20.666666666666668,20.916318144159398,19,20
t2m_peak_cos,21.333333333333332,21.387514354677656,21,21
humidity_stress_index,21.666666666666668,21.5630331142836,22,22
swvl1_zaid_std,22.0,21.68676786722633,23,23
tp_zaid_mean,23.333333333333332,23.820856024465222,24,24
swvl1_stability,24.0,23.974083419522152,25,25
swvl1_rabi_mean,24.666666666666668,24.376978676835968,27,26
swvl1_kharif_mean,25.0,24.58783822800261,29,27
soil_moisture_seasonality,24.333333333333332,24.63951369255902,26,28
tp_kharif_fraction,24.666666666666668,25.045851892256145,27,29
soil_air_diff_kharif_mean,27.666666666666668,27.65018248965375,30,30
e_rabi_mean,27.666666666666668,27.843305085413522,30,31
soil_air_diff_rabi_std,28.333333333333332,27.932943632807426,32,32
heat_months_30C,28.666666666666668,28.261581245363494,33,33
runoff_ratio_kharif_mean,30.0,30.268491707276354,34,34
soil_air_diff_rabi_mean,32.0,31.997643947229285,35,35
heat_months_35C,36.0,36.0,36,36
