feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
swvl1_amplitude,3.0,3.0001086279741913,1,1
tp_kharif_std,5.0,5.001134277402773,2,2
runoff_ratio_rabi_mean,5.666666666666667,5.668464500250716,3,3
soil_moisture_seasonality,6.0,6.000543139870959,4,4
humidity_variability,6.666666666666667,6.669272893730914,5,5
e_zaid_mean,8.333333333333334,8.32673313652895,6,6
t2m_amplitude,9.666666666666666,9.66457915848477,7,7
runoff_ratio_zaid_mean,10.0,10.001508158986203,8,8
soil_air_diff_zaid_mean,11.333333333333334,11.334021310503214,9,9
runoff_ratio_kharif_mean,11.333333333333334,11.338389161826779,9,10
cvh,14.0,14.005284872777954,11,11
water_retention_index,14.333333333333334,14.314642599334348,12,12
tp_kharif_mean,14.333333333333334,14.344916939981701,12,13
swvl1_rabi_std,15.0,14.994654496908705,14,14
e_rabi_std,16.0,15.992881084313261,15,15
e_kharif_mean,18.666666666666668,18.65589145349849,16,16
e_zaid_std,19.333333333333332,19.31831068515191,17,17
GDD_rabi,19.666666666666668,19.675426790302403,18,18
tp_zaid_mean,20.0,19.998165957091217,19,19
humidity_stress_index,20.0,20.011330141375254,19,20
swvl1_zaid_std,20.333333333333332,20.335420841515223,21,21
e_kharif_std,21.333333333333332,21.327806783618385,22,22
soil_air_diff_rabi_mean,21.333333333333332,21.35630771167029,22,23
swvl1_rabi_mean,21.666666666666668,21.64752963243479,24,24
heat_months_30C,22.0,21.998865722597223,25,25
tp_kharif_fraction,22.666666666666668,22.687191443574427,26,26
soil_air_diff_rabi_std,23.0,22.99288108431326,27,27
GDD_kharif,24.0,24.000543139870956,28,28
swvl1_kharif_mean,27.333333333333332,27.34022320473556,29,29
soil_air_diff_kharif_mean,28.333333333333332,28.332561149177863,30,30
t2m_peak_sin,28.666666666666668,28.666087317470975,31,31
soil_air_diff_kharif_std,30.0,29.996114658234053,32,32
e_rabi_mean,30.0,30.002968320311552,32,33
t2m_peak_cos,30.333333333333332,30.332826402787102,34,34
swvl1_stability,30.666666666666668,30.666413201393546,35,35
heat_months_35C,36.0,36.0,36,36
