feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
cvh,3.0,3.000888717314178,1,1
e_zaid_std,6.0,6.0747454208234615,2,2
GDD_rabi,7.0,6.931475600375785,3,3
water_retention_index,7.0,7.040483221011354,3,4
runoff_ratio_rabi_mean,7.333333333333333,7.325082835672208,5,5
tp_kharif_std,8.333333333333334,8.405160560380738,6,6
e_kharif_std,9.333333333333334,9.379652941896799,7,7
swvl1_kharif_mean,9.666666666666666,9.577330276962925,8,8
tp_kharif_mean,11.333333333333334,11.259224587990529,9,9
soil_air_diff_rabi_mean,12.0,11.948984763032122,10,10
GDD_kharif,13.666666666666666,13.55004522385063,11,11
e_rabi_std,14.666666666666666,14.706513212197365,12,12
humidity_variability,14.666666666666666,14.748773867837073,12,13
soil_moisture_seasonality,16.333333333333332,16.246026420091468,14,14
swvl1_rabi_std,16.666666666666668,16.64838823671606,15,15
runoff_ratio_kharif_mean,17.333333333333332,17.181680423410917,16,16
runoff_ratio_zaid_mean,18.0,18.032617356997363,17,17
t2m_amplitude,19.0,18.945429893775408,18,18
e_zaid_mean,19.0,19.123094505848805,18,19
swvl1_rabi_mean,19.333333333333332,19.32241668372967,20,20
soil_air_diff_kharif_mean,20.0,19.89188109667861,21,21
swvl1_stability,20.0,20.13718139106204,21,22
t2m_peak_sin,21.0,21.062303378424964,23,23
e_rabi_mean,22.333333333333332,22.32774898761474,24,24
swvl1_zaid_std,23.333333333333332,23.250337414848744,25,25
soil_air_diff_kharif_std,24.333333333333332,24.455287080034434,26,26
humidity_stress_index,24.666666666666668,24.687226614912674,27,27
t2m_peak_cos,25.0,24.978803376273337,28,28
swvl1_amplitude,25.333333333333332,25.30668495570169,29,29
e_kharif_mean,27.666666666666668,27.725043683981493,30,30
soil_air_diff_zaid_mean,28.0,27.964849082873712,31,31
soil_air_diff_rabi_std,28.0,28.073100578008717,31,32
heat_months_30C,29.333333333333332,29.399828256495667,33,33
tp_zaid_mean,30.333333333333332,30.3295264222431,34,34
tp_kharif_fraction,31.333333333333332,31.291709353174276,35,35
heat_months_35C,35.666666666666664,35.6704735777569,36,36
