feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
swvl1_zaid_std,5.0,5.046219875859442,1,1
tp_kharif_std,6.0,5.972219827568621,2,2
e_rabi_std,6.333333333333333,6.3298177860346065,3,3
cvh,7.0,6.971375506543616,4,4
runoff_ratio_rabi_mean,7.666666666666667,7.6045576963635995,6,5
swvl1_rabi_std,7.666666666666667,7.614018782656203,6,6
tp_kharif_fraction,7.666666666666667,7.753402113970246,6,7
e_kharif_mean,8.666666666666666,8.697359299950342,8,8
tp_zaid_mean,10.666666666666666,10.799983841697546,9,9
e_zaid_std,11.333333333333334,11.311016230738685,10,10
runoff_ratio_zaid_mean,12.666666666666666,12.614260017234777,11,11
humidity_variability,13.333333333333334,13.340726279798645,12,12
t2m_amplitude,14.0,14.056284048598478,13,13
e_rabi_mean,14.0,14.074482517447967,13,14
water_retention_index,14.333333333333334,14.246597886029754,15,15
swvl1_stability,15.333333333333334,15.339399489616497,16,16
e_kharif_std,17.666666666666668,17.576053820196503,17,17
soil_air_diff_kharif_std,17.666666666666668,17.717367028139122,17,18
e_zaid_mean,18.0,17.95402135871913,19,19
t2m_peak_cos,18.666666666666668,18.596785252121002,20,20
GDD_rabi,20.0,20.073879431001536,21,21
swvl1_rabi_mean,22.0,21.990538913707397,22,22
humidity_stress_index,23.666666666666668,23.66933789294039,23,23
soil_moisture_seasonality,24.0,23.916538865416577,24,24
soil_air_diff_kharif_mean,25.0,25.07400004829082,25,25
soil_air_diff_rabi_std,25.666666666666668,25.752075323788098,26,26
swvl1_amplitude,26.666666666666668,26.595096610070996,27,27
GDD_kharif,26.666666666666668,26.715919620667687,27,28
t2m_peak_sin,27.333333333333332,27.331023958927467,29,29
tp_kharif_mean,27.666666666666668,27.698083003686058,30,30
swvl1_kharif_mean,28.333333333333332,28.339881958773645,31,31
soil_air_diff_rabi_mean,28.333333333333332,28.348619341330526,31,32
heat_months_30C,28.666666666666668,28.56779890679676,33,33
soil_air_diff_zaid_mean,29.666666666666668,29.632217251505693,34,34
runoff_ratio_kharif_mean,32.666666666666664,32.67904021381157,35,35
heat_months_35C,36.0,36.0,36,36
