feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
humidity_variability,2.0,2.0,1,1
soil_moisture_seasonality,2.3333333333333335,2.3591692620228333,2,2
e_zaid_mean,4.333333333333333,4.359169262022833,3,3
swvl1_amplitude,6.666666666666667,6.6936532815789525,4,4
e_kharif_mean,7.333333333333333,7.361823409997628,5,5
cvh,7.666666666666667,7.531733592105239,6,6
runoff_ratio_rabi_mean,8.666666666666666,8.661005595187854,7,7
e_rabi_std,9.0,9.020174857210687,8,8
water_retention_index,9.333333333333334,9.239455524251728,9,9
humidity_stress_index,10.666666666666666,10.7799214222654,10,10
GDD_rabi,14.333333333333334,14.426060456192154,11,11
swvl1_zaid_std,14.666666666666666,14.718338524045667,12,12
GDD_kharif,15.0,15.085470229992884,13,13
swvl1_rabi_mean,16.0,15.963900254940546,14,14
e_rabi_mean,16.333333333333332,16.288028098491594,15,15
e_zaid_std,17.666666666666668,17.73055093733197,16,16
soil_air_diff_zaid_mean,18.666666666666668,18.664718069750318,17,17
e_kharif_std,19.0,18.790566062874092,18,18
tp_kharif_std,19.333333333333332,19.19194127659953,19,19
swvl1_stability,20.333333333333332,20.242109672226523,20,20
swvl1_rabi_std,22.333333333333332,22.234945138995702,21,21
runoff_ratio_kharif_mean,22.333333333333332,22.426060456192154,21,22
tp_zaid_mean,22.666666666666668,22.81867531529965,23,23
t2m_amplitude,23.0,22.98938340810082,24,24
tp_kharif_fraction,23.333333333333332,23.53330136478285,25,25
runoff_ratio_zaid_mean,24.0,23.90311526741438,26,26
soil_air_diff_kharif_std,24.0,24.088922288661244,26,27
swvl1_kharif_mean,24.666666666666668,24.6575535365195,28,28
soil_air_diff_kharif_mean,26.666666666666668,26.741167529231152,29,29
heat_months_30C,27.333333333333332,27.20680783786063,30,30
t2m_peak_sin,29.0,28.967352313608902,31,31
soil_air_diff_rabi_mean,29.0,28.979825142789316,31,32
tp_kharif_mean,29.333333333333332,29.41809801226777,33,33
soil_air_diff_rabi_std,31.0,30.98247929076411,34,34
t2m_peak_cos,32.0,31.94452330842342,35,35
heat_months_35C,36.0,36.0,36,36
